id,title,uniform_title,alternative_title,creator,contributor,publication_place,publisher,publication_date,encoded_date,creation_date,copyright_date,edition,issuance,language,type_of_resource,format,extent,genre,abstract,subject,temporal_coverage,geographic_coverage,target_audience,record_id,isbn,lccn,oclccn,url,depositor,collection_id
,"Indian traits: being sketches of the manners, customs, and character of the North American natives",,,"Thatcher, B. B. (Benjamin Bussey), 1809-1840","Pendleton, William S., 1795-1879 (engraver)|||American Society for the Diffusion of Useful Knowledge",New-York,"Published by Harper & Brothers, no. 82 Cliff Street|||Harper & Brothers",1839,1839,,,Harper's stereotype edition.,monographic,English,text,print,2 v. : ill. ; 16 cm,,,Indians of North America|||Social life and customs|||Manners and customs,,"United States, New York, New York",,7743378,,,ocn191249429|||191249429,,,
,"infant pilgrim's progress: from the valley of destruction to everlasting glory, The",,,"Sherwood, Mary Martha, 1775-1851",,London :,"Houlston and Sons,|||Houlston & Sons",1887.,1887||||||1887.,,,"New edition, with six illustrations.",monographic,English,text,print|||unmediated|||volume,"viii, 366 pages, 6 pages of unnumbered plates : illustrations ; 18 cm",Fiction|||Juvenile fiction|||Juvenile works|||text,,Christian life|||Salvation|||Christian pilgrims and pilgrimages,,,juvenile,8375762,,,ocn950522564,,,
,"infant pilgrim's progress: from the valley of destruction to everlasting glory, The",,,"Sherwood, Mary Martha, 1775-1851",,London :,"Houlston and Stoneman,|||Houlston and Stoneman",1856.,1856||||||1856.,,,New edition.,monographic,English,text,print|||unmediated|||volume,"viii, 366 pages, 4 pages of unnumbered plates : illustrations ; 17 cm",Fiction|||Juvenile fiction|||Juvenile works|||text,,Christian life|||Salvation|||Christian pilgrims and pilgrimages,,,juvenile,8375723,,,ocn221893782,,,
,"infant school primer, The",,,"Teachem, Mrs","Anners, Henry F.",Philadelphia,Henry F. Anners,[1837?],[1837?]||||||1837,,,"New ed., with additions.",monographic,English,text,print,"13, [11] p. : ill. (woodcuts) ; 18 cm.",Chapbooks|||Readers|||Specimens,,Readers (Primary)|||Chapbooks,,,juvenile,7389190,,,ocn798255378,,,
,"infant teacher's manual: for the use of Sunday schools and families : containing fifty-two scripture lessons for infants, with hymns, The",,,"Wise, Daniel, 1813-1898","Kidder, Daniel P. (Daniel Parish), 1815-1891 (ed)|||Methodist Episcopal Church, Sunday School Union",New York,"Published by G. Lane & C.B. Tippett, for the Sunday-School Union of the Methodist Episcopal Church, 200 Mulberry-Street",1845,1845||||||1849,,,,monographic,English,text,print,229 p. : ill. ; 16 cm.,"Examinations, questions, etc|||Exercises, recitations, etc|||Textbooks",,Christian education of children|||Sunday schools|||Christian education|||Methodist,,,,7110899,,,ocn756037544,,,
,"infants' magazine, The",,,,American Sunday-School Union,Philadelphia,American Sunday-School Union,1829-,1829-|||1829/uuuu,,,,serial,English,text,print,v. : ill. ; 11 cm,periodical,,"Children's periodicals, English",,,,7811953,,,ocm57384957|||57384957,,,
,"infant's prayer, The",,,"Bunbury, Selina, 1802-1882",,London,"B. Wertheim, Aldine Chambers, Paternoster Row",1845?,1845?||||||1845,,,2nd ed.,monographic,English,text,print,"31, [1] p. : 1 ill. (wood-engraving) ; 14 cm.",Juvenile literature,,Conduct of life,,,juvenile,4803505,,,ocm85810822,,,
,"infant's progress, from the valley of destruction to everlasting glory, The",,,"Sherwood, Mary Martha, 1775-1851","Radclyffe, William, 1780-1855 (egr)|||Green, W. (ill)|||Bunyan, John, 1628-1688|||F. Houlston and Son (prt)|||Harrison and Stephens (bsl)","Wellington, Salop",F. Houlston and Son|||F. Houlston and Son,1825,1825,,,4th ed.,monographic,English,text,print,"iv, 238, p., [1] leaf of plates : ill. ; 19 cm.",Fiction|||Juvenile fiction|||Juvenile literature|||Juvenile works|||novel,,Evangelicalism|||Christian life|||Conduct of life|||Children|||Pilgrims and pilgrimages|||Death|||Sin|||Faith|||Evangelists|||Dreams,,"England, Salop, Wellington|||England, London",juvenile,7940745,,,ocm29248151,,,
,Ingleside,,,"Yechton, Barbara, 1864-1939",,New York,Thomas Y. Crowell,[c1893],[c1893]||||||1893,,,,monographic,English,text,print,219 p. : ill. ; 19 cm.,,,,,,,5796272,,,ocm09191345,,,
,"Ingoldsby legends, or, Mirth and marvels, The",Ingoldsby legends,Mirth and marvels,"Ingoldsby, Thomas, 1788-1845",,Philadelphia,Porter & Coates,[1848],[1848]||||||1848,,,2nd ed.,monographic,English,text,print|||unmediated|||volume,"590 pages, [7] leaves of plates : illustrations ; 20 cm",text,,"English wit and humor|||Humorous poetry, English",,,,218082,,,ocm02928568,,,
,"Ingoldsby legends; or, Mirth and marvels, The",,Mirth and marvels,"Ingoldsby, Thomas, 1788-1845","Leech, John, 1817-1864 (illus)|||Cruikshank, George, 1792-1878 (illus)",London,R. Bentley,1866,1866,,,New ed.,monographic,English,text,print,468 p. ; 18 cm.,,,English poetry|||English wit and humor,,,,1029026,,,17655914,,,
,Initials and pseudonyms: a dictionary of literary disguises,,,"Cushing, William, 1811-1895",,New York,T. Y. Crowell & co.,1885,1885,,,,monographic,English,text,print,"iv, 606 p. 25 cm.",,,"Anonyms and pseudonyms, American|||Anonyms and pseudonyms, English",,,,647219,,01026299,00928739,,,
,Instinct displayed in a collection of well-authenticated facts: exemplifying the extraordinary sagacity of various species of the animal creation,,Instinct displayed,"Wakefield, Priscilla, 1751-1832",,London,Printed for S. & A. Davis,1818,1818,,,,monographic,English,text,print,180 p. : ill. ; 15 cm.,,,Instinct,,,juvenile,1078368,,,11420385,,,
,Instructive story of industry and sloth: Ornamented with cuts,,,,"Babcock, John, 1764-1843 (printer)",Hartford,Printed by John Babcock,1800,1800,,,,monographic,English,text,print|||unmediated|||volume,"30, [2] p. : ill. ; 11 cm. (16mo)",Fiction|||Juvenile fiction|||Juvenile literature-1796|||Juvenile works|||Specimens|||text,,"Riddles|||Work ethic|||Temperance|||Chapbooks|||Chapbooks, American",,"United States, Connecticut, Hartford",juvenile,7547000,,,ocm83804325,,,
,Intellectual arithmetic: by induction and analysis,,"Ray's intellectual arithmetic|||Ray's arithmetic, second book","Ray, Joseph, 1807-1855",,Cincinnati,"Sargent, Wilson & Hinkle",1860,1860,,,1000th ed. improved.,monographic,English,text,print,164 p. ; 17 cm.,Early works to 1900,,Mental arithmetic|||Arithmetic,,,,3859732,,,ocm28695856,,,
,"interesting story of Cinderella and her glass slipper, The",Cinderella,,,"Cruikshank, George, 1792-1878",Banbury,Printed by J.G. Rusher,[ca. 1814],[ca. 1814]||||||1814,,,,monographic,English,text,print,15 p. ill. 10 cm.,,,"Chapbooks|||Cinderella, and her glass slipper",,,,7547007,,,ocm03086457,,,
,"interesting story of the children in the wood: an historical ballad, The",Children in the wood (Ballad),Children in the wood,,,Banbury,"Printed by J.G. Rusher|||Rusher, John Golby, 1784-1877",[ca. 1840?],[ca. 1840?]||||||1840,,,,monographic,English,text,print,"15, [1] p. : ill. (wood engravings) ; 10 cm.",Juvenile literature|||Juvenile poetry|||Specimens,,"Children|||Conduct of life|||Death|||Infanticide|||Orphans|||Miniature books|||Chapbooks|||Chapbooks, English",,,juvenile,7547011,,,ocm30583624,,,
,Intermediate,,Intermediate monthly,,,Chicago,The Interstate Publishing Co.,1886-,1886-|||1886/uuuu,,,,serial,English,text,print,v. : ill. ; 17 cm.,Periodicals|||series,,Readers,,,,4068476,,,ocm29985630,,,
,"introduction to The academical reader: comprising a great variety of pleasing and instructive pieces, from various authors, in prose and verse, intended to induce and promote the love of learning, virtue and piety, in the minds of juvenile classes of readers, The",,,"Harrod, John J.","Harrod, John J.",Baltimore,"Published by John J. Harrod ... William Wooddy, printer",1830,1830,,,,monographic,English,text,print,168 p. : ill. ; 19 cm.,,,Readers,,,,1026252,,ca 17002564,ocm13588063,,,
,"Introduction to the English reader, or, A selection of pieces in prose and poetry: calculated to improve the younger classes of learners in reading, and to imbue their minds with the love of virtue : to which are added, rules and observations for assisting children to read with propriety",,Introduction to the English reader|||Selection of pieces in prose and poetry,,"Murray, Lindley, 1745-1826 (compiler)",New York :,"Published by Baker & Scribner,|||Baker & Scribner",1847.,1847||||||1847.,,,,monographic,English,text,print|||unmediated|||volume,191 pages ; 18 cm.,Juvenile literature-1839|||text,,Readers,,,juvenile,7885034,,,ocn948812102,,,
,"introduction to the study of nature: with other pieces, from the French of M. Berquin, An",,,"Berquin, (Arnaud), M, 1747-1791",,Philadelphia,J. Crissy,1845,1845,,,,monographic,English,text,print,"142 p. front., plates. 19 cm.",,,,,,,995968,,,ocm36819635,,,
,Isa Greame's world,,,"Chamberlain, Parthene Ballard.",American Sunday-School Union,Philadelphia,American Sunday-School Union,1865,1865,,,,monographic,English,text,print,"360 p., 4 leaves of plates ; 17 cm.",,,,,,,7184928,,,ocm04381942|||4381942,,,
,"Island nights' entertainments: consisting of The beach of Falesa, the bottle imp, the isle of voices",,,"Stevenson, Robert Louis, 1850-1894","Browne, Gordon, 1858-1932|||Hatherell, William, 1855-1928|||Elizabeth Robins Pennell Collection (Library of Congress)",London,Cassell & Co.,1893,1893,,,,monographic,English,text,print|||unmediated|||volume,"x, 277 pages, [1] leaf of plates : illustrations ; 22 cm",text,,Manners and customs|||Social life and customs,,Polynesia,,8228928,,75314802,ocm03090918,,,
,"Isles of the sea, or, Young America homeward bound: a story of travel and adventure",,Isles of the sea|||Young America homeward bound,"Optic, Oliver, 1822-1897",,Boston :,"Lee and Shepard, Publishers ;|||Dillingham, Charles Theodore, 1842-|||Lee and Shepard",1877.,1877||||||1877.,,,,monographic,English,text,print|||unmediated|||volume,"374 pages, 4 unnumbered leaves of plates : illustrations ; 18 cm.",Fiction|||Juvenile fiction|||Juvenile literature-1877|||Juvenile works|||text,,Seafaring life,,,juvenile,9036845,,42043618,ocm08159203,,,
,Issac: Who loves children ; The Sunday-school boy ; The Sunday-school girl ; Little prayers for little children ; My father,,Who loves children|||The Sunday-school boy|||The Sunday-school girl|||Little prayers for little children|||My father,,,Philadelphia (No. 1122 Chestnut Street),American Sunday-School Union|||American Sunday-School Union,[18--?],[18--?]|||1800/1899,,,,monographic,English,text,print,"8, 8, 8, 8, 8, 8 p. : ill. ; 11 cm.",Juvenile fiction|||Miniature books (Printing)-Philadelphia|||Specimens|||novel,,Sunday schools|||Miniature books|||Children|||Religious life,,"United States, Pennsylvania, Philadelphia",juvenile,4374793,,,ocm56908431,,,
,Ivanhoe: a romance,,,"Scott, Walter, 1771-1832",,New York,Thomas Y. Crowell,[n.d.],[n.d.]|||1800/1842,,,,monographic,English,text,print,449 p. : ill. ; 19 cm.,Fiction,,"Civilization, Medieval|||Knights and knighthood|||Jews|||History|||Templars","1100 - 1199|||12th century|||Richard I, 1189-1199",Great Britain|||England,,7813331,,,ocn829433657,,,
,Jack & Jill and old Dame Gill,Jack and Jill,Jack and Jill and old Dame Gill,,,Banbury,Printed by J.G. Rusher,[ca. 1830?],[ca. 1830?]||||||1830,,,,monographic,English,text,print,1 folded sheet (16 p.) : ill. ; 10 cm.,,,,,,juvenile,4001519,,,ocm18029257,,,
,Jack & the beanstalk,,Jack and the bean stalk,,"André, R. (Richard) (ill)",New York,McLoughlin Bro's|||McLoughlin Bros,c1888,c1888||||||1888,,,,monographic,English,text,print,[14] p. : col. ill. ; 28 cm.,,,Fairy tales,,,juvenile,4644609,,,ocm39029360,,,
,Jack and Jill,,,,,London,"Printed and sold by J.T. Wood, 2[7]8 Strand",[between 1858 and 1874],[between 1858 and 1874]|||1858/1874,,,,monographic,English,text,print,[8] p. : ill. (wood-engravings) ; 11 cm.,Chapbooks|||Nursery rhymes,,Children's poetry|||Chapbooks,,,juvenile,7547049,,,ocm29577717,,,
,Jack and Jill,,Jack and Gill,,"Barfoot, James Richard, 1794-1863 (illustrator)",London :,"Cowan & Standring,",[approximately 1840?],1840||||||[approximately 1840?],,,,monographic,English,text,print|||unmediated|||volume,"8 pages, [4] leaves of plates : color illustrations ; 21 cm.",Fiction|||Juvenile fiction|||Juvenile works|||text,,Conduct of life,,,juvenile,8337537,,,ocm12938859,,,
,Jack and Jill: a village story,,,"Alcott, Louisa May, 1832-1888","Roberts Brothers (Boston, Mass.)",Boston,Roberts Bros.,"1890, ©1880","1890, ©1880||||||1890",,1880,,monographic,English,text,print|||unmediated|||volume,"[4], 325 pages, [5] leaves of plates : illustrations ; 18 cm",Juvenile fiction|||text,,Children|||Conduct of life|||Families|||Friendship,,,juvenile,8359950,,,ocm17280694,,,
,Jack and Jill: a village story,,,"Alcott, Louisa May, 1832-1888","John Wilson and Son (prt)|||University Press (Cambridge, Mass.) (prt)",Boston,"Roberts Brothers|||Roberts Brothers (Boston, Mass.)",1880,1880||||||1889,1889 printing.,,,monographic,English,text,print,"325, [6] p., [2] leaves of plates : ill. ; 17 cm.",Family stories-1880|||Juvenile fiction|||Publishers' catalogues-1880|||novel,,Children|||Conduct of life|||Families|||Friendship|||Winter|||Christmas stories|||Debates and debating,,"United States, Massachusetts, Boston|||United States, Massachusetts, Cambridge",juvenile,4844851,,,ocm08089943|||8089943,,,
,Jack and the bean stalk,Jack and the beanstalk,,,"Evans, Edmund, 1826-1905",London,"Routledge, Warne, & Routledge",[between 1858 and 1865],[between 1858 and 1865]|||1858/1865,,,,monographic,English,text,print,[8] leaves : col. ill. ; 25 cm.,Juvenile fiction,,Fairy tales|||Giants,,,juvenile,4644601,,,ocm14872522,,,
,Jack and the bean-stalk: English hexameters,Jack and the beanstalk,,"Tennyson, Hallam, 1920-2005","Caldecott, Randolph, 1846-1886 (illustrator)|||R. & R. Clark (Firm) (printer)",London,Macmillan,1886,1886,,,,monographic,English,text,print,70 p. : ill. ; 22 cm.,,,Illustrators,,England,,7698891,,,ocn221263743|||221263743,,,
,Jack and the beanstalk,,,,,New York,Hurst,[18--?],[18--?]|||1800/1899,,,,monographic,English,text,print,1 v. (various pagings) : ill. ; 25 cm.,,,Fairy tales,,,juvenile,1907273,,,20667280,,,
,"Jack Hall, or, The school days of an American boy",,Jack Hall|||School days of an American boy,"Grant, Robert, 1852-1940","Attwood, Francis Gilbert, 1856-1900 (ill)",Boston,"Jordan, Marsh and Company|||Jordan, Marsh and Company",1888,1888,,,,monographic,English,text,print|||unmediated|||volume,"vi, 394 pages, [1] leaf of plates : illustrations ; 20 cm",Fiction|||Juvenile fiction|||Juvenile literature-1888|||Juvenile works|||novel|||text,,Boys|||Conduct of life|||Students|||Children|||Death|||Sports stories|||Awards|||Mothers and sons|||Tobacco|||Friendship|||Sick|||Christian life|||Sports,,"United States, Massachusetts, Boston",juvenile,9035252,,08003371,ocm04925592,,,
,Jack Halyard and Ishmael Bardus,,Jack and Ishmael,,"Cardell, William S. (William Samuel), 1780-1828","Wendell, Mass.]","J. Metcalf. Printer. Wendell, Mass.|||Metcalf, John, 1788-1864",1828,1828,,,,monographic,English,text,print|||unmediated|||volume,8 p. : ill. ; 80 mm.,Chapbooks-1828|||Juvenile literature-1828|||text,,Children's stories,,"United States, Massachusetts, Wendell",juvenile,8365023,,,ocn191254610,,,
,Jack Harkaway after schooldays,,,"Hemyng, Bracebridge, 1841-1901",,Chicago,M.A. Donohue,[approximately 1880],[approximately 1880]||||||1880,,,,monographic,English,text,print|||unmediated|||volume,"296 pages, [4] leaves of plates : illustrations ; 19 cm.",text,,,,,,8090048,,,ocm20653847,,,
,Jack Hooper: his adventures at sea and in South Africa,,,"Cameron, Verney Lovett, 1844-1894","Riou, Edouard, 1833-1900 (ill)",London|||Edinburgh|||New York,T. Nelson and Sons|||Thomas Nelson & Sons,1887,1887,,,,monographic,English,text,print,"xiii, 348, [4] p. : ill. ; 20 cm.",Juvenile fiction|||Publishers' advertisements-1887|||novel,,Adventure stories|||Voyages and travels|||Uncles|||Farms|||Death|||Trials|||Rescues|||Lion|||Outdoor life|||Nature stories|||Camping|||Animals|||Description and travel,,"Scotland, Edinburgh|||United States, New York, New York|||Africa, Southern|||England, London",juvenile,7180759,,,ocm17643903|||17643903,,,
,"Jack Mason, the old sailor: with illustrations",,Jack Mason the sailor,"Woodworth, Francis C. (Francis Channing), 1812-1859",,New York,"Clark, Austin, Maynard & Co.|||Clark, Austin, Maynard & Co","1860, c1850","1860, c1850||||||1860",,1850,,monographic,English,text,print,96 p. : ill. ; 13 cm.,Children's stories|||Juvenile fiction|||novel,,Sailors|||Indians of North America|||Christian life|||Whaling|||Shipwrecks|||Description and travel,,"Arctic regions|||United States, New York, New York|||Arctic Ocean; Arctic regions|||Egypt",juvenile,7743796,,,ocm47806296|||47806296,,,
,Jack Sprat,,,,,London :,"R. March, 18, St. James' Walk,",[1877 or 1888],[1877 or 1888]|||1877/1878,,,,monographic,English,text,print|||unmediated|||volume,8 unnumbered pages : illustrations (woodcuts) ; 13 cm,Specimens|||text,,"Nursery rhymes|||Chapbooks, English|||Chapbooks",,,juvenile,7547078,,,ocn953876769,,,
,Jack Spratt,,,,,N.Y. :,"McLoughlin Brothers, Manufacturers, No. 24 Beekman St.,",[between 1859 and 1862?],[between 1859 and 1862?]|||1859/1862,,,,monographic,English,text,print|||unmediated|||volume,"[8] leaves : color illustrations, music ; 28 cm.",text,,Children's poetry|||Children's songs|||Nursery rhymes,,,juvenile,6779872,,,ocn889464062,,,
,Jack the giant,Jack the Giant-Killer,,"Cox, Palmer, 1840-1924","Veale, E.",Philadelphia,Hubbard Pub. Co.,c1896,c1896||||||1896,,,,monographic,English,text,print,[32] p. : ill. ; 23 cm.,Juvenile literature,,Fairy tales|||Giants|||Folklore|||Chapbooks,,,,4001485,,,ocm14224970,,,
,Jack the giant killer,,,,,New York,McLoughlin Brothers,c1889,c1889||||||1889,,,,monographic,English,text,print,"[10] p. : ill., ; 20 cm.",Folklore|||Juvenile fiction|||Specimens,,Fairy tales|||Giants|||Chapbooks,,,juvenile,4001477,,,ocm25124556,,,
,Jack the Giant Killer,,,,,London,Darton & Hodge,[between 1862 and 1865],[between 1862 and 1865]|||1862/1865,,,,monographic,English,text,print|||unmediated|||volume,8 unnumbered leaves : color illustrations ; 28 cm,Fiction|||Juvenile fiction|||Juvenile works|||text,,Fairy tales|||Giants,,,juvenile,8352136,,,ocm14876627,,,
,Jack the giant killer,,,,"Fortey, W. S. (William Samuel) (prt)",London,"W.S. Fortey, Printer, 2 and 3, Monmouth Court, Bloomsbury",[between 1860 and 1885],[between 1860 and 1885]|||1860/1885,,,,monographic,English,text,print,"7, [1] p. : ill. (wood-engravings) ; 13 cm.",Chapbooks-England-19th century|||Fairy tales-England-19th century|||Folklore|||Juvenile literature|||Publishers' paper bindings (Binding)-England-19th century,,Giants|||Chapbooks,,,juvenile,7547083,,,ocm29584759,,,
,Jack the Giant killer: a hero celebrated by ancient historians,Jack the Giant-Killer,,,,Banbury,Printed by J.G. Rusher,[1820],[1820]||||||1820,,,,monographic,English,text,print,"15, [1] p. illus. 9 cm.",,,"Chapbooks, English",,,juvenile,4001565,,29005457,ocm16889900,,,
,Jack the Giant Killer: adorned with cuts,,,,,London :,"Printed for N. Hailes Juvenile Library,",1817.,1817||||||1817.,,,,monographic,English,text,print|||unmediated|||volume,90 pages : illustrations ; 66 mm,Fiction|||Juvenile fiction|||Juvenile works|||Specimens|||text,,Fairy tales|||Giants|||Miniature books,,,,7892975,,,ocn177697322,,,
,Jack the giant killer,Jack the Giant-Killer,Marvellous history of Jack the giant killer,"Doyle, Richard, 1824-1883",,London,Eyre and Spottiswoode,1888,1888,,,,monographic,English,text,print|||unmediated|||volume,48 pages : color illustrations ; 26 cm,Fiction|||Juvenile fiction|||Juvenile works|||text,,Fairy tales|||Giants,,,juvenile,8114367,,,ocm14908356,,,
,Jack the giant-killer,,,,,New York,H.W. Hewet,c1855,c1855||||||1855,,,,monographic,English,text,print,30 p. : ill. ; 18 cm.,Fiction|||Juvenile fiction|||Juvenile works,,Fairy tales|||Giants,,,juvenile,7897906,,,ocm20388455,,,
,Jack the hunchback: a story of adventure on the coast of Maine,,,"Otis, James, 1848-1912",,New York,"A.L. Burt|||Burt, A. L. (Albert Levi), 1843-1913",©1892,©1892||||||1892,,,,monographic,English,text,print|||unmediated|||volume,"286, [20] pages, [4] leaves of plates : illustrations ; 19 cm",Fiction|||Juvenile fiction|||Juvenile works|||Publishers' catalogues-1892|||novel|||text,,Youth|||Conduct of life|||Adventure stories|||Aunts|||Shipwrecks|||Youth with disabilities|||Missing children|||Invalids|||Farmers|||Animals|||Sick|||Christian life,,"United States, New York, New York",juvenile,8210108,,,ocm04053796,,,
,Jackanapes,,,"Ewing, Juliana Horatia, 1841-1885","Caldecott, Randolph, 1846-1886 (ill)",Boston,Roberts Bros.,1891,1891,,,,monographic,English,text,print,60 p. : ill. ; 18 cm.,,,,,,juvenile,7233650,,,ocm02087051,,,
,Jackanapes,,,"Ewing, Juliana Horatia, 1841-1885","Caldecott, Randolph, 1846-1886 (ill)",Boston,"Roberts Brothers|||Roberts Brothers (Boston, Mass.)",1886,1886,,,,monographic,English,text,print,"60, [4] p. : ill. ; 18 cm.",Juvenile fiction|||Publishers' advertisements-1886|||novel,,Children|||Conduct of life|||Courage|||Cavalry|||Soldiers|||Death|||Christian life,,"United States, Massachusetts, Boston|||Great Britain",juvenile,6093300,,,ocn560270026|||560270026,,,
,Jackanapes,,,"Ewing, Juliana Horatia, 1841-1885","Caldecott, Randolph, 1846-1886 (ill)|||Evans, Edmund, 1826-1905 (prt, egr)",London|||New York,Society for Promoting Christian Knowledge|||E. and J.B. Young and Co.|||Society for Promoting Christian Knowledge (Great Britain)|||E. & J.B. Young & Co,1884,1884,,,,monographic,English,text,print,"47, [1] p. : front., ill. ; 22 cm.",Juvenile fiction|||Juvenile literature|||Publishers' advertisements-1884|||novel,Jackanapes lives in a small English village and joins the British army where he becomes a hero.,Children|||Conduct of life|||Courage|||Cavalry|||Soldiers|||Death|||Christian life,,"England, London|||United States, New York, New York|||Great Britain",juvenile,1499919,,13020465,ocm03076802,,,
,"James and Charles, and other tales for children: Embellished with cuts",,,,,Providence,"Published by Geo. P. Daniels|||Daniels, George Pond, 1809-1848",1836,1836,,,,monographic,English,text,print,"23, [1] p. : ill. ; 14 cm.",Bookplates (Provenance)|||Juvenile fiction|||Juvenile literature-1836|||Printed wrappers (Binding)|||Publishers' advertisements-Rhode Island-Providence|||Relief prints,,Children's stories|||Conduct of life|||Sabbath|||Dogs|||Play,,"United States, Rhode Island, Providence",juvenile,6343155,,,ocn191243975,,,
,Jan of the windmill: a story of the plains,,,"Ewing, Juliana Horatia, 1841-1885",,New York,Burt,[1884],[1884]||||||1884,,,,monographic,English,text,print,"xi, 394 p., [3] † of plates : ill. ; 20 cm.",,"Brought as a foster child to live with the miller's family when he is an infant, Jan early shows interest and talent in the arts, exercises a good and gentle spirit with all people, and only after tragedy and cruelty fail to thwart his love of nature and art, is he able to learn of his past and become united with his real father.",Country life|||Fiction,,England,juvenile,1146347,,,04077477,,,
,Jan of the windmill: the story of the plains,,Mrs. J.H. Ewing's tales,"Ewing, Juliana Horatia, 1841-1885",,Boston,Roberts Bros.,1896,1896,,,,monographic,English,text,print,"x, 310 p., [4] leaves of plates : ill. ; 17 cm.",Juvenile fiction,,Foster children|||Artists|||Plains|||Country life|||High Plains (U.S.),,England,juvenile,7100093,,,ocm54117126,,,
,"Janet, a poor heiress",,,"May, Sophie, 1833-1906",,Boston,Lee and Shepard,©1882,©1882||||||1882,,,,monographic,English,text,print|||unmediated|||volume,"vi, 349 pages, [8] leaves of plates : illustrations ; 18 cm",text,,Children's stories,,,juvenile,8161327,,,ocm04562589,,,
,Janice Meredith: a story of the American revolution,,,"Ford, Paul Leicester, 1865-1902","Pyle, Howard, 1853-1911 (illustrator)",New York,"Dodd, Mead & Co.",1899,1899,,,,monographic,English,text,print|||unmediated|||volume,"2 volumes : illustrations, plates ; 22 cm",Fiction|||History|||text,,History|||American Revolution (1775-1783),"1775-1783|||Revolution, 1775-1783",United States,,8958504,,,ocm02231759,,,
,Japanese fairy tales,,Boy who drew cats|||Old woman who lost her dumpling|||Chin Chin Kobakama|||Goblin spider|||Fountain of youth,"Hearn, Lafcadio, 1850-1904",,Tokyo],[Hasegawa],[1898?-1926?],[1898?-1926?]|||1898/1926,,,,monographic,English,text,print|||unmediated|||volume,5 volumes : color illustrations ; 20 cm,text,,,,,,8862686,,,ocn960062712,,,
,"Jasper, or, The spoiled child recovered",,The spoiled child recovered,"Abbott, Jacob, 1803-1879","Abbott, Jacob, 1803-1879",New York,Harper & Brothers,c1857,c1857||||||1857,,,,monographic,English,text,print,160 p. : ill. ; 17 cm.,,,,,,,465245,,,16669492,,,
,"Jean Belin, or, The adventures of a little French boy",,Jean Belin|||Adventures of a little French boy,"Guézenec, Alfred, 1823-1866",,Boston,"Loring, 319 Washington Street",[between 1860 and 1869?],[between 1860 and 1869?]||||||186u,,,,monographic,French|||English,text,print|||unmediated|||volume,350 pages ; 20 cm,Fiction|||Juvenile fiction|||Juvenile works|||novel|||text,,Boys|||Manners and customs|||Social life and customs,1800-1899|||19th century,France,juvenile,9035057,,,ocm36956942,,,
,"Jennette, or, The great mistake",,Great mistake,"Murray, Grace.",,New York (200 Mulberry-Street),"Sunday-School Union|||Methodist Episcopal Church, Sunday School Union.",[between 1857 and 1868],[between 1857 and 1868]|||1857/1868,,,,monographic,English,text,print,"52, [4] p. : ill. ; 12 cm",Juvenile fiction|||Publishers' advertisements|||novel,,Christian life|||Children|||Conduct of life|||Pride and vanity|||Friendship|||Hypocrisy|||Errors,,,juvenile,7697202,,,ocn589610731|||589610731,,,
,Jennie McDowell: The winter morning walk ; Letter to my young cousin,,The winter morning walk|||Letter to my young cousin,,,Philadelphia (No. 1122 Chestnut Street),American Sunday-School Union|||American Sunday-School Union,[18--?],[18--?]|||1800/1899,,,,monographic,English,text,print,"16, 16, 15 p. : ill. ; 11 cm.",Juvenile fiction|||Miniature books (Printing)-Philadelphia|||Specimens|||novel,,Sunday schools|||Miniature books|||Children|||Religious life,,"United States, Pennsylvania, Philadelphia",juvenile,4374646,,,ocm56908758,,,
,Jenny and the insects,,,"Guernsey, Lucy Ellen, 1826-1899",,Philadelphia [etc.],American Sunday School Union,[1857],[1857]||||||1857,,,,monographic,English,text,print,"298 p. incl. col. front., illus. 6 col. pl. 18 1/2 x 15 cm.",Juvenile literature,,Insects,,,juvenile,6800611,,06014273,ocm05837887,,,
,Jessica's first prayer,,,"Stretton, Hesba, 1832-1911",Religious Tract Society (Great Britain),London,Religious Tract Society,[1867],[1867]||||||1867,,,,monographic,English,text,print,92 p. : ill. ; 16 cm.,Juvenile fiction,,Children|||Conduct of life|||Intergenerational relations|||Alcoholism|||Runaway children|||Clergy|||Adoption|||Christian life,,,juvenile,7095447,,,ocm04481120,,,
,Jessica's first prayer,,,"Stretton, Hesba, 1832-1911",,Philadelphia,Henry Altemus Company|||Henry Altemus Company,[1897?],[1897?]||||||1897,,,,monographic,English,text,print,78 p. : ill. ; 15 cm.,Juvenile fiction|||novel,,Christian life|||Children|||Conduct of life|||Intergenerational relations|||Alcoholism|||Runaway children|||Clergy|||Adoption,,"United States, Pennsylvania, Philadelphia",juvenile,7095489,,,ocn237051506,,,
,"Jessy Allan, the lame girl: a story, founded on facts",,,"Kennedy, Grace, 1782-1825",,New York,Robert Carter,1854,1854||||||1850,,,3d American ed. from the 9th Edinburgh ed.,monographic,English,text,print,107 p. 16 cm.,Juvenile literature,,Christian life|||Sabbath schools|||Children and death|||Fatherless families,,,,7111721,,,ocm29983918,,,
