id,title,uniform_title,alternative_title,creator,contributor,publication_place,publisher,publication_date,encoded_date,creation_date,copyright_date,edition,issuance,language,type_of_resource,format,extent,genre,abstract,subject,temporal_coverage,geographic_coverage,target_audience,record_id,isbn,lccn,oclccn,url,depositor,collection_id
,"Advice to the teens, or, Practical helps towards the formation of one's own character",,"Advice to the teens|||Practical helps towards the formation of one's own character|||Advice to the teens, &c. & c","Taylor, Isaac, 1759-1829","Curtis, S.",London (Paternoster Row),"Printed for Rest Fenner|||Fenner, Rest",1818,1818,,,,monographic,English,text,print|||unmediated|||volume,"[4], vi, 194 pages, [1] leaf of plates (frontispiece) : 1 illustration (engraving) ; 17 cm",Life skills guides|||text,,Self-culture|||Teenage boys|||Conduct of life|||Youth,,Great Britain,,8546945,,,ocn317618207,,,
,"AEsop in rhyme, or, Old friends in a new dress",Aesop's fables. Selections,,,"Park, Marmaduke.",Philadelphia|||New York,Henderson|||Appleton,"1855,c 1852","1855,c 1852||||||1855",,,,monographic,English,text,print,288 p. : ill. ; 18 cm.,,,Fables,,,,1023263,,,02353183,,,
,Aesop's Fables,Aesop's fables. Selections. English,,,,New York|||Baltimore,"Published by Samuel Wood & Sons, no. 261 Pearl Street|||Samuel S. Wood & Co., no. 212 Market St.",1822,1822,,,,monographic,English,text,print,44 p. : ill. ; 13 cm.,Juvenile literature|||Specimens,,Animals|||Chapbooks,,,juvenile,7896472,,,ocm12242445,,,
,"Aesop's fables: a new version, chiefly from original sources",Aesop's fables,,,"James, Thomas, 1809-1863|||Tenniel, John, 1820-1914",London,J. Murray,1863,1863,,,,monographic,English,text,print,"xx, 148 p. : ill. ; 18 cm.",,,Fables,,,,1022224,,,06137345,,,
,"Aesop's fables, complete",Aesop's fables. English,,,"James, Thomas, 1809-1863",Philadelphia,J.B. Lippincott,1864,1864,,,,monographic,English,text,print,"xx, 21-208 p. : ill. ; 16 cm.",,,Fables,,,,7111993,,,ocm37774208,,,
,Æsop's fables: from the version,,,Aesop.,"James, Thomas, Rev., Vicar of Sibbertoft|||Aikin, Lucy, 1781-1864","South Norwalk, Ct",C.W. Knudsen,1879,1879,,,,monographic,English,text,print|||unmediated|||volume,"30 pages, iv, 1 leaf sq. 16mo",text,,English language|||Spelling (Phonetic),,,,8928535,,,ocm37813316,,,
,Aesop's fables: in words of one syllable,Aesop's fables. English,,"Aikin, Lucy, 1781-1864",,New York|||London,Cassell & Co.,©1888,©1888||||||1888,,,,monographic,English,text,print|||unmediated|||volume,87 pages : illustrations ; 22 cm.,text,,Fables,,,juvenile,8868398,,,ocm18447956,,,
,"affecting history of the children in the wood, The",Children in the wood (Ballad),History of the children in the wood|||Children in the wood|||Babes in the wood,,,London :,"W. Fortey, Printer, Monmouth Court,|||Fortey, W. S. (William Samuel)",[between 1860 and 1885],[between 1860 and 1885]|||1860/1885,,,,monographic,English,text,print|||unmediated|||volume,8 unnumbered pages : illustrations (woodcuts) ; 13 cm,Specimens|||text,,"Chapbooks, English|||Chapbooks",,,juvenile,8472666,,,ocn953875315,,,
,Afternoon tea: rhymes for children,,,,"Sowerby, J. G. (John G.) (ill)|||Emmerson, H. H. (ill)",London|||Newcastle-on-Tyne,"Frederick Warne and Co.|||Mawson, Swan, and Morgan|||Frederick Warne and Co",[1880],[1880]||||||1880,,,,monographic,English,text,print,64 p. : col. ill. ; 26 cm.,,,Children's poetry,,,juvenile,6537201,,,ocm25819296,,,
,Agnes: A Franconia story,,,"Abbott, Jacob, 1803-1879","Wells, Jacob (illustrator)|||Minton, Christopher (engraver)|||Minton, John (engraver)|||Roberts, William, approximately 1829- (engraver)|||Orr, Nathaniel (engraver)",New York,Harper & Brothers publishers. Franklin Square.|||Harper & Brothers,[1853],[1853]||||||1853,,,,monographic,English,text,print|||unmediated|||volume,"vi, [5], 12-224 p. : ill. ; 18 cm.",Fiction|||Juvenile fiction|||Juvenile literature-1853|||Juvenile works|||Publishers' cloth bindings (Binding)-1853|||Relief prints|||text,,Children's stories|||Conduct of life|||Country life|||Sick children|||Blind children|||Play|||Children's accidents|||Fishing stories|||Shipbuilding,,"United States, New York, New York",juvenile,8365002,,,ocn191234305,,,
,"agricultural and economical almanack, for the year of our Lord: calculated for the meridian of New-Haven, An",,"Agricultural and economical almanac, for the year of our Lord",,"Middlebrook, Elijah, 1785-1859|||Society for Promoting Agriculture in the State of Connecticut",New Haven [Conn.]|||Hartford [Conn.],"Sold by Maltby, Goldsmith & Co.|||Cooke & Hale|||Printed by J. Barber",1816-1821,1816-1821|||1816/1821,,,,serial,English,text,print,6 v. ; 21 cm.,,,"Almanacs, American",,Connecticut,,6909589,,98650510,ocm06401895,,,
,"Ainslee stories, The",,,"Campbell, Helen, 1839-1918","Champney, W. L. (ill)|||Smith, S. L. (ill)|||H.O. Houghton & Company (prt, str)",New York|||Cambridge,"Hurd and Houghton|||Riverside Press|||Hurd & Houghton|||Riverside Press (Cambridge, Mass.)","c1868, 1876","c1868, 1876||||||1868",,,,monographic,English,text,print,"411 p., [8] leaves of plates : ill. ; 18 cm.",novel,,Children's stories,,"United States, New York, New York|||United States, Massachusetts, Cambridge",juvenile,7251009,,,ocm49568191|||49568191,,,
,Airy fairy Lilian,,,"Duchess, 1855?-1897",,New York,A.L. Burt,[between 1879 and 1900],[between 1879 and 1900]|||1879/1900,,,,monographic,English,text,print|||unmediated|||volume,348 pages : 1 front plate ; 20 cm,text,,,,,,8116849,,,ocm28591063,,,
,"alcove: containing some further account of Timboo, Mark and Fanny, The",,,"Abbott, Jacob, 1803-1879",,New York,Harper & Brothers,©1856,©1856||||||1856,,,,monographic,English,text,print|||unmediated|||volume,"160 pages including frontispiece, illustrations 18 cm.",text,,Children's stories,,,juvenile,8363113,,44027168,ocm01995645,,,
,Alcuin and the rise of the Christian schools,,,"West, Andrew Fleming, 1853-1943",,London,W. Heinemann,1893,1893,,,,monographic,English,text,print,"vii, 205 p. : ill., map ; 18 cm.",,,"Education, Medieval|||Alcuin 735-804",,,,1035183,,,03423720,,,
,"Alhambra, The",,,"Irving, Washington, 1783-1859","Pennell, Joseph, 1857-1926|||Pennell, Elizabeth Robins, 1855-1936",London|||New York,Macmillan,1896,1896,,,,monographic,English,text,print,"xx, 436 p. : ill. ; 28 cm.",,,"Alhambra (Granada, Spain)",,,,6135377,,38036424,ocm03299250,,,
,"Ali Baba, or, The forty thieves",Ali Baba (Folk tale)|||Arabian nights,Forty thieves,,,London,"Printed by W.S. Fortey, (late A. Ryle), Monmouth Court, Bloomsbury, W.C.",[1859],[1859]||||||1859,,,,monographic,English,text,print,8 p. : col. ill. (wood-engravings) ; 18 cm.,Juvenile literature|||Juvenile works|||Specimens,,"Thieves|||Folk literature, Arabic|||Chapbooks",,,juvenile,7896475,,,ocm49614344,,,
,Alice Learmont: a fairy tale,,,"Craik, Dinah Maria Mulock, 1826-1887","Godwin, James, -1876",London,Chapman and Hall,1852,1852,,,,monographic,English,text,print,"146 p., [2] leaves of plates : ill. ; 17 cm.",,,,,,,7724022,,,ocm22432484,,,
,"Alice's adventures in Wonderland: and, Through the looking glass",,"Alice in wonderland ; and, Through the looking glass|||Through the looking-glass","Carroll, Lewis, 1832-1898","Tenniel, John, 1820-1914 (illustrator)|||Carroll, Lewis, 1832-1898",Boston :,"Lothrop Publishing Company,|||Lothrop Publishing Company",[1898].,1898||||||[1898].,,1898,New edition in 1 volume.,monographic,English,text,print|||unmediated|||volume,"208 pages, 3 unnumbered leaves of plates : illustrations (some color) ; 24 cm",Fiction|||Juvenile fiction|||Juvenile works|||text,,(Fictitious character from Carroll) Alice,,"United States, Massachusetts, Boston",juvenile,7695248,,,ocm12618210,,,
,"Alice's adventures in wonderland, and Through the looking-glass",,Through the looking-glass,"Carroll, Lewis, 1832-1898",,New York,Macmillan,1881,1881,,,New ed. in 1 v.,monographic,English,text,print|||unmediated|||volume,"2 volumes in 1(192, 224 pages) : illustrations ; 21 cm.",Fiction|||Juvenile fiction|||text,,Fantasy fiction|||(Fictitious character from Carroll) Alice,,,,8217467,,,ocm43893794,,,
,Alice's adventures in Wonderland,,,"Carroll, Lewis, 1832-1898","Tenniel, John, 1820-1914 (illustrator)",New York :,"Macmillan & Co.,",1893.,1893||||||1893.,,,New edition.,monographic,English,text,print|||unmediated|||volume,"192 pages, 1 unnumbered leaf of plates : illustrations ; 19 cm",Fiction|||Juvenile fiction|||Juvenile works|||text,,(Fictitious character from Carroll) Alice,,,juvenile,7695717,,,ocm23458370,,,
,Alice's adventures in Wonderland: Through the looking-glass,,Through the looking-glass and what Alice found there|||Through the looking-glass,"Carroll, Lewis, 1832-1898","Tenniel, John, 1820-1914",New York,Macmillan,1897,1897,,,new ed.,monographic,English,text,print,192 p. : ill. ; 19 cm,,,Fantasy,,,juvenile,7747158,,,ocn463397105,,,
,"All about poor little Topsy: from ""Uncle Tom's cabin""",Uncle Tom's cabin. 1853,,"Stowe, Harriet Beecher, 1811-1896",,London :,"Partridge and Oakey,",1853.,1853||||||1853.,,,,monographic,English,text,print|||unmediated|||volume,1 volume (unpaged) ; 15 cm,Juvenile fiction|||text,,Topsy (Fictitious character : Adamson),,,juvenile,8737247,,,ocn316460970,,,
,"All for the best, or, The old peppermint man / by T. S. Arthur. The story without an end : from the German of Carove / by Sarah Austin ; with a preface and key to the emblems by A. Bronson Alcott",,The story without an end,"Arthur, T. S. (Timothy Shay), 1809-1885","Carové, Friedrich Wilhelm, 1789-1852|||Austin, Sarah, 1793-1867 (translator)|||Alcott, Amos Bronson, 1799-1888 (writer of preface)",New York :,"James Miller (647 Broadway),",[1877?],1877||||||[1877?],,,,monographic,English|||German,text,print|||unmediated|||volume,"130, 93 pages : illustrations, plates ; 16 cm",Fiction|||Juvenile fiction|||Juvenile works|||text,,Conduct of life,,,juvenile,8482977,,,ocn954335690,,,
,All round the clock,,,"Mack, Robert Ellice.","Bennett, H. M. (Harriet M.) (ill)|||Nister, Ernest. (ltg, prt)",New York,E.P. Dutton & Co.|||E.P. Dutton (Firm),[188-?],[188-?]||||||188u,,,,monographic,English,text,print|||unmediated|||volume,"64 pages : frontispiece, illustrations (some color) ; 24 cm",Juvenile poetry|||text,,Picture books for children|||Children|||Conduct of life|||Children's poetry,19th century,"United States, New York, New York|||Gemany, Nuremberg",juvenile,7941121,,,ocm09365389,,,
,"""All that glitters is not gold.""",,,"Salter, Mary J.",,Boston,Wright & Potter Printing Company,"[1886, c1880]","[1886, c1880]||||||1886",,,,monographic,English,text,print,102 p. 18 cm.,,,,,,,4415973,,,ocm01081865,,,
,"Allan Quatermain: being an account of his further adventures and discoveries in company with Sir Henry Curtis, bart., Commander John Good, R.N., and one Umslopogaas",,,"Haggard, H. Rider (Henry Rider), 1856-1925",,London,"Longmans, Green, and Co.",1887,1887,,,,monographic,English,text,print|||unmediated|||volume,"4 preliminary leaves, 278, [2] pages : frontispiece (portrait) illustrations, plates ; 20 cm.",Fiction|||text,,"Quatermain, Allan (Fictitious character)|||Hunting guides|||Adventure stories, English",,Africa,,8213499,,44044935,ocm03596493,,,
,"almanac of twelve sports, An",,,"Nicholson, William, 1872-1949","Kipling, Rudyard, 1865-1936|||Chandler Kipling Collection (Library of Congress)|||Elizabeth Robins Pennell Collection (Library of Congress)",London,William Heinemann,"1898, c1897","1898, c1897||||||1898",,1897,,monographic,English,text,print,[32] p. : col. ill. ; 32 cm.,,,"Sports in art|||Nicholson, William 1872-1949",,,,4221237,,84167493,ocm11842076,,,
,Almanack for 1883,,,"Greenaway, Kate, 1846-1901","Evans, Edmund, 1826-1905 (prt, egr)","London (Broadway, Ludgate Hill)|||New York (9, Lafayette Place)",George Routledge and Sons|||George Routledge and Sons,[1883],[1883]||||||1883,,,,monographic,English,text,print|||unmediated|||volume,[24] pages : color illustrations ; 11 cm,Juvenile literature|||Juvenile works|||text,,"Almanacs, English|||Natural history|||Months|||Seasons",,"United States, New York, New York|||England, London",juvenile,9048685,,,ocm09123071,,,
,Alone in London,,,"Stretton, Hesba, 1832-1911",Religious Tract Society (Great Britain),London,Religious Tract Society,[1869?],[1869?]||||||1869,,,,monographic,English,text,print,144 p. : ill. ; 16 cm.,Juvenile fiction,,Children|||Death|||Christian life|||Homeless children|||Orphans|||Grandfathers|||Poor|||Poverty|||Reconciliation|||Hospitals,,,juvenile,7091424,,,ocm04444988,,,
