,id,title,uniform_title,alternative_title,creator,contributor,publication_place,publisher,publication_date,encoded_date,creation_date,copyright_date,edition,issuance,frequency,language,type_of_resource,format,extent,genre,abstract,subject,temporal_coverage,geographic_coverage,target_audience,isbn,lccn,oclccn,url
2734,7091497,"Waste not, want not: and other stories",,Tales by Maria Edgeworth,"Edgeworth, Maria, 1768-1849","Orr, Nathaniel. ()|||Edgeworth, Maria, 1768-1849 ()",New York,"James Miller, publisher, 647 Broadway",[ca. 1877?],1877,,,,monographic,,eng,text,print,"272 p., [3] leaves of plates : ill. ; 16 cm.",Juvenile literature,,"Conduct of life|||Children's stories, English",,,juvenile,,,ocm31696042,
2735,7091499,"Waste not, want not: or, Two strings to your bow",,,"Edgeworth, Maria, 1768-1849","Croome, William, 1790-1860 (ill.)|||Herrick, Henry Walker, 1824-1906 (engraver.)|||Roberts, William, approximately 1829- (engraver.)|||C.G. Henderson & Co (publisher.)|||D. Appleton and Company (publisher.)",Philadelphia|||New York,C.G. Henderson & Co.|||D. Appleton & Co.,1854,,,,,monographic,,eng,text,print,"62, 16 p., [2] leaves of plates : ill. ; 15 cm.",Juvenile fiction,,Children's stories|||Conduct of life,,United States Pennsylvania Philadelphia|||United States New York New York,juvenile,,,ocn191235197,
2736,6137389,"Watch and wait, or, The young fugitives: a story for young people",,Watch and wait|||Young fugitives,"Optic, Oliver, 1822-1897",,Boston,Lee and Shepard,1864,,,,,monographic,,eng,text,print,"8, 11-276, [4] p. : front., 2 plates ; 18 cm.",Fiction|||Juvenile fiction,The Grant family takes in three fugitive slaves who relate the story of their escape to freedom.,"Family life|||Children's stories, American|||Slavery",,,juvenile,,,ocm46351232,
2737,8061695,"water-babies: a fairy tale for a land-baby, The",,,"Kingsley, Charles, 1819-1875",,New York,Frederick A. Stokes Company,1891,,,,Vignette ed. /,monographic,,eng,text,print|||unmediated|||volume,"[6], 308 pages : illustrations ; 20 cm",Fiction|||Juvenile fiction|||Juvenile works|||novel|||text,The water-babies was inspired by Kingsley's thoughts on evolution. He was one of the few clergymen to accept wholeheartedly Darwin's theories of evolution and natural selection and to devote himself to the spread of the new knowledge of nature.,Children|||Conduct of life|||Chimney sweeps|||Fairies|||Evolution|||Animal welfare|||Child abuse|||Christian life,,United States New York New York,juvenile,,7012795,ocm01870348,
2738,8061711,"water-babies: a fairy tale for a land-baby, The",,,"Kingsley, Charles, 1819-1875",,London|||New York,Macmillan and Co.,1885,,,,"New ed., with one hundred illustrations by Linley Sambourne.",monographic,,eng,text,print|||unmediated|||volume,371 pages : illustrations ; 22 cm,Juvenile fiction|||text,,Fairy tales|||Children|||Conduct of life|||Chimney sweeps|||Child abuse,,,,,,ocm06767167,
2739,8061722,"water-babies: a fairy tale for a land-baby, The",,,"Kingsley, Charles, 1819-1875",,Philadelphia,H. Altemus,[©1899],1899,,,,monographic,,eng,text,print|||unmediated|||volume,276 pages [1] leaf of plates illustrations 17 cm.,Fiction|||Juvenile fiction|||Juvenile works|||text,,Fairy tales|||Chimney sweeps|||Fairies|||Evolution|||Animal welfare|||Child abuse,,,juvenile,,99003962,ocm04738394,http://archive.org/details/waterbabiesfairy0king
2740,8061685,"water-babies: a fairy tale for a land-baby, The",,,"Kingsley, Charles, 1819-1875","Paton, J. Noël (Joseph Noël), 1821-1901 ()",London|||And Cambridge,Macmillan and Co.,1863,,,,1st edition,monographic,,eng,text,print|||unmediated|||volume,"[8], 350, [2] pages, [2] leaves of plates : illustrations ; 22 cm",Fiction|||Juvenile fiction|||Juvenile works|||text,"The adventures of Tom, a sooty little chimney sweep with a great longing to be clean, who is stolen by fairies and turned into a water baby.",Fairy tales|||Chimney sweeps|||Fairies|||Evolution|||Animal welfare|||Child abuse,,,juvenile,,,ocm02169852,
2741,1123522,"water-babies: a fairy tale for a land-baby, The",,A fairy tale for a land-baby,"Kingsley, Charles, 1819-1875",,New York,Crowell,c1895,1895,,,,monographic,,eng,text,print,"268 p., plates : ill. ; 18 cm.",Fiction,,Chimney sweeps|||Fairy tales,,,,,,303142,
2742,7742403,"Way to the heart of childhood, or, Seed sown in spring-time",,Way to the heart of childhood|||Seed sown in spring-time,,"Rea, Jeremiah (engraver.)|||American Sunday-School Union (publisher.)",Philadelphia,American Sunday-School Union,c1865,1865,,,,monographic,,eng,text,print,"107 p., [3] leaves of plates : ill. ; 16 cm",Sunday school literature,,,,,juvenile,,2005577835,ocm62697345|||62697345,
2743,7715175,Wayside blossoms of prose and poetry,,,,"Fowler, E. E. ()",Philadelphia,H.J. Smith & Co.|||H.J. Smith & Co,1891,,,,,monographic,,eng,text,print|||unmediated|||volume,256 pages : illustrations (some color) ; 26 cm,Children's poetry-1891|||Children's stories-1891|||Dialogues-1891|||Juvenile literature|||text,,Children|||Conduct of life|||Children's stories|||Children's poetry,,United States Pennsylvania Philadelphia|||United States Illinois Chicago|||United States California Oakland,juvenile,,,ocm03890861,
