,id,title,uniform_title,alternative_title,enumeration_chronology,associated_name,publication_place,publisher,publication_date,start_date,end_date,edition,issuance,frequency,language,type_of_resource,format,extent,genre,abstract,subject,temporal_coverage,geographic_coverage,target_audience,preceded_by,succeeded_by,issn,lccn,oclcn
30,530612,Majority report (N.Y.),,,,,New York],Majority Report Co.,,1971,9999,,serial,Biweekly,eng,text,print,v. ill. 43 cm.,periodical,,,,,,,,0145-5745,sc 77000728,
31,9248545,Majority report: an independent newspaper published monthly by New York Area Feminists,,Majority report,,,"Berkeley, California :","New York Area Feminists,",1972-,1972,uuuu,,serial,Monthly,eng,text,electronic resource|||remote|||computer|||online resource,1 online resource (volumes) : illustrations.,Periodicals|||periodical|||text,,Feminism|||Women,,,,,,,,
32,9248571,Marin women's news journal,,,,,"[San Rafael, California] :",[publisher not identified],,1973,1975,,serial,Monthly,eng,text,electronic resource|||remote|||computer|||online resource,1 online resource (volumes) : illustrations.,Periodicals|||periodical|||text,,Feminism,,,,,,,,
33,8828709,Marin women's news journal,,,,,S.l.],[s.n.],,uuuu,uuuu,,serial,,,text,electronic|||electronic resource|||remote,,,,,,,,,,,,
34,9248426,Marin women's newsletter,,Marin women's news journal,,,"[San Rafael, California] :",[publisher not identified],,1973,1975,,serial,Monthly,eng,text,electronic resource|||remote|||computer|||online resource,1 online resource (volumes) : illustrations.,Periodicals|||periodical|||text,,Feminism,,,,,,,,
35,528456,Momma,,,,,"Venice, Calif",Momma.,,1972,9999,,serial,Monthly,eng,text,print,v. ill. 38 cm.,periodical,,,,,,,,0300-6492,sc 79004428,
36,9248482,Momma: the newspaper/magazine for single mothers,,Momma,,Momma (Organization) (issuing body),"Venice, California :",Momma,,1972,1974,,serial,"Irregular, 1974|||Monthly (irregular), 1972-1973|||Completely irregular",eng,text,electronic resource|||remote|||computer|||online resource,1 online resource (2 volumes) : illustrations.,Periodicals|||periodical|||text,,Single mothers|||Unmarried mothers|||Single-parent families|||Women|||Social and moral questions|||Child care,,,,,,0300-6492,,
37,530642,"Monthly extract: an irregular periodical, The",,,,,"Stamford, Conn",New Moon Communications.,,1972,9999,,serial,Unknown,eng,text,print,v. 22 cm.,periodical,,Women|||Periodicals|||Health and hygiene|||Feminism,,,,,,,,
38,9264317,"Monthly extract, The",,,,"Feminist Gynecological Self Help Clinics of America (issuing body)|||Feminist Women's Health Centers, Inc (contributor)","Stamford, CT :","New Moon Communications, Inc.,",1972-,1972,uuuu,,serial,Irregular|||Completely irregular,eng,text,electronic resource|||remote|||computer|||online resource,1 online resource (volumes) : illustrations.,Periodicals|||periodical|||text,,Women|||Health and hygiene|||Feminism,,,,,,,,
39,535935,Mother lode,,,,,San Francisco,[s.n.],,1971,9999,,serial,Unknown,eng,text,print,no. ill.,,,Feminism|||Periodicals,,,,,,,,
40,9247320,Mother lode,,,,,"San Francisco, California :","Mother Lode,",1971-,1971,uuuu,,serial,"2 issues yearly (spring and summer), summer 1971-<spring 1973>|||Quarterly, Jan.-Apr. 1971|||Semiannual",eng,text,electronic resource|||remote|||computer|||online resource,1 online resource (volumes) : illustrations.,Periodicals|||periodical|||text,,Feminism,,,,,,,,
