id,title,uniform_title,alternative_title,enumeration_chronology,associated_name,publication_place,publisher,publication_date,start_date,end_date,edition,issuance,frequency,language,type_of_resource,format,extent,genre,abstract,subject,temporal_coverage,geographic_coverage,target_audience,preceded_by,succeeded_by,issn,lccn,oclccn,url
542026,Pittsburgh's gay life,,,,,Pittsburgh,GNC Inc.,,1977,1977,,serial,Monthly,English,text,print,ill. 22 cm.,periodical,,Homosexuality|||Periodicals|||Lesbianism|||Gay liberation movement,,Pennsylvania|||Pittsburgh,,,Gay life,,,,
541069,Pittsburgh gay news,,Gay news,,,Pittsburgh,Gay Alternatives Pittsburgh.,,1973,1976,,serial,Eight times a year.,English,text,print,ill. 41 cm.,periodical,,Homosexuality|||Periodicals|||Lesbianism|||Gay liberation movement,,Pennsylvania|||Pittsburgh,,Gay news (OCoLC)3509532,Gay news (OCoLC)3954894,,,,
9247458,Pittsburgh gay news,,Gay news|||PGN,,Gay Alternatives Pittsburgh (issuing body),"Pittsburgh, Pennsylvania :",Gay Alternatives Pittsburgh,,1973,1976,,serial,Monthly,English,text,electronic resource|||remote|||computer|||online resource,1 online resource (volumes) : illustrations.,Newspapers|||newspaper|||text,,Gays|||Lesbians|||Gay community|||Homosexuality|||Lesbianism|||Gay liberation movement|||Gay activists|||Gay bars|||Gay business enterprises|||Gay Alternatives Pittsburgh,,Pittsburgh (Pa.)|||Pennsylvania|||Pittsburgh,,,,,,,http://pitt.idm.oclc.org/login?url=http://gdc.galegroup.com/gdc/artemis/atp/AboutThisPublicationPortletWin?mCode=6PLG&p=AHSI&prodId=AHSI&action=e&windowstate=normal&mode=view&userGroupName=upitt_main
546125,Out,"Out (Pittsburgh, Pa.)",Pittsburgh's Out|||Out Magazine,,,"Pittsburgh, Pa",GNC.,1979-,1979,9999,,serial,Monthly,English,text,print,v. : ill. ; 26 cm.,periodical,,Homosexuality|||Periodicals,,Pennsylvania|||Pittsburgh,,Gay life (OCoLC)3831941,,,sn 86038120,,
1517833,Planet queer,,,,,"Pittsburgh, Pa",Planet Queer,c1994-,1994,9999,,serial,Monthly,English,text,print,v. : ill. ; 39 cm.,periodical,,Gays|||Periodicals|||Lesbians,,United States|||Pittsburgh Metropolitan Area|||Pennsylvania,,,,,sn 95042128,,
9194962,"TV-TS tapestry, The",,Transvestite transsexual tapestry|||Tapestry|||Tapestry journal|||TV-TS tapestry journal,,,"Waltham, Massachusetts :|||Wayland, Massachusetts :|||Wayland, Mass. :","I.F.G.E., Inc.,|||I.F.G.E., Inc.,|||Tiffany Club,",[1995]|||[1988?]-[1994]|||[198u]-[1987?],198u,1995,,serial,Quarterly,English,text,print|||unmediated|||volume,volumes : illustrations ; 28 cm,Directories|||Periodicals|||directory|||periodical|||text,,"Cross-dressing|||Transsexuals|||Societies, etc",,,,"Tapestry (Wayland, Mass.) 0884-9749 (DLC)sf 94095161 (OCoLC)12536412",Transgender tapestry 1083-0006 (DLC)sf 96092749 (OCoLC)32692689,0884-9749,2001227005,,
4751558,Transgender tapestry,,Tapestry|||Transgender winter 1995,,International Foundation for Gender Education (issuing body),"Waltham, MA :",I.F.G.E.,,1995,2008,,serial,Quarterly,English,text,electronic|||electronic resource|||remote|||computer|||online resource,,Electronic journals|||Periodicals|||periodical|||review|||text,,Transsexuals|||Transsexualism|||Cross-dressing|||Gender identity,,,,TV-TS tapestry (DLC) 2018247577 (OCoLC)606565921,,1083-0006,,,http://pitt.idm.oclc.org/login?url=https://search.proquest.com/publication/29627
9194964,Transvestia,,,,"Prince, Virginia (editor)","Los Angeles, California :","Chevalier Publications,",1952-,1952,uuuu,,serial,Unknown,English,text,print|||unmediated|||volume,volumes : illustrations ; 21-28 cm,Periodicals|||periodical|||text,,Cross-dressing|||Cross-dressers,,,,,,,sn 88027179,,
9248443,Transvestia,,,,,"[Los Angeles, California] :","[Chevalier Publications],",1952-,1952,uuuu,,serial,Unknown,English,text,electronic resource|||remote|||computer|||online resource,1 online resource (volumes) : illustrations.,Periodicals|||periodical|||text,,Cross-dressing,,,,,,,,,http://pitt.idm.oclc.org/login?url=http://gdc.galegroup.com/gdc/artemis/atp/AboutThisPublicationPortletWin?mCode=9CVJ&p=AHSI&prodId=AHSI&action=e&windowstate=normal&mode=view&userGroupName=upitt_main
1146741,Update,Update (Pittsburgh AIDS Task Force),Pittsburgh AIDS Task Force update,,,"Pittsburgh, Pa",The Task Force,,198u,9999,,serial,"Bimonthly, Nov. 1991-|||Quarterly, -Sept. 1991|||Bimonthly",English,text,print,v. : ill. ; 28-45 cm.,periodical,,Periodicals|||AIDS (Disease)|||Patients|||Services for|||Prevention|||Pittsburgh AIDS Task Force (Pa.),,Pennsylvania|||Pittsburgh,,,,,sn 94042045,,
