id,title,uniform_title,alternative_title,enumeration_chronology,associated_name,publication_place,publisher,publication_date,start_date,end_date,edition,issuance,frequency,language,type_of_resource,format,extent,genre,abstract,subject,temporal_coverage,geographic_coverage,target_audience,preceded_by,succeeded_by,issn,lccn,oclcn,url
9247173,It ain't me babe,,It is not my baby Apr. 1971|||IAMB,,"Berkeley Women's Liberation (Calif.) (issuing body)|||Women's Liberation Basement Press Collective (Berkeley, Calif.) (issuing body)","Berkeley, California :","Berkeley Women's Liberation,",[1970]-,1970,uuuu,,serial,Irregular|||Completely irregular,English,text,electronic resource|||remote|||computer|||online resource,1 online resource (volumes) : illustrations.,Periodicals|||periodical|||text,,Feminism|||Women's rights,,,,,,,,,http://pitt.idm.oclc.org/login?url=http://gdc.galegroup.com/gdc/artemis/atp/AboutThisPublicationPortletWin?mCode=0POS&p=AHSI&prodId=AHSI&action=e&windowstate=normal&mode=view&userGroupName=upitt_main|||http://pitt.idm.oclc.org/login?url=http://gdc.galegroup.com/gdc/artemis/atp/AboutThisPublicationPortletWin?mCode=3BUY&p=AHSI&prodId=AHSI&action=e&windowstate=normal&mode=view&userGroupName=upitt_main
8828038,It AINT Me BABE,,,,,S.l.],[s.n.],,uuuu,uuuu,,serial,,,text,electronic|||electronic resource|||remote,,,,,,,,,,,,,http://pitt.idm.oclc.org/login?url=http://voices.revealdigital.com/cgi-bin/independentvoices?a=cl&cl=CL1&ai=1&sp=BHGGAEFE
535331,Know news,,,,,"Pittsburgh, Pa","Know, Inc.",,1970,9999,,serial,Irregular|||Completely irregular,English,text,print,v. ; 28 cm.,,,,,,,,,,sc 83006224,,
548294,Maenad,,,,,"Gloucester, Ma",P. Estey,c1980-,1980,9999,,serial,Quarterly,English,text,print,v. : ill. ; 21 cm.,bibliography|||periodical,,Feminism|||Periodicals|||American literature|||Women authors|||Women artists,,United States,,,,0275-5629,82645018|||sn 81000560,,
530612,Majority report,,,,,New York],Majority Report Co.,,1971,9999,,serial,Biweekly,English,text,print,v. ill. 43 cm.,periodical,,,,United States,,,,0145-5745,sc 77000728,,
9248545,Majority report,,Majority report,,,"Berkeley, California :","New York Area Feminists,",1972-,1972,uuuu,,serial,Monthly,English,text,electronic resource|||remote|||computer|||online resource,1 online resource (volumes) : illustrations.,Periodicals|||periodical|||text,,Feminism|||Women,,Berkeley|||California,,,,,,,http://pitt.idm.oclc.org/login?url=http://gdc.galegroup.com/gdc/artemis/atp/AboutThisPublicationPortletWin?mCode=6QNF&p=AHSI&prodId=AHSI&action=e&windowstate=normal&mode=view&userGroupName=upitt_main
9248571,Marin women's news journal,,,,,"[San Rafael, California] :",[publisher not identified],,1973,1975,,serial,Monthly,English,text,electronic resource|||remote|||computer|||online resource,1 online resource (volumes) : illustrations.,Periodicals|||periodical|||text,,Feminism,,Marin County|||California,,,,,,,http://pitt.idm.oclc.org/login?url=http://gdc.galegroup.com/gdc/artemis/atp/AboutThisPublicationPortletWin?mCode=6QNH&p=AHSI&prodId=AHSI&action=e&windowstate=normal&mode=view&userGroupName=upitt_main
8828709,Marin women's news journal,,,,,S.l.],[s.n.],,uuuu,uuuu,,serial,,,text,electronic|||electronic resource|||remote,,,,,,,,,,,,,http://pitt.idm.oclc.org/login?url=http://voices.revealdigital.com/cgi-bin/independentvoices?a=cl&cl=CL1&ai=1&sp=BEHGCFIC|||http://pitt.idm.oclc.org/login?url=http://voices.revealdigital.com/cgi-bin/independentvoices?a=cl&cl=CL1&ai=1&sp=BEHGCDFF|||http://pitt.idm.oclc.org/login?url=http://voices.revealdigital.com/cgi-bin/independentvoices?a=cl&cl=CL1&ai=1&sp=DCBGEDAG
9248426,Marin women's newsletter,,Marin women's news journal,,,"[San Rafael, California] :",[publisher not identified],,1973,1975,,serial,Monthly,English,text,electronic resource|||remote|||computer|||online resource,1 online resource (volumes) : illustrations.,Periodicals|||periodical|||text,,Feminism,,Marin County|||California,,,,,,,http://pitt.idm.oclc.org/login?url=http://gdc.galegroup.com/gdc/artemis/atp/AboutThisPublicationPortletWin?mCode=9EUD&p=AHSI&prodId=AHSI&action=e&windowstate=normal&mode=view&userGroupName=upitt_main
528456,Momma,,,,,"Venice, Calif",Momma.,,1972,9999,,serial,Monthly,English,text,print,v. ill. 38 cm.,periodical,,,,California,,,,0300-6492,sc 79004428,,
