,id,title,creator,contributor,creation_date,sort_date,display_date,language,type_of_resource,format,extent,genre,abstract,subject,temporal_coverage,geographic_coverage,host,series,container,owner,depositor,collection_id
43,31735033464698,"Theatre program - Joseph and the Amazing Technicolor Dreamcoat,",,,,,"December 5, 1990",,text,,,archival document,,,,,Ford E. and Harriet R. Curtis Theatre Collection of Pittsburgh Theatre Programs,"II. 20th Century Pittsburgh Theatres, 1901-current",,ULS Special Collections Department,University of Pittsburgh,collection.254|||collection.10
44,31735033464730,"Theatre program - New Works Festival,",,,,,"October 17, 1991",,text,,,archival document,,,,,Ford E. and Harriet R. Curtis Theatre Collection of Pittsburgh Theatre Programs,"II. 20th Century Pittsburgh Theatres, 1901-current",,ULS Special Collections Department,University of Pittsburgh,collection.254|||collection.10
45,31735033464763,"Theatre program - Inaugural Pittsburgh Public Theater production The Glass Menagerie,",,,,,"September 17, 1975",,text,,,archival document,,,,,Ford E. and Harriet R. Curtis Theatre Collection of Pittsburgh Theatre Programs,"II. 20th Century Pittsburgh Theatres, 1901-current",,ULS Special Collections Department,University of Pittsburgh,collection.254|||collection.10
46,31735033464771,"Theatre program - Twelfth Night with Leonard Nimoy,",,,,,"November 26, 1975",,text,,,archival document,,,,,Ford E. and Harriet R. Curtis Theatre Collection of Pittsburgh Theatre Programs,"II. 20th Century Pittsburgh Theatres, 1901-current",,ULS Special Collections Department,University of Pittsburgh,collection.254|||collection.10
47,31735037973660,"The Marriage,",,,1916-04,1916-04-01T00:00:00,April 1916,,text,,,archival document,,,,,Pitt Players Records,"I. Programs, 1916-1960",Folder 2,ULS Special Collections Department,University of Pittsburgh,collection.10|||collection.8
48,31735037973678,"The Dover Road,",,,1925-05-16,1925-05-16T00:00:00,"May 16, 1925",,text,,,archival document,,,,,Pitt Players Records,"I. Programs, 1916-1960",Folder 2,ULS Special Collections Department,University of Pittsburgh,collection.10|||collection.8
49,31735037973686,"An English May Day,",,,1916-06-13,1916-06-13T00:00:00,"June 13, 1916",,text,,,archival document,,,,,Pitt Players Records,"I. Programs, 1916-1960",Folder 2,ULS Special Collections Department,University of Pittsburgh,collection.10|||collection.8
50,31735037973694,"The New Poor,",,,1924-12-04,1924-12-04T00:00:00,"December 4, 1924",,text,,,archival document,,,,,Pitt Players Records,"I. Programs, 1916-1960",Folder 2,ULS Special Collections Department,University of Pittsburgh,collection.10|||collection.8
51,31735037973702,"Dulcy,",,,1926-03,1926-03-01T00:00:00,March 1926,,text,,,archival document,,,,,Pitt Players Records,"I. Programs, 1916-1960",Folder 3,ULS Special Collections Department,University of Pittsburgh,collection.10|||collection.8
52,31735037973710,"Fashion,",,,1926-04-09,1926-04-09T00:00:00,"April 9, 1926",,text,,,archival document,,,,,Pitt Players Records,"I. Programs, 1916-1960",Folder 3,ULS Special Collections Department,University of Pittsburgh,collection.10|||collection.8
53,31735037973728,"The Best People,",,,1928,1928-01-01T00:00:00,1928,,text,,,archival document,,,,,Pitt Players Records,"I. Programs, 1916-1960",Folder 3,ULS Special Collections Department,University of Pittsburgh,collection.10|||collection.8
54,31735037973736,"The Pillars of Society,",,,1929,1929-01-01T00:00:00,1929,,text,,,archival document,,,,,Pitt Players Records,"I. Programs, 1916-1960",Folder 3,ULS Special Collections Department,University of Pittsburgh,collection.10|||collection.8
55,31735037973744,"The Cradle Song,",,,1929,1929-01-01T00:00:00,1929,,text,,,archival document,,,,,Pitt Players Records,"I. Programs, 1916-1960",Folder 3,ULS Special Collections Department,University of Pittsburgh,collection.10|||collection.8
56,31735037973751,"The Truth About Blayds,",,,1930-03-13,1930-03-13T00:00:00,"March 13, 1930",,text,,,archival document,,,,,Pitt Players Records,"I. Programs, 1916-1960",Folder 3,ULS Special Collections Department,University of Pittsburgh,collection.10|||collection.8
57,31735037973769,"The Whiteheaded Boy,",,,1930-11-20,1930-11-20T00:00:00,"November 20, 1930",,text,,,archival document,,,,,Pitt Players Records,"I. Programs, 1916-1960",Folder 3,ULS Special Collections Department,University of Pittsburgh,collection.10|||collection.8
58,31735037973777,"The Torch-Bearers,",,,1925-02,1925-02-01T00:00:00,February 1925,,text,,,archival document,,,,,Pitt Players Records,"I. Programs, 1916-1960",Folder 2,ULS Special Collections Department,University of Pittsburgh,collection.10|||collection.8
59,31735037973785,"Craig's Wife,",,,1933-02-16,1933-02-16T00:00:00,"February 16, 1933",,text,,,archival document,,,,,Pitt Players Records,"I. Programs, 1916-1960",Folder 4,ULS Special Collections Department,University of Pittsburgh,collection.10|||collection.8
60,31735037973793,"Counsellor-At-Law,",,,1939-12,1939-12-01T00:00:00,December 1939,,text,,,archival document,,,,,Pitt Players Records,"I. Programs, 1916-1960",Folder 4,ULS Special Collections Department,University of Pittsburgh,collection.10|||collection.8
61,31735037973801,"March Hares,",,,1935-04,1935-04-01T00:00:00,April 1935,,text,,,archival document,,,,,Pitt Players Records,"I. Programs, 1916-1960",Folder 4,ULS Special Collections Department,University of Pittsburgh,collection.10|||collection.8
62,31735037973819,"Brother Rat,",,,1938/1939,1938-01-01T00:00:00,1938-1939,,text,,,archival document,,,,,Pitt Players Records,"I. Programs, 1916-1960",Folder 4,ULS Special Collections Department,University of Pittsburgh,collection.10|||collection.8
63,31735037973827,"Hay Fever,",,,1932-05-19,1932-05-19T00:00:00,"May 19, 1932",,text,,,archival document,,,,,Pitt Players Records,"I. Programs, 1916-1960",Folder 4,ULS Special Collections Department,University of Pittsburgh,collection.10|||collection.8
64,31735037973835,"Enter Madame,",,,1932-11-17,1932-11-17T00:00:00,"November 17, 1932",,text,,,archival document,,,,,Pitt Players Records,"I. Programs, 1916-1960",Folder 4,ULS Special Collections Department,University of Pittsburgh,collection.10|||collection.8
65,31735037973843,"The Queen's Husband,",,,1933-11-16,1933-11-16T00:00:00,"November 16, 1933",,text,,,archival document,,,,,Pitt Players Records,"I. Programs, 1916-1960",Folder 4,ULS Special Collections Department,University of Pittsburgh,collection.10|||collection.8
66,31735037973850,"Minick,",,,1933-04-06,1933-04-06T00:00:00,"April 6, 1933",,text,,,archival document,,,,,Pitt Players Records,"I. Programs, 1916-1960",Folder 4,ULS Special Collections Department,University of Pittsburgh,collection.10|||collection.8
67,31735037973868,"He Who Gets Slapped,",,,1931-11-19,1931-11-19T00:00:00,"November 19, 1931",,text,,,archival document,,,,,Pitt Players Records,"I. Programs, 1916-1960",Folder 4,ULS Special Collections Department,University of Pittsburgh,collection.10|||collection.8
68,31735037973876,"Alice Sit By The Fire,",,,1931-05-14,1931-05-14T00:00:00,"May 14, 1931",,text,,,archival document,,,,,Pitt Players Records,"I. Programs, 1916-1960",Folder 4,ULS Special Collections Department,University of Pittsburgh,collection.10|||collection.8
69,31735037973884,"Our Town,",,,1939-05,1939-05-01T00:00:00,May 1939,,text,,,archival document,,,,,Pitt Players Records,"I. Programs, 1916-1960",Folder 4,ULS Special Collections Department,University of Pittsburgh,collection.10|||collection.8
70,31735037973892,"You Can't Take It With You,",,,1940-05,1940-05-01T00:00:00,May 1940,,text,,,archival document,,,,,Pitt Players Records,"I. Programs, 1916-1960",Folder 4,ULS Special Collections Department,University of Pittsburgh,collection.10|||collection.8
71,31735037973900,"Children of the Moon,",,,1934-02-15,1934-02-15T00:00:00,"February 15, 1934",,text,,,archival document,,,,,Pitt Players Records,"I. Programs, 1916-1960",Folder 4,ULS Special Collections Department,University of Pittsburgh,collection.10|||collection.8
72,31735037973918,"The Torch-Bearers,",,,1934-03-28,1934-03-28T00:00:00,"March 28, 1934",,text,,,archival document,,,,,Pitt Players Records,"I. Programs, 1916-1960",Folder 4,ULS Special Collections Department,University of Pittsburgh,collection.10|||collection.8
73,31735037973926,"Four One Act Plays,",,,1931-07-29,1931-07-29T00:00:00,"July 29, 1931",,text,,,archival document,,,,,Pitt Players Records,"I. Programs, 1916-1960",Folder 4,ULS Special Collections Department,University of Pittsburgh,collection.10|||collection.8
74,31735037973934,"The Swan,",,,1932-02-17,1932-02-17T00:00:00,"February 17, 1932",,text,,,archival document,,,,,Pitt Players Records,"I. Programs, 1916-1960",Folder 4,ULS Special Collections Department,University of Pittsburgh,collection.10|||collection.8
75,31735037973942,"High Tor,",,,1940-12,1940-12-01T00:00:00,December 1940,,text,,,archival document,,,,,Pitt Players Records,"I. Programs, 1916-1960",Folder 5,ULS Special Collections Department,University of Pittsburgh,collection.10|||collection.8
76,31735037973959,"Ceiling Zero,",,,1938/1939,1938-01-01T00:00:00,1938-1939,,text,,,archival document,,,,,Pitt Players Records,"I. Programs, 1916-1960",Folder 4,ULS Special Collections Department,University of Pittsburgh,collection.10|||collection.8
77,31735037973967,"Captain Applejack,",,,1931-02-19,1931-02-19T00:00:00,"February 19, 1931",,text,,,archival document,,,,,Pitt Players Records,"I. Programs, 1916-1960",Folder 4,ULS Special Collections Department,University of Pittsburgh,collection.10|||collection.8
78,31735037973975,"Three Men on a Horse,",,,1939-11,1939-11-01T00:00:00,November 1939,,text,,,archival document,,,,,Pitt Players Records,"I. Programs, 1916-1960",Folder 4,ULS Special Collections Department,University of Pittsburgh,collection.10|||collection.8
79,31735037973983,"Flight to the West,",,,1941-12,1941-12-01T00:00:00,December 1941,,text,,,archival document,,,,,Pitt Players Records,"I. Programs, 1916-1960",Folder 6,ULS Special Collections Department,University of Pittsburgh,collection.10|||collection.8
80,31735037973991,"The Women,",,,1942-03,1942-03-01T00:00:00,March 1942,,text,,,archival document,,,,,Pitt Players Records,"I. Programs, 1916-1960",Folder 6,ULS Special Collections Department,University of Pittsburgh,collection.10|||collection.8
81,31735037974007,"Golden Boy,",,,1941-03,1941-03-01T00:00:00,March 1941,,text,,,archival document,,,,,Pitt Players Records,"I. Programs, 1916-1960",Folder 5,ULS Special Collections Department,University of Pittsburgh,collection.10|||collection.8
82,31735037974023,"The Yellow Jacket,",,,1941-10,1941-10-01T00:00:00,October 1941,,text,,,archival document,,,,,Pitt Players Records,"I. Programs, 1916-1960",Folder 6,ULS Special Collections Department,University of Pittsburgh,collection.10|||collection.8
83,31735037974031,"Echoes of Other Years,",,,1943-08-05,1943-08-05T00:00:00,"August 5, 1943",,text,,,archival document,,,,,Pitt Players Records,"I. Programs, 1916-1960",Folder 7,ULS Special Collections Department,University of Pittsburgh,collection.10|||collection.8
84,31735037974049,"Knickerbocker Holiday,",,,1943-03,1943-03-01T00:00:00,March 1943,,text,,,archival document,,,,,Pitt Players Records,"I. Programs, 1916-1960",Folder 7,ULS Special Collections Department,University of Pittsburgh,collection.10|||collection.8
85,31735037974056,"Furlough, but not Furlong,",,,1944-05,1944-05-01T00:00:00,May 1944,,text,,,archival document,,,,,Pitt Players Records,"I. Programs, 1916-1960",Folder 8,ULS Special Collections Department,University of Pittsburgh,collection.10|||collection.8
86,31735037974064,"Two One-Act Plays,",,,1944-07-27,1944-07-27T00:00:00,"July 27, 1944",,text,,,archival document,,,,,Pitt Players Records,"I. Programs, 1916-1960",Folder 8,ULS Special Collections Department,University of Pittsburgh,collection.10|||collection.8
87,31735037974072,"Tonight at Eight,",,,1944-11/1944-12,1944-11-01T00:00:00,November-December 1944,,text,,,archival document,,,,,Pitt Players Records,"I. Programs, 1916-1960",Folder 9,ULS Special Collections Department,University of Pittsburgh,collection.10|||collection.8
88,31735037974080,"Hedda Gabler,",,,1945-03,1945-03-01T00:00:00,March 1945,,text,,,archival document,,,,,Pitt Players Records,"I. Programs, 1916-1960",Folder 9,ULS Special Collections Department,University of Pittsburgh,collection.10|||collection.8
89,31735037974098,"Jim Dandy,",,,1946-04,1946-04-01T00:00:00,April 1946,,text,,,archival document,,,,,Pitt Players Records,"I. Programs, 1916-1960",Folder 10,ULS Special Collections Department,University of Pittsburgh,collection.10|||collection.8
90,31735037974106,"Room Service,",,,1947-03,1947-03-01T00:00:00,March 1947,,text,,,archival document,,,,,Pitt Players Records,"I. Programs, 1916-1960",Folder 11,ULS Special Collections Department,University of Pittsburgh,collection.10|||collection.8
91,31735037974114,"Joan of Lorraine,",,,1947,1947-01-01T00:00:00,1947,,text,,,archival document,,,,,Pitt Players Records,"I. Programs, 1916-1960",Folder 11,ULS Special Collections Department,University of Pittsburgh,collection.10|||collection.8
92,31735037974122,"George Washington Slept Here,",,,1947-11,1947-11-01T00:00:00,November 1947,,text,,,archival document,,,,,Pitt Players Records,"I. Programs, 1916-1960",Folder 12,ULS Special Collections Department,University of Pittsburgh,collection.10|||collection.8
93,31735037974130,"Outward Bound,",,,1948-07,1948-07-01T00:00:00,July 1948,,text,,,archival document,,,,,Pitt Players Records,"I. Programs, 1916-1960",Folder 12,ULS Special Collections Department,University of Pittsburgh,collection.10|||collection.8
