id,title,uniform_title,alternative_title,enumeration_chronology,associated_name,publication_place,publisher,publication_date,start_date,end_date,edition,issuance,frequency,language,type_of_resource,format,extent,genre,abstract,subject,temporal_coverage,geographic_coverage,target_audience,preceded_by,succeeded_by,issn,lccn,oclccn,url
543619,HAPOTOC messenger,,,,,"Amsterdam, Holland",HAPOTOC.,,,9999,,serial,Unknown,English,text,microfilm,v.,periodical,,,,"Netherlands, Amsterdam",,,,,,,
542040,Hartford advocate,,,,,"Hartford, Conn",,,1975,9999,,serial,Weekly,English,text,microfilm,,newspaper,,Underground newspapers,,"Hartford|||Connecticut|||United States, Connecticut, Hartford",,,,,,,
543621,Hi,,,,,"Bombay, India",Hi Publications.,,,9999,,serial,Semimonthly,English,text,microfilm,v.,newspaper,,Underground press publications,,"India|||India, Bombay|||Bombay",,,,,,,
540680,Home cookin,,,,,"Oklahoma City, Okla",,,1972,9999,,serial,Unknown,English,text,microfilm,,newspaper,,Underground newspapers,,"United States, Oklahoma, Oklahoma City|||Oklahoma|||Oklahoma City",,,,,,,
540681,Honky times,,,,,"San Antonio, Tex",,,1972,9999,,serial,Unknown,English,text,microfilm,,newspaper,,Underground newspapers|||Texas,,"United States, Texas, San Antonio|||San Antonio",,,,,,,
540897,Iets,,,,,"Den Haag, Holland",,,1967,9999,,serial,Monthly,Multiple languages,text,microfilm,,newspaper,,Underground newspapers,,"Netherlands|||Hague|||Netherlands, The Hague",,,,,,,
540836,Independent eye,,,,,"Cincinnati, Ohio",,,1968,9999,,serial,Unknown,English,text,microfilm,,newspaper,,Underground newspapers,,"United States, Ohio, Cincinnati|||Cincinnati|||Ohio",,,,,,,
540683,Interluttes,,,,,Paris,,,1968,9999,,serial,Unknown,English,text,microfilm,,newspaper,,Underground newspapers,,"France, Paris|||France|||Paris",,,,,,,
540645,Island surfing,,,,,"Lindenhurst, N.Y",,,1973,9999,,serial,Unknown,English,text,microfilm,,newspaper,,Underground newspapers,,"Lindenhurst|||New York|||United States, New York, Lindenhurst",,,,,,,
540650,Itch,,,,,"Wellington, New Zealand",,,1973,9999,,serial,Unknown,English,text,microfilm,,newspaper,,Underground newspapers,,"New Zealand, Wellington|||New Zealand|||Wellington",,,,,,,
540649,Kargadoor bulletin,,,,,"Utrecht, Netherlands",,,1973,9999,,serial,Unknown,English,text,microfilm,,newspaper,,Underground newspapers,,"Utrecht|||Netherlands|||Netherlands, Utrecht",,,,,,,
