id,title,uniform_title,alternative_title,enumeration_chronology,associated_name,publication_place,publisher,publication_date,start_date,end_date,edition,issuance,frequency,language,type_of_resource,format,extent,genre,abstract,subject,temporal_coverage,geographic_coverage,target_audience,preceded_by,succeeded_by,copyright_status,copyright_holder,copyright_note,record_id,issn,lccn,oclccn,depositor,url,collection_id
31735044221806,"Cupid's Capers,",,,,,,,,,,,,,,text,,,archival document,,,,,,,,unknown,,,,,,,University of Pittsburgh,,collection.8|||collection.10
31735044221814,"Here and There,",,,,,,,,,,,,,,text,,,archival document,,,,,,,,unknown,,,,,,,University of Pittsburgh,,collection.8|||collection.10
31735061845297,"My Heart's in the Highlands,",,,,,,,,,,,,,,text,,,archival document,,,,,,,,unknown,,,,,,,University of Pittsburgh,,collection.10|||collection.8
31735067444251,"Theatre program - Fedora with Sarah Bernhardt,",,,,,,,,,,,,,,text,,,archival document,,,,,,,,unknown,,,,,,,University of Pittsburgh,,collection.254|||collection.10
31735068203458,"Theatre program - The Idiot Witness; The Boston Jubilee, and To Paris and Back For Five Pounds!,",,,,,,,,,,,,,,text,,,archival document,,,,,,,,unknown,,,,,,,University of Pittsburgh,,collection.254|||collection.10
31735068203466,"Program - Mercantile Library Lectures, Dramtic Readings with Mary Frances Scott-Siddons,",,,,,,,,,,,,,,text,,,archival document,,,,,,,,unknown,,,,,,,University of Pittsburgh,,collection.254|||collection.10
31735068203474,"Opera program - The Daughter of the Regiment,",,,,,,,,,,,,,,text,,,archival document,,,,,,,,unknown,,,,,,,University of Pittsburgh,,collection.254|||collection.10
31735068203482,"Theatre program - Thompson Opera Company in The Mikado,",,,,,,,,,,,,,,text,,,archival document,,,,,,,,unknown,,,,,,,University of Pittsburgh,,collection.254|||collection.10
31735068203490,"Advertising - Annie Pixley in a magnificent repertoire,",,,,,,,,,,,,,,text,,,archival document,,,,,,,,unknown,,,,,,,University of Pittsburgh,,collection.254|||collection.10
31735068203516,"Theatre program - The Dagger and the Cross with Robert B. Mantell,",,,,,,,,,,,,,,text,,,archival document,,,,,,,,unknown,,,,,,,University of Pittsburgh,,collection.254|||collection.10
31735068203524,"Theatre program - The Spectre Bridgroom or, A Ghost in Spite of Himself!; and Waddy, The Fat Boy!,",,,,,,,,,,,,,,text,,,archival document,,,,,,,,unknown,,,,,,,University of Pittsburgh,,collection.254|||collection.10
31735068203565,"Theatre Program - Galba, The Gladiator with Frederick Warde,",,,,,,,,,,,,,,text,,,archival document,,,,,,,,unknown,,,,,,,University of Pittsburgh,,collection.254|||collection.10
31735068203573,"Theatre program - Les Miserables; The Intelligence Office; Local Troubles, or the Deputy's Morning Court",,,,,,,,,,,,,,text,,,archival document,,,,,,,,unknown,,,,,,,University of Pittsburgh,,collection.254|||collection.10
31735068203581,"Advertising - Mercantile Library Lectures, Mrs Scott-Siddons At the Academy of Music,",,,,,,,,,,,,,,text,,,archival document,,,,,,,,unknown,,,,,,,University of Pittsburgh,,collection.254|||collection.10
31735068203607,"Theatre program - Camille with Clara Morris and Henry Miller,",,,,,,,,,,,,,,text,,,archival document,,,,,,,,unknown,,,,,,,University of Pittsburgh,,collection.254|||collection.10
31735068203615,"Theatre program - Our Angel with Lizzie Evans for the grand opening of the Bijou Theatre,",,,,,,,,,,,,,,text,,,archival document,,,,,,,,unknown,,,,,,,University of Pittsburgh,,collection.254|||collection.10
31735068203623,"Theatre program - She,",,,,,,,,,,,,,,text,,,archival document,,,,,,,,unknown,,,,,,,University of Pittsburgh,,collection.254|||collection.10
31735068203631,"Theatre program - The Corsican Brothers with Robert B. Mantell,",,,,,,,,,,,,,,text,,,archival document,,,,,,,,unknown,,,,,,,University of Pittsburgh,,collection.254|||collection.10
31735068203649,"Concert program - Grand Concert of Scottish Songs, by Hamilton Corbett,",,,,,,,,,,,,,,text,,,archival document,,,,,,,,unknown,,,,,,,University of Pittsburgh,,collection.254|||collection.10
31735068203680,"Theatre Program - Lost in the Snow,",,,,,,,,,,,,,,text,,,archival document,,,,,,,,unknown,,,,,,,University of Pittsburgh,,collection.254|||collection.10
31735068203698,"Advertising - Interesting Religious Service,",,,,,,,,,,,,,,text,,,archival document,,,,,,,,unknown,,,,,,,University of Pittsburgh,,collection.254|||collection.10
31735068203706,"Ticket - Mercantile Library Lectures, John B. Gough,",,,,,,,,,,,,,,text,,,archival document,,,,,,,,unknown,,,,,,,University of Pittsburgh,,collection.254|||collection.10
31735068203722,"Opera program - Emma Abbott Grand English Opera Company in Lucretia Borgia; The Mikado; Bohemian Girl; Il Travatore; Crispino; Linda of Chamouni; ; Mignon; Chimes of Normandy,",,,,,,,,,,,,,,text,,,archival document,,,,,,,,unknown,,,,,,,University of Pittsburgh,,collection.254|||collection.10
31735068203730,"Theatre program - The Jilt with Dion Boucicault,",,,,,,,,,,,,,,text,,,archival document,,,,,,,,unknown,,,,,,,University of Pittsburgh,,collection.254|||collection.10
31735068203748,"Theatre program - Erminie,",,,,,,,,,,,,,,text,,,archival document,,,,,,,,unknown,,,,,,,University of Pittsburgh,,collection.254|||collection.10
31735068203755,"Theatre program - Dr. Jekyll and Mr. Hyde with Richard Mansfield,",,,,,,,,,,,,,,text,,,archival document,,,,,,,,unknown,,,,,,,University of Pittsburgh,,collection.254|||collection.10
31735068203797,"Theatre Program - Julius Caesar with Edwin Booth and Lawrence Barrett,",,,,,,,,,,,,,,text,,,archival document,,,,,,,,unknown,,,,,,,University of Pittsburgh,,collection.254|||collection.10
31735068203805,"Theatre Program - A Parlor Match with Evans and Hoey,",,,,,,,,,,,,,,text,,,archival document,,,,,,,,unknown,,,,,,,University of Pittsburgh,,collection.254|||collection.10
31735068203813,"Program - Henry Nicholls' Recitals from Memory,",,,,,,,,,,,,,,text,,,archival document,,,,,,,,unknown,,,,,,,University of Pittsburgh,,collection.254|||collection.10
31735068203821,"Program - Mercantile Library Lectures, Dramatic Readings with Mary Frances Scott-Siddons,",,,,,,,,,,,,,,text,,,archival document,,,,,,,,unknown,,,,,,,University of Pittsburgh,,collection.254|||collection.10
31735068203839,"Theatre program - Nordeck and The Three Guardsmen with Frank Mayo,",,,,,,,,,,,,,,text,,,archival document,,,,,,,,unknown,,,,,,,University of Pittsburgh,,collection.254|||collection.10
31735068203847,"Theatre program - Theodora with Lillian Olcott,",,,,,,,,,,,,,,text,,,archival document,,,,,,,,unknown,,,,,,,University of Pittsburgh,,collection.254|||collection.10
31735068203854,"Theatre program - The Shaughraun with Dion Boucicault,",,,,,,,,,,,,,,text,,,archival document,,,,,,,,unknown,,,,,,,University of Pittsburgh,,collection.254|||collection.10
31735068203862,"Theatre program - The White Slave,",,,,,,,,,,,,,,text,,,archival document,,,,,,,,unknown,,,,,,,University of Pittsburgh,,collection.254|||collection.10
31735068203870,Theatre program - Maurithus & Martinnette Bros. Pantomine Little Bo Peep; John Mayon; and Rodgers & Owens' Shadowgraphs!,,,,,,,,,,,,,,text,,,archival document,,,,,,,,unknown,,,,,,,University of Pittsburgh,,collection.254|||collection.10
31735068203912,"Theatre Program - Richard III with Frederick Warde,",,,,,,,,,,,,,,text,,,archival document,,,,,,,,unknown,,,,,,,University of Pittsburgh,,collection.254|||collection.10
31735068203920,"Theatre Program - Lagardere,",,,,,,,,,,,,,,text,,,archival document,,,,,,,,unknown,,,,,,,University of Pittsburgh,,collection.254|||collection.10
31735068203938,"Advertising - Mercantile Library Lectures, A Struggle for Life,",,,,,,,,,,,,,,text,,,archival document,,,,,,,,unknown,,,,,,,University of Pittsburgh,,collection.254|||collection.10
31735068203946,"Ticket - Mercantile Library Lectures, Henry Nicholls,",,,,,,,,,,,,,,text,,,archival document,,,,,,,,unknown,,,,,,,University of Pittsburgh,,collection.254|||collection.10
31735068203953,"Theatre program - The Humming Bird with Nate Salsbury and Nillie McHenry,",,,,,,,,,,,,,,text,,,archival document,,,,,,,,unknown,,,,,,,University of Pittsburgh,,collection.254|||collection.10
31735068203961,"Theatre program - My Partner with Louis Aldrich,",,,,,,,,,,,,,,text,,,archival document,,,,,,,,unknown,,,,,,,University of Pittsburgh,,collection.254|||collection.10
31735068203979,"Theatre program - Tin Soldier,",,,,,,,,,,,,,,text,,,archival document,,,,,,,,unknown,,,,,,,University of Pittsburgh,,collection.254|||collection.10
31735068203987,"Theatre program - The Honeymoon with Margaret Mather,",,,,,,,,,,,,,,text,,,archival document,,,,,,,,unknown,,,,,,,University of Pittsburgh,,collection.254|||collection.10
31735068203995,"Concert program - Mexican National Band,",,,,,,,,,,,,,,text,,,archival document,,,,,,,,unknown,,,,,,,University of Pittsburgh,,collection.254|||collection.10
31735068204035,"Theatre Program - Brutus or The Fall of Tarquin! with Frederick Warde,",,,,,,,,,,,,,,text,,,archival document,,,,,,,,unknown,,,,,,,University of Pittsburgh,,collection.254|||collection.10
31735068204076,"Theatre program - Virginius with Frederick Warde and Elizabeth Crocker Bowers,",,,,,,,,,,,,,,text,,,archival document,,,,,,,,unknown,,,,,,,University of Pittsburgh,,collection.254|||collection.10
31735068204084,"Vaudeville program - An Old Love Story with Auguste Van Biene and Miss Lena Burnleigh; the American Biograph owned and operated by the American Mutoscope Co.; etc,",,,,,,,,,,,,,,text,,,archival document,,,,,,,,unknown,,,,,,,University of Pittsburgh,,collection.254|||collection.10
31735068204092,"Vaudeville program - A Parisian Romance; Billy Van; Prof. Morris' Trained Ponies,",,,,,,,,,,,,,,text,,,archival document,,,,,,,,unknown,,,,,,,University of Pittsburgh,,collection.254|||collection.10
31735068204100,"Theatre program - Bandmann-Beaudet Comapny in The Hunchback; The Merchant of Venice, Romeo and Juliet, and Othello,",,,,,,,,,,,,,,text,,,archival document,,,,,,,,unknown,,,,,,,University of Pittsburgh,,collection.254|||collection.10
31735068204126,Ticket - Little Barefoot,,,,,,,,,,,,,,text,,,archival document,,,,,,,,unknown,,,,,,,University of Pittsburgh,,collection.254|||collection.10
31735068204134,"Theatre broadside - Bartley Campbell's Old Dusquesne!,",,,,,,,,,,,,,,text,,,archival document,,,,,,,,unknown,,,,,,,University of Pittsburgh,,collection.254|||collection.10
31735068204142,"Theatre program - The Cricket on the Hearth!; and That Blessed Baby! with Mr. J. L. Toole,",,,,,,,,,,,,,,text,,,archival document,,,,,,,,unknown,,,,,,,University of Pittsburgh,,collection.254|||collection.10
31735068204159,"Vaudeville program - Tony Pastor's Troupe in The Fisherman!; Black Troubadours; and Nervous Dutchman!,",,,,,,,,,,,,,,text,,,archival document,,,,,,,,unknown,,,,,,,University of Pittsburgh,,collection.254|||collection.10
31735068204167,"Theatre program - Richelieu! with Mr. Charles Pope,",,,,,,,,,,,,,,text,,,archival document,,,,,,,,unknown,,,,,,,University of Pittsburgh,,collection.254|||collection.10
31735068204175,"Theatre Program - Harbor Lights,",,,,,,,,,,,,,,text,,,archival document,,,,,,,,unknown,,,,,,,University of Pittsburgh,,collection.254|||collection.10
31735068204183,"Theatre Program - A Midnight Bell,",,,,,,,,,,,,,,text,,,archival document,,,,,,,,unknown,,,,,,,University of Pittsburgh,,collection.254|||collection.10
31735068204209,"Vaudeville program - Rosedale with Mr. Joseph Haworth; Jane Whitbeck; Centure Bros.; etc,",,,,,,,,,,,,,,text,,,archival document,,,,,,,,unknown,,,,,,,University of Pittsburgh,,collection.254|||collection.10
31735068204217,"Advertising - Davy Crocket with Edwin F. Mayo,",,,,,,,,,,,,,,text,,,archival document,,,,,,,,unknown,,,,,,,University of Pittsburgh,,collection.254|||collection.10
31735068204225,"Theatre program - Fanchon, The Cricket with Cora Van Tassel,",,,,,,,,,,,,,,text,,,archival document,,,,,,,,unknown,,,,,,,University of Pittsburgh,,collection.254|||collection.10
31735068204233,Theatre program - Little Barefoot! with Miss Annie Zern,,,,,,,,,,,,,,text,,,archival document,,,,,,,,unknown,,,,,,,University of Pittsburgh,,collection.254|||collection.10
31735068204258,"Theatre program - Off the Line!; Old Friends!; and Ici on Prale Francais! with Mr. J. L. Toole,",,,,,,,,,,,,,,text,,,archival document,,,,,,,,unknown,,,,,,,University of Pittsburgh,,collection.254|||collection.10
31735068204266,"Theatre program - Musette or, The Secret of Guilde Court with Lotta,",,,,,,,,,,,,,,text,,,archival document,,,,,,,,unknown,,,,,,,University of Pittsburgh,,collection.254|||collection.10
31735068204274,"Concert program - With Theresa Titiens; Arabella Goddard; Inez Kennedy; Baccei; Orlandini; and Mark Keiser,",,,,,,,,,,,,,,text,,,archival document,,,,,,,,unknown,,,,,,,University of Pittsburgh,,collection.254|||collection.10
31735068204290,"Theatre Program - The Deacon's Daughter; The Charity Girl; and M'Liss with Miss Annie Pixley,",,,,,,,,,,,,,,text,,,archival document,,,,,,,,unknown,,,,,,,University of Pittsburgh,,collection.254|||collection.10
31735068204308,"Theatre Program - Carmen with Emma Juch; Il Trovatore; The Bohemian Girl; Postilion of Lonjumeau; Faust; Mignon; Maritana; and The Freischutz,",,,,,,,,,,,,,,text,,,archival document,,,,,,,,unknown,,,,,,,University of Pittsburgh,,collection.254|||collection.10
31735068204316,"Opera program - Carmen with Emma Juch,",,,,,,,,,,,,,,text,,,archival document,,,,,,,,unknown,,,,,,,University of Pittsburgh,,collection.254|||collection.10
31735068204324,"Vaudeville program - The Lottery of Love; Morris' Famous Pony Circus; etc,",,,,,,,,,,,,,,text,,,archival document,,,,,,,,unknown,,,,,,,University of Pittsburgh,,collection.254|||collection.10
31735068204332,"Vaudeville program - Yankee in Love; B. and B. with Maggie Willet and Harry Thorne; etc,",,,,,,,,,,,,,,text,,,archival document,,,,,,,,unknown,,,,,,,University of Pittsburgh,,collection.254|||collection.10
31735068204340,"Vaudeville program - Prof. E.M. Worth lecture; Hick's and Sawyer's Consolidated Colored Minstrels,",,,,,,,,,,,,,,text,,,archival document,,,,,,,,unknown,,,,,,,University of Pittsburgh,,collection.254|||collection.10
31735068204357,"Theatre program - All for Her!; and Nan, the Good for Nothing with Miss Annie Zern,",,,,,,,,,,,,,,text,,,archival document,,,,,,,,unknown,,,,,,,University of Pittsburgh,,collection.254|||collection.10
31735068204365,"Advertising - Everybody's Friend!; and Michael Erie!,",,,,,,,,,,,,,,text,,,archival document,,,,,,,,unknown,,,,,,,University of Pittsburgh,,collection.254|||collection.10
31735068204373,"Opera program - Madame L'archiduc! with Miss Emily Soldene,",,,,,,,,,,,,,,text,,,archival document,,,,,,,,unknown,,,,,,,University of Pittsburgh,,collection.254|||collection.10
31735068204381,"Theatre program - Morning Call; The Soldier's Daughter with Laura Keene,",,,,,,,,,,,,,,text,,,archival document,,,,,,,,unknown,,,,,,,University of Pittsburgh,,collection.254|||collection.10
31735068204399,"Theatre program - Humpty Dumpty with James S. Maffitt,",,,,,,,,,,,,,,text,,,archival document,,,,,,,,unknown,,,,,,,University of Pittsburgh,,collection.254|||collection.10
31735068204415,"Theatre Program - The Vice Admiral,",,,,,,,,,,,,,,text,,,archival document,,,,,,,,unknown,,,,,,,University of Pittsburgh,,collection.254|||collection.10
31735068204423,"Theatre Program - The Henrietta with Stuart Robson and WM. H. Crane,",,,,,,,,,,,,,,text,,,archival document,,,,,,,,unknown,,,,,,,University of Pittsburgh,,collection.254|||collection.10
31735068204431,"Theatre program - Romeo and Juliet with Julia Marlowe,",,,,,,,,,,,,,,text,,,archival document,,,,,,,,unknown,,,,,,,University of Pittsburgh,,collection.254|||collection.10
31735068204449,"Vaudeville program - Nita's First; Rossow Midgets; Carr & McLeod; Mlle. Chalet; Tom Mack,",,,,,,,,,,,,,,text,,,archival document,,,,,,,,unknown,,,,,,,University of Pittsburgh,,collection.254|||collection.10
31735068204456,"Theatre program - Fun on the Bristol with E.D. Tannehill's Comedy Company and Miss St. George Hussey,",,,,,,,,,,,,,,text,,,archival document,,,,,,,,unknown,,,,,,,University of Pittsburgh,,collection.254|||collection.10
31735068204464,"Vaudeville program - Prof. Tony White's London Punch and Judy; Prof. E.M. Worth lecture; Silver Spur!,",,,,,,,,,,,,,,text,,,archival document,,,,,,,,unknown,,,,,,,University of Pittsburgh,,collection.254|||collection.10
31735068204472,"Theatre program - Waddy, the Fat Boy!; Idiot Witness!,",,,,,,,,,,,,,,text,,,archival document,,,,,,,,unknown,,,,,,,University of Pittsburgh,,collection.254|||collection.10
31735068204480,"Program - Charlotte Cushman's Farewell,",,,,,,,,,,,,,,text,,,archival document,,,,,,,,unknown,,,,,,,University of Pittsburgh,,collection.254|||collection.10
31735068204506,"Theatre program - Masks and Faces! or, Before and Behind the Curtain with Laura Keene,",,,,,,,,,,,,,,text,,,archival document,,,,,,,,unknown,,,,,,,University of Pittsburgh,,collection.254|||collection.10
31735068204530,"Theatre Program - The Merchant of Venice; Othello; Hamlet; The Fool's Revenge; and Yorick's Love,",,,,,,,,,,,,,,text,,,archival document,,,,,,,,unknown,,,,,,,University of Pittsburgh,,collection.254|||collection.10
31735068204555,"Vaudeville program - The Private Secretary; Zinematographie; etc,",,,,,,,,,,,,,,text,,,archival document,,,,,,,,unknown,,,,,,,University of Pittsburgh,,collection.254|||collection.10
31735068204563,"Vaudeville program - Jane; Sager and Fanny Midgley; Pete Baker; Hadj Lessik,",,,,,,,,,,,,,,text,,,archival document,,,,,,,,unknown,,,,,,,University of Pittsburgh,,collection.254|||collection.10
31735068204571,"Theatre program - Matlack Combination in A Celebrated Case!,",,,,,,,,,,,,,,text,,,archival document,,,,,,,,unknown,,,,,,,University of Pittsburgh,,collection.254|||collection.10
31735068204589,"Theatre program - Pat's Wardrobe with Pat Rooney,",,,,,,,,,,,,,,text,,,archival document,,,,,,,,unknown,,,,,,,University of Pittsburgh,,collection.254|||collection.10
31735068204597,"Program - Readings and Character Recitations!; and The Bruised Tragedian!,",,,,,,,,,,,,,,text,,,archival document,,,,,,,,unknown,,,,,,,University of Pittsburgh,,collection.254|||collection.10
31735068204605,"Opera program - Grand Duchess by J.F. Zimmerman's Mexican Juvenile Opera Troupe,",,,,,,,,,,,,,,text,,,archival document,,,,,,,,unknown,,,,,,,University of Pittsburgh,,collection.254|||collection.10
31735068204613,"Vaudeville program - Carncross & Dixey's Minstrels!; Stage Struck!; etc,",,,,,,,,,,,,,,text,,,archival document,,,,,,,,unknown,,,,,,,University of Pittsburgh,,collection.254|||collection.10
31735068204621,"Theatre program - Jane Eyre with Miss Charlotte Thompson and Mr. W. E. Sheridan,",,,,,,,,,,,,,,text,,,archival document,,,,,,,,unknown,,,,,,,University of Pittsburgh,,collection.254|||collection.10
31735068204746,"Theatre program - East Lynne,",,,,,,,,,,,,,,text,,,archival document,,,,,,,,unknown,,,,,,,University of Pittsburgh,,collection.254|||collection.10
31735068204753,"Theatre program - Belles of the Kitchen; Cousin Joe with the Vokes Family,",,,,,,,,,,,,,,text,,,archival document,,,,,,,,unknown,,,,,,,University of Pittsburgh,,collection.254|||collection.10
31735068204761,"Opera program - Corman Church Choir Co. in Patience or, Bunthrone's Bride,",,,,,,,,,,,,,,text,,,archival document,,,,,,,,unknown,,,,,,,University of Pittsburgh,,collection.254|||collection.10
31735068204811,"Theatre program - Poulet and Poulette with Miss Emily Soldene, Mr. Knight Aston, and Miss Rose Stella,",,,,,,,,,,,,,,text,,,archival document,,,,,,,,unknown,,,,,,,University of Pittsburgh,,collection.254|||collection.10
31735068204860,"Concert program - The Kate Thayer Grand Concert Co.,",,,,,,,,,,,,,,text,,,archival document,,,,,,,,unknown,,,,,,,University of Pittsburgh,,collection.254|||collection.10
31735068204878,"Opera program - Strakosch & Hess Englsh Opera Co. in Mefistofele! and Carmen!,",,,,,,,,,,,,,,text,,,archival document,,,,,,,,unknown,,,,,,,University of Pittsburgh,,collection.254|||collection.10
31735068204886,"Theatre program - Much Ado About Nothing with Hortense Rhéa,",,,,,,,,,,,,,,text,,,archival document,,,,,,,,unknown,,,,,,,University of Pittsburgh,,collection.254|||collection.10
31735068204894,"Theatre program - Maud Muller with Miss Genevieve Rogers,",,,,,,,,,,,,,,text,,,archival document,,,,,,,,unknown,,,,,,,University of Pittsburgh,,collection.254|||collection.10
31735068204902,"Theatre program - Macbeth! with Janauschek,",,,,,,,,,,,,,,text,,,archival document,,,,,,,,unknown,,,,,,,University of Pittsburgh,,collection.254|||collection.10
31735068204985,"Burlesque program - Carncross' Minstrels; Henry Moses' Shadboat Pinafore!; etc,",,,,,,,,,,,,,,text,,,archival document,,,,,,,,unknown,,,,,,,University of Pittsburgh,,collection.254|||collection.10
31735068205008,"Theatre program - Photos with Alice Harrison and Louis Harrison,",,,,,,,,,,,,,,text,,,archival document,,,,,,,,unknown,,,,,,,University of Pittsburgh,,collection.254|||collection.10
31735068205040,"Theatre program - Richelieu! or The Conspiracy with Lawrence Barrett,",,,,,,,,,,,,,,text,,,archival document,,,,,,,,unknown,,,,,,,University of Pittsburgh,,collection.254|||collection.10
31735068205057,"Theatre program - La Fille De Madame Angot with Miss Emily Soldene,",,,,,,,,,,,,,,text,,,archival document,,,,,,,,unknown,,,,,,,University of Pittsburgh,,collection.254|||collection.10
31735068205107,"Concert program - Grand Testimonial Concert to Mr. J. T. Irwin,",,,,,,,,,,,,,,text,,,archival document,,,,,,,,unknown,,,,,,,University of Pittsburgh,,collection.254|||collection.10
31735068205115,"Opera program - Wilbur Opera Company in The Mascot,",,,,,,,,,,,,,,text,,,archival document,,,,,,,,unknown,,,,,,,University of Pittsburgh,,collection.254|||collection.10
31735068205123,"Vaudeville program - Carncross' Minstrels in Life Behind the Scenes or, the Black Lily's Debut; Cogill Brothers; Fred Dart; etc,",,,,,,,,,,,,,,text,,,archival document,,,,,,,,unknown,,,,,,,University of Pittsburgh,,collection.254|||collection.10
31735068205131,"Theatre program - Two Can Play at That Game; and The Brook!,",,,,,,,,,,,,,,text,,,archival document,,,,,,,,unknown,,,,,,,University of Pittsburgh,,collection.254|||collection.10
31735068205156,"Theatre program - Forbidden Fruit!,",,,,,,,,,,,,,,text,,,archival document,,,,,,,,unknown,,,,,,,University of Pittsburgh,,collection.254|||collection.10
31735068205214,"Theatre program - Doyle Brothers with Edward Harrigan and Tony Hart,",,,,,,,,,,,,,,text,,,archival document,,,,,,,,unknown,,,,,,,University of Pittsburgh,,collection.254|||collection.10
31735068205222,"Theatre program - Arrah-Na-Pogue, or the Wicklaw Wedding with Agnes Robertson,",,,,,,,,,,,,,,text,,,archival document,,,,,,,,unknown,,,,,,,University of Pittsburgh,,collection.254|||collection.10
31735068205230,"Theatre program - The Professor! with W.H. Gillette,",,,,,,,,,,,,,,text,,,archival document,,,,,,,,unknown,,,,,,,University of Pittsburgh,,collection.254|||collection.10
31735068205248,"Opera program - Boston Ideal Opera Company in Bohemian Girl,",,,,,,,,,,,,,,text,,,archival document,,,,,,,,unknown,,,,,,,University of Pittsburgh,,collection.254|||collection.10
31735068207665,"Opera program - Fay Templeton Opera Company in Girofle-Girofla,",,,,,,,,,,,,,,text,,,archival document,,,,,,,,unknown,,,,,,,University of Pittsburgh,,collection.254|||collection.10
31735068207673,"Opera program - The Emma Abbott Grand Opera Company in Semiramide,",,,,,,,,,,,,,,text,,,archival document,,,,,,,,unknown,,,,,,,University of Pittsburgh,,collection.254|||collection.10
31735068207681,"Opera program - The Boston Ideal Opera Company in Martha,",,,,,,,,,,,,,,text,,,archival document,,,,,,,,unknown,,,,,,,University of Pittsburgh,,collection.254|||collection.10
31735068207699,"Opera program - New York Thalia Grand and Comic Company in Nanon, or the Hostess of the Golden Lamb,",,,,,,,,,,,,,,text,,,archival document,,,,,,,,unknown,,,,,,,University of Pittsburgh,,collection.254|||collection.10
31735068207707,"Opera program - The Emma Abbott Grand Opera Company in Faust,",,,,,,,,,,,,,,text,,,archival document,,,,,,,,unknown,,,,,,,University of Pittsburgh,,collection.254|||collection.10
31735068207715,"Concert program - Theodore Thomas' Orchestra with Miss Anna Mehlig,",,,,,,,,,,,,,,text,,,archival document,,,,,,,,unknown,,,,,,,University of Pittsburgh,,collection.254|||collection.10
31735068207723,"Theatre Program - King Lear with Edwin Booth,",,,,,,,,,,,,,,text,,,archival document,,,,,,,,unknown,,,,,,,University of Pittsburgh,,collection.254|||collection.10
31735068207772,"Advertising - Madison Square Theatre in Esmeralda,",,,,,,,,,,,,,,text,,,archival document,,,,,,,,unknown,,,,,,,University of Pittsburgh,,collection.254|||collection.10
31735068207780,"Vaudeville program - Haverly's Genuine Colored Minstrels; Alex Hunter; the Canebrake Spectres; etc,",,,,,,,,,,,,,,text,,,archival document,,,,,,,,unknown,,,,,,,University of Pittsburgh,,collection.254|||collection.10
31735068207798,"Opera program - The Emma Abbott Grand Opera Company in Rigoletto,",,,,,,,,,,,,,,text,,,archival document,,,,,,,,unknown,,,,,,,University of Pittsburgh,,collection.254|||collection.10
31735068207806,"Opera program - The Boston Ideal Opera Company in The Musketeers,",,,,,,,,,,,,,,text,,,archival document,,,,,,,,unknown,,,,,,,University of Pittsburgh,,collection.254|||collection.10
31735068207814,"Opera program - New York Thalia Grand and Comic Company in Postillon von Lonjumeau,",,,,,,,,,,,,,,text,,,archival document,,,,,,,,unknown,,,,,,,University of Pittsburgh,,collection.254|||collection.10
31735068207822,"Theatre program - Camille with Helena Modjeska,",,,,,,,,,,,,,,text,,,archival document,,,,,,,,unknown,,,,,,,University of Pittsburgh,,collection.254|||collection.10
31735068207830,"Opera program - La Grande Duchesse with Marie Aimee and the French Opera Bouffe Company,",,,,,,,,,,,,,,text,,,archival document,,,,,,,,unknown,,,,,,,University of Pittsburgh,,collection.254|||collection.10
31735068207848,"Theatre Program - Little Nell and the Marchioness! with Lotta Crabtree,",,,,,,,,,,,,,,text,,,archival document,,,,,,,,unknown,,,,,,,University of Pittsburgh,,collection.254|||collection.10
31735068207897,"Theatre program - Jane Eyre with Maggie Mitchell,",,,,,,,,,,,,,,text,,,archival document,,,,,,,,unknown,,,,,,,University of Pittsburgh,,collection.254|||collection.10
31735068207905,"Opera program - The Boston Ideal Opera Company in Fanchonette,",,,,,,,,,,,,,,text,,,archival document,,,,,,,,unknown,,,,,,,University of Pittsburgh,,collection.254|||collection.10
31735068207921,"Opera program - The Boston Ideal Opera Company in Giralda,",,,,,,,,,,,,,,text,,,archival document,,,,,,,,unknown,,,,,,,University of Pittsburgh,,collection.254|||collection.10
31735068207939,"Opera program - The Boston Ideal Opera Company in The Musketeers,",,,,,,,,,,,,,,text,,,archival document,,,,,,,,unknown,,,,,,,University of Pittsburgh,,collection.254|||collection.10
31735068207947,"Opera program - The McCaull Opera Comique Company in The Black Hussar,",,,,,,,,,,,,,,text,,,archival document,,,,,,,,unknown,,,,,,,University of Pittsburgh,,collection.254|||collection.10
31735068207954,"Opera program - The Hugeunots!,",,,,,,,,,,,,,,text,,,archival document,,,,,,,,unknown,,,,,,,University of Pittsburgh,,collection.254|||collection.10
31735068208010,"Theatre program - As You Like It with Margaret Mather,",,,,,,,,,,,,,,text,,,archival document,,,,,,,,unknown,,,,,,,University of Pittsburgh,,collection.254|||collection.10
31735068208028,"Theatre program - Madison Square Theatre in May Blossom, the Fisherman's Daughter,",,,,,,,,,,,,,,text,,,archival document,,,,,,,,unknown,,,,,,,University of Pittsburgh,,collection.254|||collection.10
31735068208036,"Opera program - The Emma Abbott Grand Opera Company in Il Trovatore,",,,,,,,,,,,,,,text,,,archival document,,,,,,,,unknown,,,,,,,University of Pittsburgh,,collection.254|||collection.10
31735068208051,"Advertising - Alexander Salvini tour,",,,,,,,,,,,,,,text,,,archival document,,,,,,,,unknown,,,,,,,University of Pittsburgh,,collection.254|||collection.10
31735068208077,"Theatre program - Bill Nye and A. P. Burbank,",,,,,,,,,,,,,,text,,,archival document,,,,,,,,unknown,,,,,,,University of Pittsburgh,,collection.254|||collection.10
31735068208135,"Concert program - Grand Music Festival,",,,,,,,,,,,,,,text,,,archival document,,,,,,,,unknown,,,,,,,University of Pittsburgh,,collection.254|||collection.10
