id,title,uniform_title,alternative_title,enumeration_chronology,associated_name,publication_place,publisher,publication_date,start_date,end_date,edition,issuance,frequency,language,type_of_resource,format,extent,genre,abstract,subject,temporal_coverage,geographic_coverage,target_audience,preceded_by,succeeded_by,copyright_status,copyright_holder,copyright_note,record_id,issn,lccn,oclccn,depositor,url,collection_id
,Voleurs d'enfants,Taken. French,,,"George, Kathleen, 1943- (author)",Paris :,"Belfond,",,,,,monographic,,French|||English,text,print|||unmediated|||volume,386 pages ; 24 cm,Fiction|||text,"The child was taken in broad daylight, on a warm June morning, in a crowded shopping area in downtown Pittsburgh. Marina Benedict first saw the baby with his mother. Then, just minutes later, she saw him again, in the arms of a man she was certain was not the child's father. In a single life-altering act, Marina followed them. What happens next will plunge her into a mystery that is both heartbreaking and chilling. Within hours of the abduction, the city is galvanized by the story: a child, the son of a pitcher for the Pirates, is missing. And soon a community begins to unravel. Detective Richard Christie struggles with his own demons as he tries to solve a baffling mystery. And Marina Benedict, pulled from the safety of her ordinary life by a brutal crime, is at the center of the story. Because once, Marina tried to save a life and it changed her forever. Now she will risk her life again--for a child who is still out there somewhere, still in need of saving.",Infants|||Crimes against|||Women detectives|||Kidnapping,,Pittsburgh (Pa.),,,,,,,9986013443406236,,,,,,
,Voleurs d'enfants,Taken. French,,,"George, Kathleen, 1943- (author)",Paris,France Loisirs,,,,,monographic,,French,text,print|||unmediated|||volume,436 pages ; 20 cm.,Fiction|||text,"The child was taken in broad daylight, on a warm June morning, in a crowded shopping area in downtown Pittsburgh. Marina Benedict first saw the baby with his mother. Then, just minutes later, she saw him again, in the arms of a man she was certain was not the child's father. In a single life-altering act, Marina followed them. What happens next will plunge her into a mystery that is both heartbreaking and chilling. Within hours of the abduction, the city is galvanized by the story: a child, the son of a pitcher for the Pirates, is missing. And soon a community begins to unravel. Detective Richard Christie struggles with his own demons as he tries to solve a baffling mystery. And Marina Benedict, pulled from the safety of her ordinary life by a brutal crime, is at the center of the story. Because once, Marina tried to save a life and it changed her forever. Now she will risk her life again--for a child who is still out there somewhere, still in need of saving.",Infants|||Crimes against|||Women detectives|||Kidnapping,,Pittsburgh (Pa.),,,,,,,9986017593406236,,,,,,
,Yūkai kōjō|||誘拐工場,Taken. Japanese|||Taken,,,,Tōkyō|||東京 :,"Shinchōsha|||新潮社,",,,,,monographic,,Japanese|||English,text,print|||unmediated|||volume,606 pages ; 16 cm.,Fiction|||text,,Infants|||Crimes against|||Women detectives|||Kidnapping,,Pittsburgh (Pa.),,,,,,,9986026973406236,,,,,,
,"Between the Covers: collection of 9 photograph and memorabilia albums of American Circus Life and Performance, 3,000 photographs",,,,,,,,,,,monographic,,English,text,print,,,,,,,,,,,,,9991743573406236,,,,,,
,"complete angler, or, The contemplative man's recreation: being a discourse of rivers fish-ponds fish and fishing, The",Compleat angler,Contemplative man's recreation,,"Cotton, Charles, 1630-1687 (author)|||Nicolas, Nicholas Harris, Sir, 1799-1848 (editor)|||Pickering, William, 1796-1854 (publisher)|||Whittingham, Charles, 1795-1876 (printer)|||Stothard, Thomas, 1755-1834 (illustrator)|||Inskipp, James, 1790-1868 (illustrator)|||Horne, Bernard S., 1905-1970 (former owner)",London,"William Pickering|||Pickering, William, 1796-1854",,,,,monographic,,English,text,print|||unmediated|||volume,"2 volumes, [14] leaves of plates : illustrations, portraits ; 28 cm",Engravings-England-17th century|||Engravings-England-18th century|||Engravings-England-19th century|||Extra-illustrated copies (Provenance)-England-19th century|||text,,Fishing,,"England, London",,,,,,,9994777773406236,,12019644,,,,
,"operas of Richard Strauss in Britain, 1910-1963, The",,,,,London,Published for the Society for Theatre Research by] Putnam,,,,,monographic,,English,text,print,"xv, 186 p. 26 cm.",bibliography|||biography,,"Opera|||Strauss, Richard 1864-1949|||Operas",,Great Britain,,,,,,,998638143406236,,64004865 /MN,,,,
,"King's Theatre, 1704-1867: London's first Italian opera house, The",,,,,London,Society for Theatre Research,,,,,monographic,,English,text,print,"xii, 164 p. illus. 22 cm.",bibliography,,Opera|||London. King's Theatre.,,Italy|||England|||London,,,,,,,998639533406236,,73176807 /MN/r85,,,,
,Victor Herbert: the biography of America's greatest composer of romantic music,,,,,New York,G. H. Watt,,,,,monographic,,English,text,print,271 p. illus. 22 cm.,,,"Herbert, Victor 1859-1924",,,,,,,,,998643223406236,,32004917,,,,
,Gilbert and Sullivan,,,,,London,M. Parrish,,,,,monographic,,English,text,print,64 p. illus. 23 cm.,,,"Gilbert, W. S. (William Schwenck) 1836-1911|||Sullivan, Arthur 1842-1900",,,,,,,,,998646753406236,,52004471,,,,
,"Italian opera and contemporary ballet in London, 1789-1820: a record of performances and players, with reports from the journals of the time, The",,,,,London,Society for Theatre Research,,,,,monographic,,English,text,print,"xviii, 191 p. facsims. 22 cm.",bibliography,,Opera|||Ballet|||History|||Operas|||Bibliography|||Ballets|||London. King's Theatre.,18th century|||19th century,Italy|||England|||London,,,,,,,998664723406236,,55003810 //r864,,,,
