id,title,creator,contributor,creation_date,sort_date,display_date,language,type_of_resource,format,extent,genre,abstract,subject,temporal_coverage,geographic_coverage,host,series,container,owner,depositor,collection_id
31735033464318,"Theatre program - E.H. Sothern and Julia Marlowe in Shakespeare's Plays,",,,,,"March 15, 1920",,text,,,archival document,,,,,Ford E. and Harriet R. Curtis Theatre Collection of Pittsburgh Theatre Programs,"II. 20th Century Pittsburgh Theatres, 1901-current",,ULS Special Collections Department,University of Pittsburgh,collection.254|||collection.10
31735033464326,"Theatre program - The Bat based on the novel by Mary Roberts Rinehart,",,,,,"September 25, 1922",,text,,,archival document,,,,,Ford E. and Harriet R. Curtis Theatre Collection of Pittsburgh Theatre Programs,"II. 20th Century Pittsburgh Theatres, 1901-current",,ULS Special Collections Department,University of Pittsburgh,collection.254|||collection.10
31735033464334,"Opera program - Pittsburgh Opera in Manon,",,,,,"November 20, 1952",,text,,,archival document,,,,,Ford E. and Harriet R. Curtis Theatre Collection of Pittsburgh Theatre Programs,"II. 20th Century Pittsburgh Theatres, 1901-current",,ULS Special Collections Department,University of Pittsburgh,collection.254|||collection.10
31735033464359,"Theatre program - The Constant Couple,",,,1997-06,1997-06-01T00:00:00,June 1997,,text,,,archival document,,,,,Ford E. and Harriet R. Curtis Theatre Collection of Pittsburgh Theatre Programs,"II. 20th Century Pittsburgh Theatres, 1901-current",,ULS Special Collections Department,University of Pittsburgh,collection.254|||collection.10
31735033464367,"Theatre program - Way Down East first production at the Gayety,",,,,,"October 31, 1904",,text,,,archival document,,,,,Ford E. and Harriet R. Curtis Theatre Collection of Pittsburgh Theatre Programs,"II. 20th Century Pittsburgh Theatres, 1901-current",,ULS Special Collections Department,University of Pittsburgh,collection.254|||collection.10
31735033464375,"Concert program - Marian Anderson recital,",,,,,"March 20, 1942",,text,,,archival document,,,,,Ford E. and Harriet R. Curtis Theatre Collection of Pittsburgh Theatre Programs,"II. 20th Century Pittsburgh Theatres, 1901-current",,ULS Special Collections Department,University of Pittsburgh,collection.254|||collection.10
31735033464391,"Theatre program - The Toast of the Town with Viola Allen a benefit performance for the Pittsburgh and Alleheny Free Kindergarten Association,",,,,,"March 14, 1906",,text,,,archival document,,,,,Ford E. and Harriet R. Curtis Theatre Collection of Pittsburgh Theatre Programs,"II. 20th Century Pittsburgh Theatres, 1901-current",,ULS Special Collections Department,University of Pittsburgh,collection.254|||collection.10
31735033464409,"Theatre program - Joe Turner's Come and Gone with August Wilson autograph,",,,,,"September 7, 1989",,text,,,archival document,,,,,Ford E. and Harriet R. Curtis Theatre Collection of Pittsburgh Theatre Programs,"II. 20th Century Pittsburgh Theatres, 1901-current",,ULS Special Collections Department,University of Pittsburgh,collection.254|||collection.10
31735033464417,"Dance program - Mamie W. Barth School of the Dance annual exhibition,",,,,,"April 28th, 1931",,text,,,archival document,,,,,Ford E. and Harriet R. Curtis Theatre Collection of Pittsburgh Theatre Programs,"II. 20th Century Pittsburgh Theatres, 1901-current",,ULS Special Collections Department,University of Pittsburgh,collection.254|||collection.10
31735033464433,"Advertising - The Wizard of Oz,",,,1905-12,1905-12-01T00:00:00,December 1905,,text,,,archival document,,,,,Ford E. and Harriet R. Curtis Theatre Collection of Pittsburgh Theatre Programs,"II. 20th Century Pittsburgh Theatres, 1901-current",,ULS Special Collections Department,University of Pittsburgh,collection.254|||collection.10
31735033464441,"Theatre program - Erminie inaugual performance at the Nixon,",,,,,"December 7, 1903",,text,,,archival document,,,,,Ford E. and Harriet R. Curtis Theatre Collection of Pittsburgh Theatre Programs,"II. 20th Century Pittsburgh Theatres, 1901-current",,ULS Special Collections Department,University of Pittsburgh,collection.254|||collection.10
31735033464458,"Theatre program - Original Freiburg Passion Play,",,,,,"November 17, 1930",,text,,,archival document,,,,,Ford E. and Harriet R. Curtis Theatre Collection of Pittsburgh Theatre Programs,"II. 20th Century Pittsburgh Theatres, 1901-current",,ULS Special Collections Department,University of Pittsburgh,collection.254|||collection.10
31735033464474,"Theatre program - Actor's Fund of America benefit,",,,,,"April 19, 1910",,text,,,archival document,,,,,Ford E. and Harriet R. Curtis Theatre Collection of Pittsburgh Theatre Programs,"II. 20th Century Pittsburgh Theatres, 1901-current",,ULS Special Collections Department,University of Pittsburgh,collection.254|||collection.10
31735033464482,"Theatre program - Little Minister with Maude Adams,",,,,,"November 14, 1904",,text,,,archival document,,,,,Ford E. and Harriet R. Curtis Theatre Collection of Pittsburgh Theatre Programs,"II. 20th Century Pittsburgh Theatres, 1901-current",,ULS Special Collections Department,University of Pittsburgh,collection.254|||collection.10
31735033464490,"Advertising - Rock 'n Roll show featuring Bill Haley and his Comets,",,,,,"May 3, 1956",,text,,,archival document,,,,,Ford E. and Harriet R. Curtis Theatre Collection of Pittsburgh Theatre Programs,"II. 20th Century Pittsburgh Theatres, 1901-current",,ULS Special Collections Department,University of Pittsburgh,collection.254|||collection.10
31735033464607,"Theatre program - Forbidden Pittsburgh,",,,,,"May 2, 1985",,text,,,archival document,,,,,Ford E. and Harriet R. Curtis Theatre Collection of Pittsburgh Theatre Programs,"II. 20th Century Pittsburgh Theatres, 1901-current",,ULS Special Collections Department,University of Pittsburgh,collection.254|||collection.10
31735033464649,"Theatre program - Screening of Adoration inaugural performance at the Enright,",,,,,"December 28, 1928",,text,,,archival document,,,,,Ford E. and Harriet R. Curtis Theatre Collection of Pittsburgh Theatre Programs,"II. 20th Century Pittsburgh Theatres, 1901-current",,ULS Special Collections Department,University of Pittsburgh,collection.254|||collection.10
31735033464656,"Theatre program - Theater Festival in Black & White,",,,,,"October 14, 2003",,text,,,archival document,,,,,Ford E. and Harriet R. Curtis Theatre Collection of Pittsburgh Theatre Programs,"II. 20th Century Pittsburgh Theatres, 1901-current",,ULS Special Collections Department,University of Pittsburgh,collection.254|||collection.10
31735033464680,Theatre program - Don Brockett and Barbara Russell in Last Polka in Pittsburgh,,,,,,,text,,,archival document,,,,,Ford E. and Harriet R. Curtis Theatre Collection of Pittsburgh Theatre Programs,"II. 20th Century Pittsburgh Theatres, 1901-current",,ULS Special Collections Department,University of Pittsburgh,collection.254|||collection.10
31735033464698,"Theatre program - Joseph and the Amazing Technicolor Dreamcoat,",,,,,"December 5, 1990",,text,,,archival document,,,,,Ford E. and Harriet R. Curtis Theatre Collection of Pittsburgh Theatre Programs,"II. 20th Century Pittsburgh Theatres, 1901-current",,ULS Special Collections Department,University of Pittsburgh,collection.254|||collection.10
31735033464730,"Theatre program - New Works Festival,",,,,,"October 17, 1991",,text,,,archival document,,,,,Ford E. and Harriet R. Curtis Theatre Collection of Pittsburgh Theatre Programs,"II. 20th Century Pittsburgh Theatres, 1901-current",,ULS Special Collections Department,University of Pittsburgh,collection.254|||collection.10
31735033464763,"Theatre program - Inaugural Pittsburgh Public Theater production The Glass Menagerie,",,,,,"September 17, 1975",,text,,,archival document,,,,,Ford E. and Harriet R. Curtis Theatre Collection of Pittsburgh Theatre Programs,"II. 20th Century Pittsburgh Theatres, 1901-current",,ULS Special Collections Department,University of Pittsburgh,collection.254|||collection.10
31735033464771,"Theatre program - Twelfth Night with Leonard Nimoy,",,,,,"November 26, 1975",,text,,,archival document,,,,,Ford E. and Harriet R. Curtis Theatre Collection of Pittsburgh Theatre Programs,"II. 20th Century Pittsburgh Theatres, 1901-current",,ULS Special Collections Department,University of Pittsburgh,collection.254|||collection.10
31735037973660,"The Marriage,",,,1916-04,1916-04-01T00:00:00,April 1916,,text,,,archival document,,,,,Pitt Players Records,"I. Programs, 1916-1960",Folder 2,ULS Special Collections Department,University of Pittsburgh,collection.10|||collection.8
31735037973678,"The Dover Road,",,,1925-05-16,1925-05-16T00:00:00,"May 16, 1925",,text,,,archival document,,,,,Pitt Players Records,"I. Programs, 1916-1960",Folder 2,ULS Special Collections Department,University of Pittsburgh,collection.10|||collection.8
31735037973686,"An English May Day,",,,1916-06-13,1916-06-13T00:00:00,"June 13, 1916",,text,,,archival document,,,,,Pitt Players Records,"I. Programs, 1916-1960",Folder 2,ULS Special Collections Department,University of Pittsburgh,collection.10|||collection.8
31735037973694,"The New Poor,",,,1924-12-04,1924-12-04T00:00:00,"December 4, 1924",,text,,,archival document,,,,,Pitt Players Records,"I. Programs, 1916-1960",Folder 2,ULS Special Collections Department,University of Pittsburgh,collection.10|||collection.8
31735037973702,"Dulcy,",,,1926-03,1926-03-01T00:00:00,March 1926,,text,,,archival document,,,,,Pitt Players Records,"I. Programs, 1916-1960",Folder 3,ULS Special Collections Department,University of Pittsburgh,collection.10|||collection.8
31735037973710,"Fashion,",,,1926-04-09,1926-04-09T00:00:00,"April 9, 1926",,text,,,archival document,,,,,Pitt Players Records,"I. Programs, 1916-1960",Folder 3,ULS Special Collections Department,University of Pittsburgh,collection.10|||collection.8
31735037973728,"The Best People,",,,1928,1928-01-01T00:00:00,1928,,text,,,archival document,,,,,Pitt Players Records,"I. Programs, 1916-1960",Folder 3,ULS Special Collections Department,University of Pittsburgh,collection.10|||collection.8
31735037973736,"The Pillars of Society,",,,1929,1929-01-01T00:00:00,1929,,text,,,archival document,,,,,Pitt Players Records,"I. Programs, 1916-1960",Folder 3,ULS Special Collections Department,University of Pittsburgh,collection.10|||collection.8
31735037973744,"The Cradle Song,",,,1929,1929-01-01T00:00:00,1929,,text,,,archival document,,,,,Pitt Players Records,"I. Programs, 1916-1960",Folder 3,ULS Special Collections Department,University of Pittsburgh,collection.10|||collection.8
31735037973751,"The Truth About Blayds,",,,1930-03-13,1930-03-13T00:00:00,"March 13, 1930",,text,,,archival document,,,,,Pitt Players Records,"I. Programs, 1916-1960",Folder 3,ULS Special Collections Department,University of Pittsburgh,collection.10|||collection.8
31735037973769,"The Whiteheaded Boy,",,,1930-11-20,1930-11-20T00:00:00,"November 20, 1930",,text,,,archival document,,,,,Pitt Players Records,"I. Programs, 1916-1960",Folder 3,ULS Special Collections Department,University of Pittsburgh,collection.10|||collection.8
31735037973777,"The Torch-Bearers,",,,1925-02,1925-02-01T00:00:00,February 1925,,text,,,archival document,,,,,Pitt Players Records,"I. Programs, 1916-1960",Folder 2,ULS Special Collections Department,University of Pittsburgh,collection.10|||collection.8
31735037973785,"Craig's Wife,",,,1933-02-16,1933-02-16T00:00:00,"February 16, 1933",,text,,,archival document,,,,,Pitt Players Records,"I. Programs, 1916-1960",Folder 4,ULS Special Collections Department,University of Pittsburgh,collection.10|||collection.8
31735037973793,"Counsellor-At-Law,",,,1939-12,1939-12-01T00:00:00,December 1939,,text,,,archival document,,,,,Pitt Players Records,"I. Programs, 1916-1960",Folder 4,ULS Special Collections Department,University of Pittsburgh,collection.10|||collection.8
31735037973801,"March Hares,",,,1935-04,1935-04-01T00:00:00,April 1935,,text,,,archival document,,,,,Pitt Players Records,"I. Programs, 1916-1960",Folder 4,ULS Special Collections Department,University of Pittsburgh,collection.10|||collection.8
31735037973819,"Brother Rat,",,,1938/1939,1938-01-01T00:00:00,1938-1939,,text,,,archival document,,,,,Pitt Players Records,"I. Programs, 1916-1960",Folder 4,ULS Special Collections Department,University of Pittsburgh,collection.10|||collection.8
31735037973827,"Hay Fever,",,,1932-05-19,1932-05-19T00:00:00,"May 19, 1932",,text,,,archival document,,,,,Pitt Players Records,"I. Programs, 1916-1960",Folder 4,ULS Special Collections Department,University of Pittsburgh,collection.10|||collection.8
31735037973835,"Enter Madame,",,,1932-11-17,1932-11-17T00:00:00,"November 17, 1932",,text,,,archival document,,,,,Pitt Players Records,"I. Programs, 1916-1960",Folder 4,ULS Special Collections Department,University of Pittsburgh,collection.10|||collection.8
31735037973843,"The Queen's Husband,",,,1933-11-16,1933-11-16T00:00:00,"November 16, 1933",,text,,,archival document,,,,,Pitt Players Records,"I. Programs, 1916-1960",Folder 4,ULS Special Collections Department,University of Pittsburgh,collection.10|||collection.8
31735037973850,"Minick,",,,1933-04-06,1933-04-06T00:00:00,"April 6, 1933",,text,,,archival document,,,,,Pitt Players Records,"I. Programs, 1916-1960",Folder 4,ULS Special Collections Department,University of Pittsburgh,collection.10|||collection.8
31735037973868,"He Who Gets Slapped,",,,1931-11-19,1931-11-19T00:00:00,"November 19, 1931",,text,,,archival document,,,,,Pitt Players Records,"I. Programs, 1916-1960",Folder 4,ULS Special Collections Department,University of Pittsburgh,collection.10|||collection.8
31735037973876,"Alice Sit By The Fire,",,,1931-05-14,1931-05-14T00:00:00,"May 14, 1931",,text,,,archival document,,,,,Pitt Players Records,"I. Programs, 1916-1960",Folder 4,ULS Special Collections Department,University of Pittsburgh,collection.10|||collection.8
31735037973884,"Our Town,",,,1939-05,1939-05-01T00:00:00,May 1939,,text,,,archival document,,,,,Pitt Players Records,"I. Programs, 1916-1960",Folder 4,ULS Special Collections Department,University of Pittsburgh,collection.10|||collection.8
31735037973892,"You Can't Take It With You,",,,1940-05,1940-05-01T00:00:00,May 1940,,text,,,archival document,,,,,Pitt Players Records,"I. Programs, 1916-1960",Folder 4,ULS Special Collections Department,University of Pittsburgh,collection.10|||collection.8
31735037973900,"Children of the Moon,",,,1934-02-15,1934-02-15T00:00:00,"February 15, 1934",,text,,,archival document,,,,,Pitt Players Records,"I. Programs, 1916-1960",Folder 4,ULS Special Collections Department,University of Pittsburgh,collection.10|||collection.8
31735037973918,"The Torch-Bearers,",,,1934-03-28,1934-03-28T00:00:00,"March 28, 1934",,text,,,archival document,,,,,Pitt Players Records,"I. Programs, 1916-1960",Folder 4,ULS Special Collections Department,University of Pittsburgh,collection.10|||collection.8
31735037973926,"Four One Act Plays,",,,1931-07-29,1931-07-29T00:00:00,"July 29, 1931",,text,,,archival document,,,,,Pitt Players Records,"I. Programs, 1916-1960",Folder 4,ULS Special Collections Department,University of Pittsburgh,collection.10|||collection.8
31735037973934,"The Swan,",,,1932-02-17,1932-02-17T00:00:00,"February 17, 1932",,text,,,archival document,,,,,Pitt Players Records,"I. Programs, 1916-1960",Folder 4,ULS Special Collections Department,University of Pittsburgh,collection.10|||collection.8
31735037973942,"High Tor,",,,1940-12,1940-12-01T00:00:00,December 1940,,text,,,archival document,,,,,Pitt Players Records,"I. Programs, 1916-1960",Folder 5,ULS Special Collections Department,University of Pittsburgh,collection.10|||collection.8
31735037973959,"Ceiling Zero,",,,1938/1939,1938-01-01T00:00:00,1938-1939,,text,,,archival document,,,,,Pitt Players Records,"I. Programs, 1916-1960",Folder 4,ULS Special Collections Department,University of Pittsburgh,collection.10|||collection.8
31735037973967,"Captain Applejack,",,,1931-02-19,1931-02-19T00:00:00,"February 19, 1931",,text,,,archival document,,,,,Pitt Players Records,"I. Programs, 1916-1960",Folder 4,ULS Special Collections Department,University of Pittsburgh,collection.10|||collection.8
31735037973975,"Three Men on a Horse,",,,1939-11,1939-11-01T00:00:00,November 1939,,text,,,archival document,,,,,Pitt Players Records,"I. Programs, 1916-1960",Folder 4,ULS Special Collections Department,University of Pittsburgh,collection.10|||collection.8
31735037973983,"Flight to the West,",,,1941-12,1941-12-01T00:00:00,December 1941,,text,,,archival document,,,,,Pitt Players Records,"I. Programs, 1916-1960",Folder 6,ULS Special Collections Department,University of Pittsburgh,collection.10|||collection.8
31735037973991,"The Women,",,,1942-03,1942-03-01T00:00:00,March 1942,,text,,,archival document,,,,,Pitt Players Records,"I. Programs, 1916-1960",Folder 6,ULS Special Collections Department,University of Pittsburgh,collection.10|||collection.8
31735037974007,"Golden Boy,",,,1941-03,1941-03-01T00:00:00,March 1941,,text,,,archival document,,,,,Pitt Players Records,"I. Programs, 1916-1960",Folder 5,ULS Special Collections Department,University of Pittsburgh,collection.10|||collection.8
31735037974023,"The Yellow Jacket,",,,1941-10,1941-10-01T00:00:00,October 1941,,text,,,archival document,,,,,Pitt Players Records,"I. Programs, 1916-1960",Folder 6,ULS Special Collections Department,University of Pittsburgh,collection.10|||collection.8
31735037974031,"Echoes of Other Years,",,,1943-08-05,1943-08-05T00:00:00,"August 5, 1943",,text,,,archival document,,,,,Pitt Players Records,"I. Programs, 1916-1960",Folder 7,ULS Special Collections Department,University of Pittsburgh,collection.10|||collection.8
31735037974049,"Knickerbocker Holiday,",,,1943-03,1943-03-01T00:00:00,March 1943,,text,,,archival document,,,,,Pitt Players Records,"I. Programs, 1916-1960",Folder 7,ULS Special Collections Department,University of Pittsburgh,collection.10|||collection.8
31735037974056,"Furlough, but not Furlong,",,,1944-05,1944-05-01T00:00:00,May 1944,,text,,,archival document,,,,,Pitt Players Records,"I. Programs, 1916-1960",Folder 8,ULS Special Collections Department,University of Pittsburgh,collection.10|||collection.8
31735037974064,"Two One-Act Plays,",,,1944-07-27,1944-07-27T00:00:00,"July 27, 1944",,text,,,archival document,,,,,Pitt Players Records,"I. Programs, 1916-1960",Folder 8,ULS Special Collections Department,University of Pittsburgh,collection.10|||collection.8
31735037974072,"Tonight at Eight,",,,1944-11/1944-12,1944-11-01T00:00:00,November-December 1944,,text,,,archival document,,,,,Pitt Players Records,"I. Programs, 1916-1960",Folder 9,ULS Special Collections Department,University of Pittsburgh,collection.10|||collection.8
31735037974080,"Hedda Gabler,",,,1945-03,1945-03-01T00:00:00,March 1945,,text,,,archival document,,,,,Pitt Players Records,"I. Programs, 1916-1960",Folder 9,ULS Special Collections Department,University of Pittsburgh,collection.10|||collection.8
31735037974098,"Jim Dandy,",,,1946-04,1946-04-01T00:00:00,April 1946,,text,,,archival document,,,,,Pitt Players Records,"I. Programs, 1916-1960",Folder 10,ULS Special Collections Department,University of Pittsburgh,collection.10|||collection.8
31735037974106,"Room Service,",,,1947-03,1947-03-01T00:00:00,March 1947,,text,,,archival document,,,,,Pitt Players Records,"I. Programs, 1916-1960",Folder 11,ULS Special Collections Department,University of Pittsburgh,collection.10|||collection.8
31735037974114,"Joan of Lorraine,",,,1947,1947-01-01T00:00:00,1947,,text,,,archival document,,,,,Pitt Players Records,"I. Programs, 1916-1960",Folder 11,ULS Special Collections Department,University of Pittsburgh,collection.10|||collection.8
31735037974122,"George Washington Slept Here,",,,1947-11,1947-11-01T00:00:00,November 1947,,text,,,archival document,,,,,Pitt Players Records,"I. Programs, 1916-1960",Folder 12,ULS Special Collections Department,University of Pittsburgh,collection.10|||collection.8
31735037974130,"Outward Bound,",,,1948-07,1948-07-01T00:00:00,July 1948,,text,,,archival document,,,,,Pitt Players Records,"I. Programs, 1916-1960",Folder 12,ULS Special Collections Department,University of Pittsburgh,collection.10|||collection.8
31735037974148,Dark of the Moon,,,1949-05,1949-05-01T00:00:00,May 1949,,text,,,archival document,,,,,Pitt Players Records,"I. Programs, 1916-1960",Folder 13,ULS Special Collections Department,University of Pittsburgh,collection.10|||collection.8
31735037974155,"The Winslow Boy,",,,1949-07,1949-07-01T00:00:00,July 1949,,text,,,archival document,,,,,Pitt Players Records,"I. Programs, 1916-1960",Folder 13,ULS Special Collections Department,University of Pittsburgh,collection.10|||collection.8
31735037974163,"All My Sons,",,,1948-03,1948-03-01T00:00:00,March 1948,,text,,,archival document,,,,,Pitt Players Records,"I. Programs, 1916-1960",Folder 13,ULS Special Collections Department,University of Pittsburgh,collection.10|||collection.8
31735037974171,"The Flies,",,,1948-12,1948-12-01T00:00:00,December 1948,,text,,,archival document,,,,,Pitt Players Records,"I. Programs, 1916-1960",Folder 13,ULS Special Collections Department,University of Pittsburgh,collection.10|||collection.8
31735037974189,"Candida,",,,1949-03,1949-03-01T00:00:00,March 1949,,text,,,archival document,,,,,Pitt Players Records,"I. Programs, 1916-1960",Folder 13,ULS Special Collections Department,University of Pittsburgh,collection.10|||collection.8
31735037974197,"The Philadelphia Story,",,,1948-10,1948-10-01T00:00:00,October 1948,,text,,,archival document,,,,,Pitt Players Records,"I. Programs, 1916-1960",Folder 13,ULS Special Collections Department,University of Pittsburgh,collection.10|||collection.8
31735037974205,"The Would-Be Gentleman,",,,1948-05,1948-05-01T00:00:00,May 1948,,text,,,archival document,,,,,Pitt Players Records,"I. Programs, 1916-1960",Folder 13,ULS Special Collections Department,University of Pittsburgh,collection.10|||collection.8
31735037974213,"Curtain Time,",,,1948-04,1948-04-01T00:00:00,April 1948,,text,,,archival document,,,,,Pitt Players Records,"I. Programs, 1916-1960",Folder 13,ULS Special Collections Department,University of Pittsburgh,collection.10|||collection.8
31735037974221,"The Glass Menagerie,",,,1950-08,1950-08-01T00:00:00,August 1950,,text,,,archival document,,,,,Pitt Players Records,"I. Programs, 1916-1960",Folder 14,ULS Special Collections Department,University of Pittsburgh,collection.10|||collection.8
31735037974239,"Julius Caesar,",,,1950-03,1950-03-01T00:00:00,March 1950,,text,,,archival document,,,,,Pitt Players Records,"I. Programs, 1916-1960",Folder 14,ULS Special Collections Department,University of Pittsburgh,collection.10|||collection.8
31735037974247,"Caste,",,,1949-12,1949-12-01T00:00:00,December 1949,,text,,,archival document,,,,,Pitt Players Records,"I. Programs, 1916-1960",Folder 14,ULS Special Collections Department,University of Pittsburgh,collection.10|||collection.8
31735037974254,"Arsenic and Old Lace,",,,1949-11,1949-11-01T00:00:00,November 1949,,text,,,archival document,,,,,Pitt Players Records,"I. Programs, 1916-1960",Folder 14,ULS Special Collections Department,University of Pittsburgh,collection.10|||collection.8
31735037974262,"A Connecticut Yankee,",,,1950-05,1950-05-01T00:00:00,May 1950,,text,,,archival document,,,,,Pitt Players Records,"I. Programs, 1916-1960",Folder 14,ULS Special Collections Department,University of Pittsburgh,collection.10|||collection.8
31735037974270,"Beggar on Horseback,",,,1951-01,1951-01-01T00:00:00,January 1951,,text,,,archival document,,,,,Pitt Players Records,"I. Programs, 1916-1960",Folder 1,ULS Special Collections Department,University of Pittsburgh,collection.10|||collection.8
31735037974288,"Oedipus Rex,",,,1951-12,1951-12-01T00:00:00,December 1951,,text,,,archival document,,,,,Pitt Players Records,"I. Programs, 1916-1960",Folder 2,ULS Special Collections Department,University of Pittsburgh,collection.10|||collection.8
31735037974296,"My Sister Eileen,",,,1950-11,1950-11-01T00:00:00,November 1950,,text,,,archival document,,,,,Pitt Players Records,"I. Programs, 1916-1960",Folder 1,ULS Special Collections Department,University of Pittsburgh,collection.10|||collection.8
31735037974304,"Suspect,",,,1951-03,1951-03-01T00:00:00,March 1951,,text,,,archival document,,,,,Pitt Players Records,"I. Programs, 1916-1960",Folder 1,ULS Special Collections Department,University of Pittsburgh,collection.10|||collection.8
31735037974312,"Henry IV,",,,1951-08,1951-08-01T00:00:00,August 1951,,text,,,archival document,,,,,Pitt Players Records,"I. Programs, 1916-1960",Folder 1,ULS Special Collections Department,University of Pittsburgh,collection.10|||collection.8
31735037974320,"You Touched Me,",,,1952-03,1952-03-01T00:00:00,March 1952,,text,,,archival document,,,,,Pitt Players Records,"I. Programs, 1916-1960",Folder 2,ULS Special Collections Department,University of Pittsburgh,collection.10|||collection.8
31735037974338,"January Thaw,",,,1951-11,1951-11-01T00:00:00,November 1951,,text,,,archival document,,,,,Pitt Players Records,"I. Programs, 1916-1960",Folder 2,ULS Special Collections Department,University of Pittsburgh,collection.10|||collection.8
31735037974346,"Come Back, Little Sheba,",,,1952-07/1952-08,1952-07-01T00:00:00,July-August 1952,,text,,,archival document,,,,,Pitt Players Records,"I. Programs, 1916-1960",Folder 2,ULS Special Collections Department,University of Pittsburgh,collection.10|||collection.8
31735037974353,"Yes, M' Lord,",,,1953-07/1953-08,1953-07-01T00:00:00,July-August 1953,,text,,,archival document,,,,,Pitt Players Records,"I. Programs, 1916-1960",Folder 3,ULS Special Collections Department,University of Pittsburgh,collection.10|||collection.8
31735037974361,"Blithe Spirit,",,,1953-05,1953-05-01T00:00:00,May 1953,,text,,,archival document,,,,,Pitt Players Records,"I. Programs, 1916-1960",Folder 3,ULS Special Collections Department,University of Pittsburgh,collection.10|||collection.8
31735037974379,"Billy Budd,",,,1953-03,1953-03-01T00:00:00,March 1953,,text,,,archival document,,,,,Pitt Players Records,"I. Programs, 1916-1960",Folder 3,ULS Special Collections Department,University of Pittsburgh,collection.10|||collection.8
31735037974387,"The Heiress,",,,1952-12,1952-12-01T00:00:00,December 1952,,text,,,archival document,,,,,Pitt Players Records,"I. Programs, 1916-1960",Folder 3,ULS Special Collections Department,University of Pittsburgh,collection.10|||collection.8
31735037974395,"The Time of Your Life,",,,1952-10,1952-10-01T00:00:00,October 1952,,text,,,archival document,,,,,Pitt Players Records,"I. Programs, 1916-1960",Folder 3,ULS Special Collections Department,University of Pittsburgh,collection.10|||collection.8
31735037974403,"The Glass Harp,",,,1954-03,1954-03-01T00:00:00,March 1954,,text,,,archival document,,,,,Pitt Players Records,"I. Programs, 1916-1960",Folder 4,ULS Special Collections Department,University of Pittsburgh,collection.10|||collection.8
31735037974411,"Androcles and the Lion,",,,1953-10,1953-10-01T00:00:00,October 1953,,text,,,archival document,,,,,Pitt Players Records,"I. Programs, 1916-1960",Folder 4,ULS Special Collections Department,University of Pittsburgh,collection.10|||collection.8
31735037974437,"The Male Animal,",,,1953-12,1953-12-01T00:00:00,December 1953,,text,,,archival document,,,,,Pitt Players Records,"I. Programs, 1916-1960",Folder 4,ULS Special Collections Department,University of Pittsburgh,collection.10|||collection.8
31735037974445,"The Man,",,,1954-07,1954-07-01T00:00:00,July 1954,,text,,,archival document,,,,,Pitt Players Records,"I. Programs, 1916-1960",Folder 4,ULS Special Collections Department,University of Pittsburgh,collection.10|||collection.8
31735037974452,"Yes, M' Lord,",,,1954-05,1954-05-01T00:00:00,May 1954,,text,,,archival document,,,,,Pitt Players Records,"I. Programs, 1916-1960",Folder 4,ULS Special Collections Department,University of Pittsburgh,collection.10|||collection.8
31735037974460,"Harvey,",,,1954-10,1954-10-01T00:00:00,October 1954,,text,,,archival document,,,,,Pitt Players Records,"I. Programs, 1916-1960",Folder 5,ULS Special Collections Department,University of Pittsburgh,collection.10|||collection.8
31735037974478,"The Great Big Doorstep,",,,1954-12,1954-12-01T00:00:00,December 1954,,text,,,archival document,,,,,Pitt Players Records,"I. Programs, 1916-1960",Folder 5,ULS Special Collections Department,University of Pittsburgh,collection.10|||collection.8
31735037974486,"The Corn is Green,",,,1955-08,1955-08-01T00:00:00,August 1955,,text,,,archival document,,,,,Pitt Players Records,"I. Programs, 1916-1960",Folder 5,ULS Special Collections Department,University of Pittsburgh,collection.10|||collection.8
31735037974494,"Dark of the Moon,",,,1955-04,1955-04-01T00:00:00,April 1955,,text,,,archival document,,,,,Pitt Players Records,"I. Programs, 1916-1960",Folder 5,ULS Special Collections Department,University of Pittsburgh,collection.10|||collection.8
31735037974502,"The Innocents,",,,1955-03,1955-03-01T00:00:00,March 1955,,text,,,archival document,,,,,Pitt Players Records,"I. Programs, 1916-1960",Folder 5,ULS Special Collections Department,University of Pittsburgh,collection.10|||collection.8
31735037974510,"Pitt Players Award Banquet,",,,1956-05-23,1956-05-23T00:00:00,"May 23, 1956",,text,,,archival document,,,,,Pitt Players Records,"I. Programs, 1916-1960",Folder 6,ULS Special Collections Department,University of Pittsburgh,collection.10|||collection.8
31735037974528,"Picnic,",,,1956-08,1956-08-01T00:00:00,August 1956,,text,,,archival document,,,,,Pitt Players Records,"I. Programs, 1916-1960",Folder 6,ULS Special Collections Department,University of Pittsburgh,collection.10|||collection.8
31735037974536,"Picnic,",,,1956,1956-01-01T00:00:00,1956,,text,,,archival document,,,,,Pitt Players Records,"I. Programs, 1916-1960",Folder 6,ULS Special Collections Department,University of Pittsburgh,collection.10|||collection.8
31735037974544,"Mister Roberts,",,,1956-03,1956-03-01T00:00:00,March 1956,,text,,,archival document,,,,,Pitt Players Records,"I. Programs, 1916-1960",Folder 6,ULS Special Collections Department,University of Pittsburgh,collection.10|||collection.8
31735037974551,"Bernardine,",,,1955-11,1955-11-01T00:00:00,November 1955,,text,,,archival document,,,,,Pitt Players Records,"I. Programs, 1916-1960",Folder 6,ULS Special Collections Department,University of Pittsburgh,collection.10|||collection.8
