id,title,uniform_title,alternative_title,creator,contributor,publication_place,publisher,publication_date,encoded_date,creation_date,copyright_date,edition,issuance,language,type_of_resource,format,extent,genre,abstract,subject,temporal_coverage,geographic_coverage,target_audience,record_id,isbn,lccn,oclccn,url,depositor,collection_id
31735037974262,"A Connecticut Yankee,",,,,,,,,,1950-05|||May 1950|||1950-05-01T00:00:00,,,,,text,,,archival document,,,,,,,,,,,University of Pittsburgh,collection.10|||collection.8
31735037974270,"Beggar on Horseback,",,,,,,,,,1951-01|||January 1951|||1951-01-01T00:00:00,,,,,text,,,archival document,,,,,,,,,,,University of Pittsburgh,collection.10|||collection.8
31735037974288,"Oedipus Rex,",,,,,,,,,1951-12|||December 1951|||1951-12-01T00:00:00,,,,,text,,,archival document,,,,,,,,,,,University of Pittsburgh,collection.10|||collection.8
31735037974296,"My Sister Eileen,",,,,,,,,,1950-11|||November 1950|||1950-11-01T00:00:00,,,,,text,,,archival document,,,,,,,,,,,University of Pittsburgh,collection.10|||collection.8
31735037974304,"Suspect,",,,,,,,,,1951-03|||March 1951|||1951-03-01T00:00:00,,,,,text,,,archival document,,,,,,,,,,,University of Pittsburgh,collection.10|||collection.8
31735037974312,"Henry IV,",,,,,,,,,1951-08|||August 1951|||1951-08-01T00:00:00,,,,,text,,,archival document,,,,,,,,,,,University of Pittsburgh,collection.10|||collection.8
31735037974320,"You Touched Me,",,,,,,,,,1952-03|||March 1952|||1952-03-01T00:00:00,,,,,text,,,archival document,,,,,,,,,,,University of Pittsburgh,collection.10|||collection.8
31735037974338,"January Thaw,",,,,,,,,,1951-11|||November 1951|||1951-11-01T00:00:00,,,,,text,,,archival document,,,,,,,,,,,University of Pittsburgh,collection.10|||collection.8
31735037974346,"Come Back, Little Sheba,",,,,,,,,,1952-07/1952-08|||July-August 1952|||1952-07-01T00:00:00,,,,,text,,,archival document,,,,,,,,,,,University of Pittsburgh,collection.10|||collection.8
31735037974353,"Yes, M' Lord,",,,,,,,,,1953-07/1953-08|||July-August 1953|||1953-07-01T00:00:00,,,,,text,,,archival document,,,,,,,,,,,University of Pittsburgh,collection.10|||collection.8
31735037974361,"Blithe Spirit,",,,,,,,,,1953-05|||May 1953|||1953-05-01T00:00:00,,,,,text,,,archival document,,,,,,,,,,,University of Pittsburgh,collection.10|||collection.8
31735037974379,"Billy Budd,",,,,,,,,,1953-03|||March 1953|||1953-03-01T00:00:00,,,,,text,,,archival document,,,,,,,,,,,University of Pittsburgh,collection.10|||collection.8
31735037974387,"The Heiress,",,,,,,,,,1952-12|||December 1952|||1952-12-01T00:00:00,,,,,text,,,archival document,,,,,,,,,,,University of Pittsburgh,collection.10|||collection.8
31735037974395,"The Time of Your Life,",,,,,,,,,1952-10|||October 1952|||1952-10-01T00:00:00,,,,,text,,,archival document,,,,,,,,,,,University of Pittsburgh,collection.10|||collection.8
31735037974403,"The Glass Harp,",,,,,,,,,1954-03|||March 1954|||1954-03-01T00:00:00,,,,,text,,,archival document,,,,,,,,,,,University of Pittsburgh,collection.10|||collection.8
31735037974411,"Androcles and the Lion,",,,,,,,,,1953-10|||October 1953|||1953-10-01T00:00:00,,,,,text,,,archival document,,,,,,,,,,,University of Pittsburgh,collection.10|||collection.8
31735037974437,"The Male Animal,",,,,,,,,,1953-12|||December 1953|||1953-12-01T00:00:00,,,,,text,,,archival document,,,,,,,,,,,University of Pittsburgh,collection.10|||collection.8
31735037974445,"The Man,",,,,,,,,,1954-07|||July 1954|||1954-07-01T00:00:00,,,,,text,,,archival document,,,,,,,,,,,University of Pittsburgh,collection.10|||collection.8
31735037974452,"Yes, M' Lord,",,,,,,,,,1954-05|||May 1954|||1954-05-01T00:00:00,,,,,text,,,archival document,,,,,,,,,,,University of Pittsburgh,collection.10|||collection.8
31735037974460,"Harvey,",,,,,,,,,1954-10|||October 1954|||1954-10-01T00:00:00,,,,,text,,,archival document,,,,,,,,,,,University of Pittsburgh,collection.10|||collection.8
31735037974478,"The Great Big Doorstep,",,,,,,,,,1954-12|||December 1954|||1954-12-01T00:00:00,,,,,text,,,archival document,,,,,,,,,,,University of Pittsburgh,collection.10|||collection.8
31735037974486,"The Corn is Green,",,,,,,,,,1955-08|||August 1955|||1955-08-01T00:00:00,,,,,text,,,archival document,,,,,,,,,,,University of Pittsburgh,collection.10|||collection.8
31735037974494,"Dark of the Moon,",,,,,,,,,1955-04|||April 1955|||1955-04-01T00:00:00,,,,,text,,,archival document,,,,,,,,,,,University of Pittsburgh,collection.10|||collection.8
31735037974502,"The Innocents,",,,,,,,,,1955-03|||March 1955|||1955-03-01T00:00:00,,,,,text,,,archival document,,,,,,,,,,,University of Pittsburgh,collection.10|||collection.8
31735037974510,"Pitt Players Award Banquet,",,,,,,,,,"1956-05-23|||May 23, 1956|||1956-05-23T00:00:00",,,,,text,,,archival document,,,,,,,,,,,University of Pittsburgh,collection.10|||collection.8
31735037974528,"Picnic,",,,,,,,,,1956-08|||August 1956|||1956-08-01T00:00:00,,,,,text,,,archival document,,,,,,,,,,,University of Pittsburgh,collection.10|||collection.8
31735037974536,"Picnic,",,,,,,,,,1956|||1956|||1956-01-01T00:00:00,,,,,text,,,archival document,,,,,,,,,,,University of Pittsburgh,collection.10|||collection.8
31735037974544,"Mister Roberts,",,,,,,,,,1956-03|||March 1956|||1956-03-01T00:00:00,,,,,text,,,archival document,,,,,,,,,,,University of Pittsburgh,collection.10|||collection.8
31735037974551,"Bernardine,",,,,,,,,,1955-11|||November 1955|||1955-11-01T00:00:00,,,,,text,,,archival document,,,,,,,,,,,University of Pittsburgh,collection.10|||collection.8
31735037974569,"Pygmalion,",,,,,,,,,1956-04|||April 1956|||1956-04-01T00:00:00,,,,,text,,,archival document,,,,,,,,,,,University of Pittsburgh,collection.10|||collection.8
31735037974577,"The Madwoman of Chaillot,",,,,,,,,,1956-01|||January 1956|||1956-01-01T00:00:00,,,,,text,,,archival document,,,,,,,,,,,University of Pittsburgh,collection.10|||collection.8
31735037974585,"Brigadoon,",,,,,,,,,1957-04|||April 1957|||1957-04-01T00:00:00,,,,,text,,,archival document,,,,,,,,,,,University of Pittsburgh,collection.10|||collection.8
31735037974593,"The Chalk Garden,",,,,,,,,,"1957-08-24|||August 24, 1957|||1957-08-24T00:00:00",,,,,text,,,archival document,,,,,,,,,,,University of Pittsburgh,collection.10|||collection.8
31735037974601,"The Chalk Garden,",,,,,,,,,1957-08|||August 1957|||1957-08-01T00:00:00,,,,,text,,,archival document,,,,,,,,,,,University of Pittsburgh,collection.10|||collection.8
31735037974619,"The Man Who Came to Dinner,",,,,,,,,,1956-11|||November 1956|||1956-11-01T00:00:00,,,,,text,,,archival document,,,,,,,,,,,University of Pittsburgh,collection.10|||collection.8
31735037974627,"The Taming of the Shrew,",,,,,,,,,1957-02|||February 1957|||1957-02-01T00:00:00,,,,,text,,,archival document,,,,,,,,,,,University of Pittsburgh,collection.10|||collection.8
31735037974635,"Stalag 17,",,,,,,,,,1957-03|||March 1957|||1957-03-01T00:00:00,,,,,text,,,archival document,,,,,,,,,,,University of Pittsburgh,collection.10|||collection.8
31735037974650,"Bus Stop,",,,,,,,,,1957-10|||October 1957|||1957-10-01T00:00:00,,,,,text,,,archival document,,,,,,,,,,,University of Pittsburgh,collection.10|||collection.8
31735037974668,"The Skin of Our Teeth,",,,,,,,,,1957-12|||December 1957|||1957-12-01T00:00:00,,,,,text,,,archival document,,,,,,,,,,,University of Pittsburgh,collection.10|||collection.8
31735037974676,"Pitt Portraits,",,,,,,,,,"1957-11-20|||November 20, 1957|||1957-11-20T00:00:00",,,,,text,,,archival document,,,,,,,,,,,University of Pittsburgh,collection.10|||collection.8
31735037974684,"The Would-Be Invalid,",,,,,,,,,1958-10|||October 1958|||1958-10-01T00:00:00,,,,,text,,,archival document,,,,,,,,,,,University of Pittsburgh,collection.10|||collection.8
31735037974692,"The Rainmaker,",,,,,,,,,1958-12|||December 1958|||1958-12-01T00:00:00,,,,,text,,,archival document,,,,,,,,,,,University of Pittsburgh,collection.10|||collection.8
31735037974700,"The Happy Time,",,,,,,,,,1958-08|||August 1958|||1958-08-01T00:00:00,,,,,text,,,archival document,,,,,,,,,,,University of Pittsburgh,collection.10|||collection.8
31735037974718,"The Happy Time,",,,,,,,,,"1958-08-09|||August 9, 1958|||1958-08-09T00:00:00",,,,,text,,,archival document,,,,,,,,,,,University of Pittsburgh,collection.10|||collection.8
31735037974726,"The Teahouse of the August Moon,",,,,,,,,,1958-03|||March 1958|||1958-03-01T00:00:00,,,,,text,,,archival document,,,,,,,,,,,University of Pittsburgh,collection.10|||collection.8
31735037974734,"A Phoenix Too Frequent,",,,,,,,,,1958-05|||May 1958|||1958-05-01T00:00:00,,,,,text,,,archival document,,,,,,,,,,,University of Pittsburgh,collection.10|||collection.8
31735037974759,"Guys and Dolls,",,,,,,,,,1959-03|||March 1959|||1959-03-01T00:00:00,,,,,text,,,archival document,,,,,,,,,,,University of Pittsburgh,collection.10|||collection.8
31735037974767,"Arms and the Man,",,,,,,,,,"1959-08-08|||August 8, 1959|||1959-08-08T00:00:00",,,,,text,,,archival document,,,,,,,,,,,University of Pittsburgh,collection.10|||collection.8
31735037974783,"Our Town,",,,,,,,,,1959-05|||May 1959|||1959-05-01T00:00:00,,,,,text,,,archival document,,,,,,,,,,,University of Pittsburgh,collection.10|||collection.8
31735037974791,"Arms and the Man,",,,,,,,,,1959-08|||August 1959|||1959-08-01T00:00:00,,,,,text,,,archival document,,,,,,,,,,,University of Pittsburgh,collection.10|||collection.8
31735037974825,"The Pajama Game,",,,,,,,,,1960-03|||March 1960|||1960-03-01T00:00:00,,,,,text,,,archival document,,,,,,,,,,,University of Pittsburgh,collection.10|||collection.8
31735037974841,"My Three Angels,",,,,,,,,,1959-12|||December 1959|||1959-12-01T00:00:00,,,,,text,,,archival document,,,,,,,,,,,University of Pittsburgh,collection.10|||collection.8
31735037974882,"The Boy Friend,",,,,,,,,,1961-03|||March 1961|||1961-03-01T00:00:00,,,,,text,,,archival document,,,,,,,,,,,University of Pittsburgh,collection.10|||collection.8
31735037974908,"The Time of Your Life,",,,,,,,,,1960-10|||October 1960|||1960-10-01T00:00:00,,,,,text,,,archival document,,,,,,,,,,,University of Pittsburgh,collection.10|||collection.8
31735037974916,"Holiday,",,,,,,,,,1938/1939|||1938-1939|||1938-01-01T00:00:00,,,,,text,,,archival document,,,,,,,,,,,University of Pittsburgh,collection.10|||collection.8
31735037984683,"Theatre program - A Raisin in the Sun co-produced by City Theatre and Kunut Repertory Theatre,",,,,,,,,,"September 10, 1999",,,,,text,,,archival document,,,,,,,,,,,University of Pittsburgh,collection.254|||collection.10
31735037984691,"Theatre program - Little Willie Armstrong Jones Kuntu's inaugural production,",,,,,,,,,"April 15, 1975",,,,,text,,,archival document,,,,,,,,,,,University of Pittsburgh,collection.254|||collection.10
31735037984733,"Program - Inaugural orchestral performance of Capriccio Italien and screening of Gentlemen Prefer Blondes,",,,,,,,,,"February 27, 1928",,,,,text,,,archival document,,,,,,,,,,,University of Pittsburgh,collection.254|||collection.10
31735037984766,"Theatre program - Someone Who'll Watch Over Me,",,,,,,,,,1994-04|||April 1994|||1994-04-01T00:00:00,,,,,text,,,archival document,,,,,,,,,,,University of Pittsburgh,collection.254|||collection.10
31735037984774,"Theatre program - Boppin' with the Ancestors,",,,,,,,,,2003-06|||June 2003|||2003-06-01T00:00:00,,,,,text,,,archival document,,,,,,,,,,,University of Pittsburgh,collection.254|||collection.10
31735037984790,"Theatre program - Lillian Russell Opera Company in Lady Teazle,",,,,,,,,,"May 22, 1905",,,,,text,,,archival document,,,,,,,,,,,University of Pittsburgh,collection.254|||collection.10
31735037984808,"Theatre program - Little Johnny Jones with George M. Cohan,",,,,,,,,,"September 11, 1905",,,,,text,,,archival document,,,,,,,,,,,University of Pittsburgh,collection.254|||collection.10
31735037984816,"Theatre program - The Aunt Ester Cycle with The St. Louis Black Rep in Gem of the Ocean; Pittsburgh Playwrights Theatre Company in Two Trains Running; Penumbra Theatre Company in Raido Golf,",,,,,,,,,2009-11|||November 2009|||2009-11-01T00:00:00,,,,,text,,,archival document,,,,,,,,,,,University of Pittsburgh,collection.254|||collection.10
31735037984832,"Theatre program - The Taming of the Shrew and The School for Scandal with Ada Rehan and Charles Richman,",,,,,,,,,"December 19, 1904",,,,,text,,,archival document,,,,,,,,,,,University of Pittsburgh,collection.254|||collection.10
31735037984840,"Theatre program - The Usurper with N.C. Goodwin,",,,,,,,,,"November 21, 1904",,,,,text,,,archival document,,,,,,,,,,,University of Pittsburgh,collection.254|||collection.10
31735037984857,"Theatre program - The Catch of the Season with Edna May,",,,,,,,,,"Febraury 12, 1906",,,,,text,,,archival document,,,,,,,,,,,University of Pittsburgh,collection.254|||collection.10
31735037984873,"Theatre program - The Darling of the Gods with Blanche Bates,",,,,,,,,,"April 18, 1904",,,,,text,,,archival document,,,,,,,,,,,University of Pittsburgh,collection.254|||collection.10
31735037984881,"Theatre program - The Wizard of Oz,",,,,,,,,,"Februaury 22, 1904",,,,,text,,,archival document,,,,,,,,,,,University of Pittsburgh,collection.254|||collection.10
31735037984899,"Theatre program - The College Widow,",,,,,,,,,"January 8, 1906",,,,,text,,,archival document,,,,,,,,,,,University of Pittsburgh,collection.254|||collection.10
31735037984915,"Theatre program - Three Little Maids,",,,,,,,,,"Februaury 1, 1904",,,,,text,,,archival document,,,,,,,,,,,University of Pittsburgh,collection.254|||collection.10
31735037984923,"Broadside - Hess' Grand English Opera Company in The Chimes of Normandy; Bohemian Girl; Martha; Villars' Dragoons,",,,,,,,,,"March 4, 1978",,,,,text,,,archival document,,,,,,,,,,,University of Pittsburgh,collection.254|||collection.10
31735037984931,"Opera program - Hess' Grand English Opera Company in The Chimes of Normandy,",,,,,,,,,"March 4, 1978",,,,,text,,,archival document,,,,,,,,,,,University of Pittsburgh,collection.254|||collection.10
31735037984949,"Theatre program - Kinky Boots with Billy Porter,",,,,,,,,,"August 4, 2015",,,,,text,,,archival document,,,,,,,,,,,University of Pittsburgh,collection.254|||collection.10
31735037984956,"Theatre program - The Yankee Consul with Raymond Hitchcock,",,,,,,,,,"September 12, 1904",,,,,text,,,archival document,,,,,,,,,,,University of Pittsburgh,collection.254|||collection.10
31735037984964,"Theatre program - Endgame,",,,,,,,,,"February 14, 1980",,,,,text,,,archival document,,,,,,,,,,,University of Pittsburgh,collection.254|||collection.10
31735037984972,"Theatre program - One Flew Over the Cuckoo's Nest with Tom Atkins,",,,,,,,,,"October 22, 1975",,,,,text,,,archival document,,,,,,,,,,,University of Pittsburgh,collection.254|||collection.10
31735037984980,"Film program - Robin Hood with Douglas Fairbanks,",,,,,,,,,"January 15, 1923",,,,,text,,,archival document,,,,,,,,,,,University of Pittsburgh,collection.254|||collection.10
31735037984998,"Theatre program - The Prince of Pilsen,",,,,,,,,,"January 4, 1904",,,,,text,,,archival document,,,,,,,,,,,University of Pittsburgh,collection.254|||collection.10
31735037985003,"Theatre program - Inaugural performance at the O'Reilly Theater King Hedley II world premiere,",,,,,,,,,"December 11, 1999",,,,,text,,,archival document,,,,,,,,,,,University of Pittsburgh,collection.254|||collection.10
31735037985011,"Theatre program - The Chief world premiere,",,,,,,,,,"November 6, 2003",,,,,text,,,archival document,,,,,,,,,,,University of Pittsburgh,collection.254|||collection.10
31735037985029,"Film program supplement - A Declaration of Personal Independence, Away with Meddlers for Intolerance,",,,,,,,,,"December 22, 1916",,,,,text,,,archival document,,,,,,,,,,,University of Pittsburgh,collection.254|||collection.10
31735037985037,"Concert program - Ignacy Jan Paderewski performance,",,,,,,,,,"March 10, 1902",,,,,text,,,archival document,,,,,,,,,,,University of Pittsburgh,collection.254|||collection.10
31735037985045,"Theatre program - L'Aiglon with Maude Adams,",,,,,,,,,"February 11, 1901",,,,,text,,,archival document,,,,,,,,,,,University of Pittsburgh,collection.254|||collection.10
31735037985052,"Theatre program - Rip Van Winkle; Cricket on the Hearth; and Lend Me Five Shillings with Joseph Jefferson,",,,,,,,,,"November 9, 1896",,,,,text,,,archival document,,,,,,,,,,,University of Pittsburgh,collection.254|||collection.10
31735037985060,"Film program supplement - Facts Worth Knowing for Intolerance,",,,,,,,,,"December 22, 1916",,,,,text,,,archival document,,,,,,,,,,,University of Pittsburgh,collection.254|||collection.10
31735037985078,"Theatre program - If I Were King and Hamlet with E.H. Sothern,",,,,,,,,,"December 15, 1902",,,,,text,,,archival document,,,,,,,,,,,University of Pittsburgh,collection.254|||collection.10
31735037985086,"Theatre program - Naughty Marietta the Civic Light Opera's first production,",,,,,,,,,"June 1, 1946",,,,,text,,,archival document,,,,,,,,,,,University of Pittsburgh,collection.254|||collection.10
31735037985094,"Theatre program - H.M.S. Pinafore or The Lass That Loved a Sailor benefit perfomances for the Industrial Home for Crippled Children; the Juvenile Court Association of Allegheny County; and the Tuberculosis League of Pittsburgh,",,,,,,,,,"June 1, 1909",,,,,text,,,archival document,,,,,,,,,,,University of Pittsburgh,collection.254|||collection.10
31735037985102,"Film program - Intolerance,",,,,,,,,,"December 22, 1916",,,,,text,,,archival document,,,,,,,,,,,University of Pittsburgh,collection.254|||collection.10
31735037985110,"Concert program - Pittsburgh Orchestra performance,",,,,,,,,,"November 29, 1901",,,,,text,,,archival document,,,,,,,,,,,University of Pittsburgh,collection.254|||collection.10
31735037985128,"Theatre program - Bricklayers first production at the South Side City Theatre,",,,,,,,,,"November 30, 1991",,,,,text,,,archival document,,,,,,,,,,,University of Pittsburgh,collection.254|||collection.10
31735037985136,"Theatre program - Carol Burnett Show first production at the Civic Arena,",,,,,,,,,"July 2, 1962",,,,,text,,,archival document,,,,,,,,,,,University of Pittsburgh,collection.254|||collection.10
31735037985144,"Advertising - Isadora Duncan performance,",,,,,,,,,1916-10|||October 1916|||1916-10-01T00:00:00,,,,,text,,,archival document,,,,,,,,,,,University of Pittsburgh,collection.254|||collection.10
31735037985151,"Souvenir theatre program - Carol Burnett Show premiere performance at the Civic Arena,",,,,,,,,,"July 2, 1962",,,,,text,,,archival document,,,,,,,,,,,University of Pittsburgh,collection.254|||collection.10
31735037985169,"Theatre program - Death and Life of Sneaky Fitch first production by the City Players,",,,,,,,,,"June 19, 1975",,,,,text,,,archival document,,,,,,,,,,,University of Pittsburgh,collection.254|||collection.10
31735044221517,"Trailer Ho,",,,,,,,,,1937|||1937|||1937-01-01T00:00:00,,,,,text,,,archival document,,,,,,,,,,,University of Pittsburgh,collection.8|||collection.10
31735044221574,"All in a Day,",,,,,,,,,1924-05|||May 1924|||1924-05-01T00:00:00,,,,,text,,,archival document,,,,,,,,,,,University of Pittsburgh,collection.8|||collection.10
31735044221590,"In Wupland,",,,,,,,,,1908|||1908|||1908-01-01T00:00:00,,,,,text,,,archival document,,,,,,,,,,,University of Pittsburgh,collection.8|||collection.10
31735044221608,"Prince of Sham,",,,,,,,,,1913-04|||April 1913|||1913-04-01T00:00:00,,,,,text,,,archival document,,,,,,,,,,,University of Pittsburgh,collection.8|||collection.10
31735044221616,"Leave it to Marian,",,,,,,,,,1923-05|||May 1923|||1923-05-01T00:00:00,,,,,text,,,archival document,,,,,,,,,,,University of Pittsburgh,collection.8|||collection.10
31735044221632,"The Lovers of Allianora,",,,,,,,,,"1917-04-27|||April 27, 1917|||1917-04-27T00:00:00",,,,,text,,,archival document,,,,,,,,,,,University of Pittsburgh,collection.10|||collection.8
31735044221640,"Bound in Morocco,",,,,,,,,,1922-04|||April 1922|||1922-04-01T00:00:00,,,,,text,,,archival document,,,,,,,,,,,University of Pittsburgh,collection.8|||collection.10
31735044221657,"The Diamond Girl,",,,,,,,,,1920-05|||May 1920|||1920-05-01T00:00:00,,,,,text,,,archival document,,,,,,,,,,,University of Pittsburgh,collection.8|||collection.10
31735044221673,"When Pitt Was Young,",,,,,,,,,"1909-05-14|||May 14, 1909|||1909-05-14T00:00:00",,,,,text,,,archival document,,,,,,,,,,,University of Pittsburgh,collection.8|||collection.10
31735044221681,"Done and Undone,",,,,,,,,,1921-04|||April 1921|||1921-04-01T00:00:00,,,,,text,,,archival document,,,,,,,,,,,University of Pittsburgh,collection.8|||collection.10
31735044221699,"Dr. Divorce,",,,,,,,,,"1917-01-16|||January 16, 1917|||1917-01-16T00:00:00",,,,,text,,,archival document,,,,,,,,,,,University of Pittsburgh,collection.8|||collection.10
31735044221723,"Vaudeville show,",,,,,,,,,1918-03|||March 1918|||1918-03-01T00:00:00,,,,,text,,,archival document,,,,,,,,,,,University of Pittsburgh,collection.8|||collection.10
31735044221731,"Suite Sixteen,",,,,,,,,,1916-02|||February 1916|||1916-02-01T00:00:00,,,,,text,,,archival document,,,,,,,,,,,University of Pittsburgh,collection.8|||collection.10
31735044221764,"The Little Suffragette,",,,,,,,,,1914-03|||March 1914|||1914-03-01T00:00:00,,,,,text,,,archival document,,,,,,,,,,,University of Pittsburgh,collection.8|||collection.10
31735044221772,"The Maxixe Girl,",,,,,,,,,1915-02|||February 1915|||1915-02-01T00:00:00,,,,,text,,,archival document,,,,,,,,,,,University of Pittsburgh,collection.8|||collection.10
31735044221806,"Cupid's Capers,",,,,,,,,,"1912-05-15|||May 15, 1912|||1912-05-15T00:00:00",,,,,text,,,archival document,,,,,,,,,,,University of Pittsburgh,collection.8|||collection.10
31735044221814,"Here and There,",,,,,,,,,"1910-05-12|||May 12, 1910|||1910-05-12T00:00:00",,,,,text,,,archival document,,,,,,,,,,,University of Pittsburgh,collection.8|||collection.10
31735061845297,"My Heart's in the Highlands,",,,,,,,,,1940-11|||November 1940|||1940-11-01T00:00:00,,,,,text,,,archival document,,,,,,,,,,,University of Pittsburgh,collection.10|||collection.8
31735067444251,"Theatre program - Fedora with Sarah Bernhardt,",,,,,,,,,"March 23, 1892",,,,,text,,,archival document,,,,,,,,,,,University of Pittsburgh,collection.254|||collection.10
31735068203458,"Theatre program - The Idiot Witness; The Boston Jubilee, and To Paris and Back For Five Pounds!,",,,,,,,,,"March 5, 1875",,,,,text,,,archival document,,,,,,,,,,,University of Pittsburgh,collection.254|||collection.10
31735068203466,"Program - Mercantile Library Lectures, Dramtic Readings with Mary Frances Scott-Siddons,",,,,,,,,,"February 8, 1869",,,,,text,,,archival document,,,,,,,,,,,University of Pittsburgh,collection.254|||collection.10
31735068203474,"Opera program - The Daughter of the Regiment,",,,,,,,,,"October 28, 1871",,,,,text,,,archival document,,,,,,,,,,,University of Pittsburgh,collection.254|||collection.10
31735068203482,"Theatre program - Thompson Opera Company in The Mikado,",,,,,,,,,"September 13, 1886",,,,,text,,,archival document,,,,,,,,,,,University of Pittsburgh,collection.254|||collection.10
31735068203490,"Advertising - Annie Pixley in a magnificent repertoire,",,,,,,,,,"November 24, 1887",,,,,text,,,archival document,,,,,,,,,,,University of Pittsburgh,collection.254|||collection.10
31735068203516,"Theatre program - The Dagger and the Cross with Robert B. Mantell,",,,,,,,,,"September 11, 1899",,,,,text,,,archival document,,,,,,,,,,,University of Pittsburgh,collection.254|||collection.10
31735068203524,"Theatre program - The Spectre Bridgroom or, A Ghost in Spite of Himself!; and Waddy, The Fat Boy!,",,,,,,,,,"May 29, 1875",,,,,text,,,archival document,,,,,,,,,,,University of Pittsburgh,collection.254|||collection.10
31735068203565,"Theatre Program - Galba, The Gladiator with Frederick Warde,",,,,,,,,,"October 3, 1887",,,,,text,,,archival document,,,,,,,,,,,University of Pittsburgh,collection.254|||collection.10
31735068203573,"Theatre program - Les Miserables; The Intelligence Office; Local Troubles, or the Deputy's Morning Court",,,,,,,,,,,,,,text,,,archival document,,,,,,,,,,,University of Pittsburgh,collection.254|||collection.10
31735068203581,"Advertising - Mercantile Library Lectures, Mrs Scott-Siddons At the Academy of Music,",,,,,,,,,"February 8, 1869",,,,,text,,,archival document,,,,,,,,,,,University of Pittsburgh,collection.254|||collection.10
31735068203607,"Theatre program - Camille with Clara Morris and Henry Miller,",,,,,,,,,"May 2, 1887",,,,,text,,,archival document,,,,,,,,,,,University of Pittsburgh,collection.254|||collection.10
31735068203615,"Theatre program - Our Angel with Lizzie Evans for the grand opening of the Bijou Theatre,",,,,,,,,,"September 5, 1887",,,,,text,,,archival document,,,,,,,,,,,University of Pittsburgh,collection.254|||collection.10
31735068203623,"Theatre program - She,",,,,,,,,,"April 2, 1888",,,,,text,,,archival document,,,,,,,,,,,University of Pittsburgh,collection.254|||collection.10
31735068203631,"Theatre program - The Corsican Brothers with Robert B. Mantell,",,,,,,,,,"May 15, 1899",,,,,text,,,archival document,,,,,,,,,,,University of Pittsburgh,collection.254|||collection.10
31735068203649,"Concert program - Grand Concert of Scottish Songs, by Hamilton Corbett,",,,,,,,,,"April 19, 1880",,,,,text,,,archival document,,,,,,,,,,,University of Pittsburgh,collection.254|||collection.10
31735068203680,"Theatre Program - Lost in the Snow,",,,,,,,,,"October 10, 1887",,,,,text,,,archival document,,,,,,,,,,,University of Pittsburgh,collection.254|||collection.10
31735068203698,"Advertising - Interesting Religious Service,",,,,,,,,,"January 12, 1868",,,,,text,,,archival document,,,,,,,,,,,University of Pittsburgh,collection.254|||collection.10
31735068203706,"Ticket - Mercantile Library Lectures, John B. Gough,",,,,,,,,,"January 16, 1869",,,,,text,,,archival document,,,,,,,,,,,University of Pittsburgh,collection.254|||collection.10
31735068203722,"Opera program - Emma Abbott Grand English Opera Company in Lucretia Borgia; The Mikado; Bohemian Girl; Il Travatore; Crispino; Linda of Chamouni; ; Mignon; Chimes of Normandy,",,,,,,,,,"April 25, 1887",,,,,text,,,archival document,,,,,,,,,,,University of Pittsburgh,collection.254|||collection.10
31735068203730,"Theatre program - The Jilt with Dion Boucicault,",,,,,,,,,"May 14, 1888",,,,,text,,,archival document,,,,,,,,,,,University of Pittsburgh,collection.254|||collection.10
31735068203748,"Theatre program - Erminie,",,,,,,,,,"February 18, 1889",,,,,text,,,archival document,,,,,,,,,,,University of Pittsburgh,collection.254|||collection.10
31735068203755,"Theatre program - Dr. Jekyll and Mr. Hyde with Richard Mansfield,",,,,,,,,,"November 7, 1887",,,,,text,,,archival document,,,,,,,,,,,University of Pittsburgh,collection.254|||collection.10
31735068203797,"Theatre Program - Julius Caesar with Edwin Booth and Lawrence Barrett,",,,,,,,,,"November 21, 1887",,,,,text,,,archival document,,,,,,,,,,,University of Pittsburgh,collection.254|||collection.10
31735068203805,"Theatre Program - A Parlor Match with Evans and Hoey,",,,,,,,,,"October 24, 1887",,,,,text,,,archival document,,,,,,,,,,,University of Pittsburgh,collection.254|||collection.10
31735068203813,"Program - Henry Nicholls' Recitals from Memory,",,,,,,,,,"December 17, 1868",,,,,text,,,archival document,,,,,,,,,,,University of Pittsburgh,collection.254|||collection.10
31735068203821,"Program - Mercantile Library Lectures, Dramatic Readings with Mary Frances Scott-Siddons,",,,,,,,,,"February 11, 1869",,,,,text,,,archival document,,,,,,,,,,,University of Pittsburgh,collection.254|||collection.10
31735068203839,"Theatre program - Nordeck and The Three Guardsmen with Frank Mayo,",,,,,,,,,"September 20, 1886",,,,,text,,,archival document,,,,,,,,,,,University of Pittsburgh,collection.254|||collection.10
31735068203847,"Theatre program - Theodora with Lillian Olcott,",,,,,,,,,"March 21,1887",,,,,text,,,archival document,,,,,,,,,,,University of Pittsburgh,collection.254|||collection.10
31735068203854,"Theatre program - The Shaughraun with Dion Boucicault,",,,,,,,,,"May 14, 1888",,,,,text,,,archival document,,,,,,,,,,,University of Pittsburgh,collection.254|||collection.10
31735068203862,"Theatre program - The White Slave,",,,,,,,,,"October 2, 1893",,,,,text,,,archival document,,,,,,,,,,,University of Pittsburgh,collection.254|||collection.10
31735068203870,Theatre program - Maurithus & Martinnette Bros. Pantomine Little Bo Peep; John Mayon; and Rodgers & Owens' Shadowgraphs!,,,,,,,,,,,,,,text,,,archival document,,,,,,,,,,,University of Pittsburgh,collection.254|||collection.10
