id,title,uniform_title,alternative_title,creator,contributor,publication_place,publisher,publication_date,encoded_date,creation_date,copyright_date,edition,issuance,language,type_of_resource,format,extent,genre,abstract,subject,temporal_coverage,geographic_coverage,target_audience,record_id,isbn,lccn,oclccn,url,depositor,collection_id
,"Contemporary drama: nine plays, American, English, European",,,,"Watson, Ernest Bradlee, 1879- (comp)|||Pressey, William Benfield (joint comp)",New York|||Chicago [etc],C. Scribner's Sons,[c194l],[c194l]||||||1941,,,,monographic,English|||French,text,print,"vi p., 1 l., 362 p. 24 cm.",bibliography,,Drama,20th century,,,996882933406236,,41016331,01580029,,,
,Eva Le Gallienne's Civic repertory plays,,Civic repertory plays,,"Le Gallienne, Eva, 1899-1991 (ed)|||New York, Civic repertory theatre.",New York,"W. W. Norton & company, inc.",c1928,c1928||||||1928,,,,monographic,English,text,print,"xiv p., 3 l., 5-327 p. front. (port.) illus., plates. 21 cm.",Collections,,Drama,,,,996883403406236,,29000029,01659127,,,
,"treasury of the theatre: from Henrik Ibsen to Arthur Miller, A",,,,"Gassner, John, 1903- (ed)|||Mantle, Robert Burns, 1873-1948 (ed)",New York,Simon and Schuster; distributed by the Dryden Press,[1950],[1950]||||||1950,,,Rev. ed. for colleges.,monographic,English,text,print,"xvi, 1120 p. illus. 26 cm.",Collections|||bibliography,,Drama,,,,996886053406236,,50008153 rev,02300833,,,
,"book of dramas: an anthology of nineteen plays, A",,,,"Carpenter, Bruce (comp)",New York,"Prentice-Hall, inc.",1929,1929,,,,monographic,Undetermined|||English,text,print,"x, 1111 p. 20 cm.",bibliography|||biography,,Drama|||Collections,,,,996887113406236,,29022701,02648687,,,
,Four modern plays,,,,,New York,Rinehart,1957,1957,,,,monographic,English,text,print,v. ; 19 cm.,,,Drama|||Collections,,,,996889933406236,,57007742,04201852,,,
,"Bennett Cerf's bumper crop of anecdotes and stories: mostly humorous, about the famous and near famous",,Bumper crop of anecdotes and stories,"Cerf, Bennett, 1898-1971",,"Garden City, N. Y",Garden City Books,c1952,c1952||||||1952,,,,monographic,English,text,print,2 v. : ill. ; 22 cm.,,,American wit and humor|||Anecdotes,,United States,,996890433406236,,,04750130,,,
,"drama reader: full-length plays for the secondary school, The",,Dulcy|||Seven keys to Baldpate|||R.U.R|||Antigone|||Richard III|||The drama reader : full-length plays for the secondary school,,"Congdon, S. Perry (ed)",New York,Odyssey Press,1962,1962,,,[1st ed.],monographic,English,text,print,"ix, 418 p. ; 21 cm.",bibliography,,Drama|||Collections,,,,996891533406236,,62013409,06236106,,,
,"survey of the status of theatre in United States high schools: final report, A",,,"Peluso, Joseph L.",,"Washington, D. C.]","U. S. Dept. of Health, Education and Welfare",1970,1970,,,,monographic,English,text,print,94 p. charts. 27 cm.,,,College and school drama|||Drama in education|||Theater,,United States,,996922483406236,,,01071808,,,
,Seven plays,Selections. English. 1960,,"Ghelderode, Michel de, 1898-1962",,New York,Hill and Wang,[1960-64],[1960-64]|||1960/1964,,,,monographic,English,text,print,2 v. 19 cm.,,,,,,,996962763406236,,60014169 /L/r832,00342031,,,
,Scandal & parade: the theater of Jean Cocteau,,,"Oxenhandler, Neal.",,New Brunswick,Rutgers University Press,1957,1957,,,,monographic,English,text,print,"284 p. front., port. 21 cm.",bibliography,,"Cocteau, Jean 1889-1963",,,,996972373406236,,57008638,00964620,,,
,"balcony (Le balcon): a play in nine scenes, The",Balcon. English,,"Genet, Jean, 1910-1986",,New York,Grove Press,[1958],[1958]||||||1958,,,,monographic,Undetermined|||English,text,print,118 p. 21 cm.,,,,,,,996972383406236,,58009490 /L/r873,00964690,,,
,"balcony (Le balcon): a play in nine scenes, The",,,"Genet, Jean, 1910-1986",,New York,Grove Press,[1960],[1960]||||||1960,,,[Rev.],monographic,English,text,print,115 p. illus. 21 cm.,,,,,,,996981393406236,,61000535,02105547,,,
,"classic theatre, The",,,,"Bentley, Eric, 1916-2020 (ed)","Garden City, N.Y",Doubleday,1958-61,1958-61|||1958/1961,,,[1st ed.],monographic,English,text,print,4 v. 19 cm.,,,,,,,997062783406236,,58012033 //r832,00344007,,,
,"genius of the Italian theater, The",,,,"Bentley, Eric, 1916-2020 (ed)",New York],New American Library,[1964],[1964]||||||1964,,,,monographic,English|||Italian,text,print,584 p. 18 cm.,bibliography,,Italian drama|||Translations into English,,,,997063083406236,,64025082,00346996,,,
,"drama of Luigi Pirandello, The",,,"Vittorini, Domenico.",,New York,Dover Publications,[1957],[1957]||||||1957,,,,monographic,English,text,print,"xiii, 391 p. 21 cm.",,,"Pirandello, Luigi 1867-1936",,,,997094013406236,,57013243 /L,00683793,,,
,Pirandello's one-act plays,,,"Pirandello, Luigi, 1867-1936",,"Garden City, N.Y",Anchor Books,1964,1964,,,,monographic,Undetermined|||English,text,print,"xvii, 336 p. 19 cm.",bibliography,,,,,,997094303406236,,64016246,00711163,,,
,Four plays,,,"Vega, Lope de, 1562-1635","Underhill, John Garrett, 1876-1946 (tr)|||Benavente, Jacinto, 1866-1954",New York,C. Scribner's Sons,1936,1936,,,,monographic,Spanish|||English,text,print,"xxiii, 385 p. front. (port.) 19.5 cm.",,,Theater|||History,,Spain,,997094893406236,,36027149,00770530,,,
,"best short plays of the social theatre, The",,"Social theatre, The best short plays of the",,"Kozlenko, William, 1908- (ed)",New York,Random house,[c1939],[c1939]||||||1939,,,,monographic,English,text,print,"xi, 456 p. 22 cm.",,,Social problems|||Drama|||American drama|||English drama,20th century,,,997309453406236,,39027034,00941257,,,
,"British and American plays, 1830-1945",,,,"Durham, Willard Higley, 1883- (ed)|||Dodds, John Wendell, 1902- (joint ed)",New York,Oxford University Press,1947,1947,,,,monographic,English,text,print,"xi, 796 p. front., plates. 25 cm.",bibliography,,English drama|||American drama,19th century|||20th century,,,997315123406236,,47004212,01374577,,,
