id,title,uniform_title,alternative_title,creator,contributor,publication_place,publisher,publication_date,encoded_date,creation_date,copyright_date,edition,issuance,language,type_of_resource,format,extent,genre,abstract,subject,temporal_coverage,geographic_coverage,target_audience,record_id,isbn,lccn,oclccn,url,depositor,collection_id
00acf6728m,"Columbian orator: containing a variety of original and selected pieces, together with rules, calculated to improve youth and others in the ornamental and useful art of eloquence, The",,,"Bingham, Caleb, 1757-1817",,Boston,J.H.A. Frost,,1832/1810,"1832|||1810|||1832, c1810|||ca. 1832-1810|||1832-01-01T00:00:00",,Stereotype ed.,monographic,English,text,print,300 p. ; 18 cm.,,,Recitations|||Readers,,,,426615,,,,,University of Pittsburgh,collection.120
00acf7074m,McGuffey's newly revised eclectic primer: newly illustrated,Eclectic primer. 1867,Newly revised eclectic primer,"McGuffey, William Holmes, 1800-1873",,Cincinnati,"Wilson, Hinkle and Co.",,1867,c1867|||1867|||1867-01-01T00:00:00,,,monographic,English,text,print,34 p. : ill. ; 15 cm.,,,Readers (Primary),1800-1870,,,426920,,,,,University of Pittsburgh,collection.120
00acf7166m,"American spelling book: containing the rudiments of the English language : for the use of schools in the United States, The",Grammatical institute of the English language,,"Webster, Noah, 1758-1843",,Philadelphia,Johnson & Warner,,1809/1804,"1809|||1804|||1809, c1804|||ca. 1809-1804|||1809-01-01T00:00:00",,30th rev. ed.,monographic,English,text,print,168 p. ; 17 cm.,,,Spellers,,,,426961,,,,,University of Pittsburgh,collection.120
00acg7537m,"Exercises in rhetorical reading: with a series of introductory lessons, particularly designed to familiarize readers with the pauses and other marks in general use, and lead them to the practice of modulation and inflection of the voice",,Parker's rhetorical reader,"Parker, Richard Green, 1798-1869",,New York,A.S. Barnes & Co.,,1855/1849,"1855|||1849|||1855, c1849|||ca. 1855-1849|||1855-01-01T00:00:00",,9th ed.,monographic,English,text,print,432 p. ; 19 cm.,,,Elocution|||Recitations|||Readers (Secondary),1800-1870,,,436712,,,,,University of Pittsburgh,collection.120
00acg9659m,McGuffey's fifth eclectic reader,Fifth eclectic reader. 1879 (American Book Co.),,"McGuffey, William Holmes, 1800-1873",,New York,American Book Co.,,1879,c1879|||1879|||1879-01-01T00:00:00,,Rev. ed.,monographic,English,text,print,352 p. : ill. ; 19 cm.,,,Readers (Elementary),1870-1950,,,438753,,,,,University of Pittsburgh,collection.120
00ach0331m,McGuffey's new fifth eclectic reader: selected and original exercises for schools,"Fifth eclectic reader. 1857 (Sargent, Wilson & Hinkle)",New fifth eclectic reader,"McGuffey, William Holmes, 1800-1873",,Cincinnati|||New York,"Sargent, Wilson & Hinkle|||Clark & Maynard",,1857,c1857|||1857|||1857-01-01T00:00:00,,Stereotype ed.,monographic,English,text,print,336 p. ; 19 cm.,,,Readers (Elementary),1800-1870,,,439404,,,,,University of Pittsburgh,collection.120
00ach0530m,"McGuffey's new sixth eclectic reader: exercises in rhetorical reading, with introductory rules and examples","Sixth eclectic reader. 1857 (Sargent, Wilson & Hinkle)",New sixth eclectic reader,"McGuffey, William Holmes, 1800-1873",,Cincinnati|||New York,"Sargent, Wilson & Hinkle|||Clark & Maynard",,1857,c1857|||1857|||1857-01-01T00:00:00,,Stereotype ed.,monographic,English,text,print,448 p. ; 19 cm.,,,Readers|||Recitations,,,,439595,,,,,University of Pittsburgh,collection.120
00ach1121m,McGuffey's sixth eclectic reader,"Sixth eclectic reader. 1879 (Van Antwerp, Bragg & Co.)",,"McGuffey, William Holmes, 1800-1973",,Cincinnati,"Van Antwerp, Bragg & Co.",,1879,c1879|||1879|||1879-01-01T00:00:00,,Rev. ed.,monographic,English,text,print,"464 p., [8] leaves of plates : ill. ; 19 cm.",,,Readers|||Recitations,,,,440149,,,,,University of Pittsburgh,collection.120
00ach1127m,"Osgood's progressive fifth reader: embracing a system of instruction in the principles of elocution, and selections for reading and speaking from the best English and American authors : designed for the use of academies and the highest classes in public and private schools",Progressive fifth reader. 1858,,"Osgood, Lucius.",,Pittsburgh,A.H. English & Co.,,1858,c1858|||1858|||1858-01-01T00:00:00,,,monographic,English,text,print,480 p. ; 20 cm.,,,Readers (Elementary)|||Recitations,1800-1870,,,440155,,,,,University of Pittsburgh,
00ach2219m,"English reader, or Pieces in prose and poetry: selected from the best writers : designed to assist young persons to read with propriety and effect, to improve their language and sentiments, and to inculcate some of the most important principles of piety and virtue : with a few preliminary observations on the principles of good reading, The",,Pieces in prose and poetry,"Murray, Lindley, 1745-1826",,Utica,Printed by Hastings & Tracy,,1827,1827|||1827-01-01T00:00:00,,,monographic,English,text,print,263 p. ; 18 cm.,,,Readers,,,,440948,,,,,University of Pittsburgh,collection.120
